date,score,regime
2024-10-02,-0.5241796106858011,WEAK_RISK_ON_ALTS
2024-10-03,-0.3599510698337276,WEAK_RISK_ON_ALTS
2024-10-04,-0.3030259577201596,WEAK_RISK_ON_ALTS
2024-10-05,0.10194468586741229,BALANCED
2024-10-06,-0.3378985494055683,BALANCED
2024-10-07,0.002580430171515505,BALANCED
2024-10-08,-0.3345152227793315,BALANCED
2024-10-09,-0.36297853000273295,BALANCED
2024-10-10,-0.2248296282429446,BALANCED
2024-10-11,-0.11670623370452272,BALANCED
2024-10-12,-0.224089683132347,BALANCED
2024-10-13,-0.3150137246227975,BALANCED
2024-10-14,-0.23862269734115127,BALANCED
2024-10-15,-0.28029459839573756,BALANCED
2024-10-16,-0.2722803222725705,BALANCED
2024-10-17,-0.45921029299978533,BALANCED
2024-10-18,-0.3108007148189633,BALANCED
2024-10-19,0.07903923006020125,BALANCED
2024-10-20,0.036747554596079784,BALANCED
2024-10-21,0.006728476050295973,BALANCED
2024-10-22,-0.3220500076331407,BALANCED
2024-10-23,-0.037231266574852456,BALANCED
2024-10-24,-0.1415589839852515,BALANCED
2024-10-25,1.2770911382295531,WEAK_RISK_ON_MAJORS
2024-10-26,0.1258843108488234,WEAK_RISK_ON_MAJORS
2024-10-27,0.47821737527353564,WEAK_RISK_ON_MAJORS
2024-10-28,0.3650211253431653,WEAK_RISK_ON_MAJORS
2024-10-29,0.41710597591121257,WEAK_RISK_ON_MAJORS
2024-10-30,0.6480239069346198,WEAK_RISK_ON_MAJORS
2024-10-31,0.1947098817756051,BALANCED
2024-11-01,0.11398052511623977,BALANCED
2024-11-02,0.25684189010090763,BALANCED
2024-11-03,0.20060689663162645,BALANCED
2024-11-04,0.19238102808488144,BALANCED
2024-11-05,0.1607260995873811,BALANCED
2024-11-06,1.3938030715160137,WEAK_RISK_ON_MAJORS
2024-11-07,0.6039544455328342,WEAK_RISK_ON_MAJORS
2024-11-08,0.25808384244210936,WEAK_RISK_ON_MAJORS
2024-11-09,0.9702322384567228,WEAK_RISK_ON_MAJORS
2024-11-10,0.3509649356509501,WEAK_RISK_ON_MAJORS
2024-11-11,0.5,WEAK_RISK_ON_MAJORS
2024-11-12,0.34680078297454897,WEAK_RISK_ON_MAJORS
2024-11-13,0.4515658388763129,WEAK_RISK_ON_MAJORS
2024-11-14,-0.0701806885169756,BALANCED
2024-11-15,0.3735677900867987,BALANCED
2024-11-16,0.5,BALANCED
2024-11-17,0.07306379710406632,BALANCED
2024-11-18,0.23099531002193993,BALANCED
2024-11-19,0.5290039884201706,WEAK_RISK_ON_MAJORS
2024-11-20,0.06295406251392646,WEAK_RISK_ON_MAJORS
2024-11-21,0.39804791313661647,WEAK_RISK_ON_MAJORS
2024-11-22,0.482105949255927,WEAK_RISK_ON_MAJORS
2024-11-23,0.2132975207830236,WEAK_RISK_ON_MAJORS
2024-11-24,-0.07496293377885266,BALANCED
2024-11-25,-0.25935898472978863,BALANCED
