date,regime,score,pnl,cost,funding,r_ls_net,alt_turnover,major_turnover,alt_gross,major_gross,total_gross
2024-11-15,BALANCED,-0.25532666825266565,0.0,0.0,0.02519168656716418,-0.02519168656716418,0.0,0.0,0.0,0.0,0.0
2024-11-16,BALANCED,0.3152097087198186,0.0,0.0,0.034624128712871294,-0.034624128712871294,0.0,0.0,0.0,0.0,0.0
2024-11-18,BALANCED,-0.11966890591495216,0.0,0.0,0.03456776732673268,-0.03456776732673268,0.0,0.0,0.0,0.0,0.0
2024-11-19,BALANCED,-0.042751984350191494,0.0,0.0,0.04808432352941178,-0.04808432352941178,0.0,0.0,0.0,0.0,0.0
2024-11-20,BALANCED,-0.08848735252424915,0.0,0.0,0.02580632352941177,-0.02580632352941177,0.0,0.0,0.0,0.0,0.0
2024-11-21,BALANCED,0.011687749030769872,0.0,0.0,0.01143957352941177,-0.01143957352941177,0.0,0.0,0.0,0.0,0.0
2024-11-22,BALANCED,0.43421788042473153,0.0,0.0,0.049111170731707315,-0.049111170731707315,0.0,0.0,0.0,0.0,0.0
2024-11-23,WEAK_RISK_ON_MAJORS,0.5029174310253517,0.0,0.0003,0.052937546341463415,-0.05323754634146342,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.6
2024-11-24,WEAK_RISK_ON_MAJORS,0.34911193104895427,0.006203728309039563,0.0003,0.04303447317073169,-0.03713074486169213,0.19999999999999998,0.39999999999999997,0.0,0.0,0.0
2024-11-25,BALANCED,-0.41549908922591583,0.0,0.0,0.0453999512195122,-0.0453999512195122,0.0,0.0,0.0,0.0,0.0
2024-11-26,WEAK_RISK_ON_ALTS,-0.7572983972068471,0.0,0.0,0.027031448780487806,-0.027031448780487806,0.0,0.0,0.0,0.0,0.0
2024-11-27,BALANCED,0.09559667251031209,0.0,0.0,0.0016858097560975616,-0.0016858097560975616,0.0,0.0,0.0,0.0,0.0
2024-11-28,BALANCED,-0.0563594612345345,0.0,0.0,0.04353020388349514,-0.04353020388349514,0.0,0.0,0.0,0.0,0.0
