signal,period,active_share,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew
L1_new_perp_listing_short,OOS,0.854251012145749,988,-0.15758742957408356,0.5607630703475406,-0.015271979213595263,-0.015266261426874591,-0.7144635165020305,-0.22056749705796305,-0.23570234997322506,-1.6078455018985012
C1_funding_interval_shortened,ALL,0.21141888072357265,1769,0.11606020612921286,0.10723968892022129,1.0750774346249146,1.4044025109488902,-0.09094876520978568,1.276105352958935,-0.026799062899773535,14.135479769828798
C1_funding_interval_shortened,IS,0.056338028169014086,781,0.015007812152553868,0.017792046372643047,0.8461049208095233,0.6571761944801643,-0.018742286421628673,0.8007460677388215,-0.00442361815732554,7.669094734504553
C1_funding_interval_shortened,OOS,0.3340080971659919,988,0.2030122697246055,0.1425175743619878,1.3649328771926053,2.2760140025593656,-0.09094876520978612,2.232160813358259,-0.026799062899773535,10.699675826454655
Q1_long_liq_flush_OI_reset_long,ALL,0.43792766373411535,2046,0.008596486894758781,0.12095619184769006,0.13137339424328442,0.11511869619337196,-0.32193413373655977,0.02670262638814599,-0.08055567745221859,-0.49514691960423285
Q1_long_liq_flush_OI_reset_long,IS,0.41398865784499056,1058,-0.06096687583259286,0.11491233553929411,-0.4893339939592791,-0.3612801059453739,-0.32193413373655977,-0.1893768614249595,-0.08055567745221859,-2.499972086462946
Q1_long_liq_flush_OI_reset_long,OOS,0.46356275303643724,988,0.08881209138297064,0.12704427839729565,0.7329818175365632,0.7818382249545804,-0.09930383802063047,0.8943470177307732,-0.03866332621422748,1.0777601801123535
Q2_long_liq_OI_rebuild_short,ALL,0.5277777777777778,2052,-0.22102231160332986,0.14462974422856836,-1.6530132817876348,-1.221180331884241,-0.7717301508619806,-0.286398440382898,-0.08790394462785953,-2.7125472117069243
Q2_long_liq_OI_rebuild_short,IS,0.45958646616541354,1064,-0.11133463362497875,0.1274875790829725,-0.8614728267036169,-0.619341338952276,-0.31905925681979064,-0.3489465710373111,-0.06137689603717319,-1.7307449860483606
Q2_long_liq_OI_rebuild_short,OOS,0.6012145748987854,988,-0.3240559268866149,0.16081153875316748,-2.352224428718958,-1.8138380218165855,-0.6901839182360328,-0.4695211208554884,-0.08790394462785953,-3.1254177564567724
Q3_short_liq_squeeze_OI_reset_short,ALL,0.20541871921182267,2030,-0.06678384281402694,0.0732695169214238,-0.9062421009470388,-0.4261687755210166,-0.36318101319569207,-0.18388583209894274,-0.060734765144829894,-3.9614816241432345
Q3_short_liq_squeeze_OI_reset_short,IS,0.16602687140115163,1042,-0.04483765716244503,0.06611151991320485,-0.6606569372627914,-0.30838699274109743,-0.17078504290874674,-0.2625385478657082,-0.043048233351752806,-1.9246880165252416
Q3_short_liq_squeeze_OI_reset_short,OOS,0.24696356275303644,988,-0.08938340908810727,0.08014403666380383,-1.127529265424994,-0.5428521594601533,-0.25685381049995626,-0.34799331539651224,-0.060734765144829894,-5.0745340261537955
Q4_short_liq_OI_rebuild_long,ALL,0.8742690058479532,2052,0.1709369974435342,0.20392483817354648,0.8744475969663829,1.5281234103918273,-0.3024671509289183,0.5651423532061683,-0.051090960328593206,2.0806069598165187
Q4_short_liq_OI_rebuild_long,IS,0.868421052631579,1064,0.1046485551949543,0.18644757846006263,0.6261955006634787,0.9475418459940858,-0.3024671509289183,0.345983208006437,-0.051090960328593206,1.4059766105663278
Q4_short_liq_OI_rebuild_long,OOS,0.8805668016194332,988,0.24677993619226046,0.22125146370407411,1.1056496695772313,2.241001452261932,-0.21187993646054226,1.1647159250409607,-0.03364248594704512,2.468848494638126
U1_control_price_up_1sd_long,ALL,0.9844054580896686,2052,-0.10997237550514016,0.2203266535967869,-0.41968051229701225,-0.652285953844288,-0.7610054936559918,-0.14450930567769665,-0.05669627481955896,1.5235589872572104
U1_control_price_up_1sd_long,IS,0.9736842105263158,1064,-0.1223732015050939,0.2254368286906017,-0.4679786495739329,-0.6941579943319991,-0.6396399444956401,-0.1913157590581462,-0.05669627481955896,2.225387992168452
U1_control_price_up_1sd_long,OOS,0.9959514170040485,988,-0.09642160948773815,0.21479907652154737,-0.3651387134599456,-0.6012161575534436,-0.4150405373551971,-0.2323185347199454,-0.05364477124207064,0.6502124369612268
U2_control_price_down_1sd_long,ALL,0.9429824561403509,2052,-0.14076974092044592,0.19065255809414183,-0.7000901701851955,-0.9218476860418661,-0.687985654257058,-0.20461144799953765,-0.07755415580784775,-0.2822980365491974
