ts,asset,funding_received,premium_gain,cost,net,cluster
2020-05-09,ATOMUSDT,0.0025925,-0.00046862,0.02,-0.01787612,2020-05
2020-07-29,ATOMUSDT,0.01335517,-0.00044102,0.02,-0.007085850000000001,2020-07
2020-11-20,ATOMUSDT,0.01140708,0.00119587,0.02,-0.0073970500000000005,2020-11
2021-01-03,ATOMUSDT,0.023426899999999997,0.00283792,0.02,0.006264819999999997,2021-01
2021-04-14,ATOMUSDT,0.0208877,6.780000000000067e-06,0.012,0.00889448,2021-04
2021-10-16,ATOMUSDT,0.006379309999999999,-0.00052571,0.008,-0.0021464000000000014,2021-10
2021-10-21,ATOMUSDT,0.009249879999999999,0.00149157,0.008,0.0027414499999999977,2021-10
2021-10-26,ATOMUSDT,0.00416941,-0.00032905,0.008,-0.00415964,2021-10
2021-11-08,ATOMUSDT,0.00586654,0.00045405999999999995,0.008,-0.0016794000000000002,2021-11
2025-05-11,AVAAIUSDT,0.0027619599999999995,-0.00014472000000000004,0.012,-0.00938276,2025-05
2025-05-23,AVAAIUSDT,0.0011402,0.00055905,0.012,-0.010300750000000001,2025-05
2025-07-11,AVAAIUSDT,0.00191779,0.0,0.02,-0.01808221,2025-07
2025-07-17,AVAAIUSDT,0.00484813,0.0020469299999999998,0.02,-0.01310494,2025-07
2025-07-22,AVAAIUSDT,0.00374762,-0.0018447799999999999,0.02,-0.01809716,2025-07
2025-07-28,AVAAIUSDT,0.00205793,0.0016264399999999998,0.02,-0.01631563,2025-07
2025-08-10,AVAAIUSDT,0.00424951,0.0,0.02,-0.01575049,2025-08
2025-09-10,AVAAIUSDT,0.01286984,0.0011995900000000002,0.02,-0.00593057,2025-09
2025-09-21,AVAAIUSDT,0.00335264,-0.00108209,0.02,-0.01772945,2025-09
2025-11-15,AVAAIUSDT,0.011146970000000003,0.0004758900000000001,0.02,-0.008377139999999998,2025-11
2021-08-22,AVAXUSDT,0.00712162,0.00123368,0.012,-0.0036447000000000007,2021-08
2021-09-01,AVAXUSDT,0.01422944,0.00017374000000000003,0.008,0.00640318,2021-09
2021-09-06,AVAXUSDT,0.00021547000000000037,0.0003285,0.008,-0.00745603,2021-09
2020-12-20,AXSUSDT,0.00299067,-0.00157837,0.02,-0.0185877,2020-12
2025-10-06,B2USDT,0.00995043,-0.00131093,0.02,-0.0113605,2025-10
2025-10-24,B2USDT,0.00758365,0.00380474,0.02,-0.00861161,2025-10
2023-12-15,BADGERUSDT,0.0027875800000000004,5.267999999999983e-05,0.02,-0.01715974,2023-12
2021-08-08,BAKEUSDT,0.00513609,0.00097419,0.012,-0.00588972,2021-08
2021-08-13,BAKEUSDT,0.00640711,0.00060034,0.012,-0.00499255,2021-08
2021-09-02,BAKEUSDT,0.00922286,0.00065303,0.008,0.0018758899999999998,2021-09
2021-10-26,BAKEUSDT,0.0047091599999999996,-0.00078198,0.012,-0.008072820000000001,2021-10
2023-01-21,BAKEUSDT,0.00220282,0.00029414999999999997,0.02,-0.01750303,2023-01
2023-01-28,BAKEUSDT,0.00199072,0.0010638599999999998,0.02,-0.01694542,2023-01
2025-09-10,BAKEUSDT,0.00849367,0.00062656,0.02,-0.01087977,2025-09
2025-09-19,BAKEUSDT,0.01424584,-0.0009098099999999998,0.012,0.0013360299999999985,2025-09
2025-09-24,BAKEUSDT,0.009542189999999999,0.0014215599999999997,0.012,-0.0010362500000000024,2025-09
2025-07-08,BANANAS31USDT,0.0035219500000000003,0.00435952,0.012,-0.004118529999999999,2025-07
2026-03-06,BANANAS31USDT,0.0048132,0.00059081,0.02,-0.01459599,2026-03
2026-03-14,BANANAS31USDT,0.00241246,0.0007423200000000001,0.02,-0.01684522,2026-03
2026-03-22,BANANAS31USDT,0.007050949999999999,0.0016255,0.02,-0.011323550000000002,2026-03
2021-01-19,BANDUSDT,0.00578846,-0.00109137,0.012,-0.007302910000000001,2021-01
2025-09-09,BANKUSDT,0.013196639999999999,0.0,0.02,-0.006803360000000001,2025-09
2025-10-09,BANKUSDT,0.01224562,-0.0018187700000000002,0.02,-0.00957315,2025-10
2025-09-07,BANUSDT,0.00284306,4.515e-05,0.02,-0.01711179,2025-09
2025-09-13,BANUSDT,0.00281517,0.0,0.02,-0.01718483,2025-09
2025-09-20,BANUSDT,0.009215450000000002,0.00169169,0.02,-0.009092859999999998,2025-09
2026-03-17,BANUSDT,0.00153834,0.0014471599999999999,0.02,-0.017014500000000002,2026-03
2026-01-03,BASUSDT,0.00794364,-0.0022728,0.02,-0.01432916,2026-01
2026-04-01,BASUSDT,0.00504331,0.00111964,0.02,-0.01383705,2026-04
2026-04-09,BASUSDT,0.01156401,0.0,0.02,-0.00843599,2026-04
2026-04-14,BASUSDT,0.00785423,-9.72e-06,0.02,-0.01215549,2026-04
2026-04-20,BASUSDT,0.018203280000000002,-0.0004971099999999998,0.02,-0.0022938299999999967,2026-04
2020-08-15,BATUSDT,0.01153166,-0.00226424,0.02,-0.010732580000000002,2020-08
2020-01-19,BCHUSDT,0.00795999,0.00049,0.012,-0.0035500099999999993,2020-01
2026-04-10,BEATUSDT,0.019430100000000002,0.0009663600000000001,0.012,0.008396460000000001,2026-04
