signal,n,control_coverage,n_matched,raw_gross_mean,matched_signal_gross_mean,matched_control_gross_mean,excess_mean,excess_lo,excess_hi,excess_p,excess_lo_fixed_control,excess_hi_fixed_control,smd_log_adv,smd_beta,smd_year,smd_bull,smd_high_vol,top5_share,mean_ex_top5,mean_winsor5,window
F2_extreme_neg_funding_long,2406,0.4912718204488778,1182,0.013918438608326781,0.024934065194739646,0.011909277019636035,0.013024788175103613,-0.004720542826810827,0.03142791673352628,0.141,-0.005531367185216168,0.033005228866204966,-1.4243293936576689,0.06798714286663546,-0.058338419745655665,-0.08233668198356593,0.07949860416450683,1.7403056899083007,-0.002771634563765429,-0.011122827185978035,ALL
F3_funding_despite_reversal_short,3021,0.5839126117179742,1764,-0.001135834105858295,-0.0038719709405084304,-0.0034858745427764756,-0.0003860963977319575,-0.014922085915554004,0.012822308492219691,0.997,-0.016184639865008427,0.01370877745484856,-1.2982751376438768,0.0016293526956949703,-0.16253043363645386,0.09827932246544002,0.06689552685792761,,-0.012476495546826987,-0.0020085185218101575,ALL
F4_high_funding_ann_100pct_short,1058,0.29300567107750475,310,-0.03203691467588508,-0.02492295000794474,-0.008788783241917172,-0.01613416676602757,-0.05153320608063786,0.029807557002532317,0.403,-0.05045565197232172,0.03058542810744563,-0.9910295771041167,-0.7683117426774992,-1.0977087512637498,0.8568446562681865,0.7060013842489442,,-0.04340883117650531,-0.020042817421557318,ALL
L1_new_perp_listing_short,589,0.0,0,0.007732115022393271,,,,,,,,,,,,,,,-0.009507931387436091,0.020482091673948166,ALL
O1_price_up_OI_up,3579,0.9955294775076837,3563,0.018017496861863175,0.018017496861863175,0.013041963925163508,0.004975532936699664,0.0008531901906436206,0.009177014355650059,0.018,-0.004483653908525254,0.013871008092772301,0.029702244309664103,0.04619234041058016,0.04605537009222075,0.03185448392875745,0.06668295409458595,0.30000919250345204,0.007555391199188196,0.0005553158406266367,ALL
O2_price_up_OI_down,86,1.0,86,0.005841640431743651,0.005841640431743651,0.010642514005229033,-0.004800873573485384,-0.026002381894323152,0.01723885534970242,0.664,-0.026489129028306784,0.01852542133585203,-0.4273612644955317,-0.37528863553002095,0.19781219476865228,0.014038833314359699,-0.18554375152594066,,-0.022930575027149708,-0.0072214681312567424,ALL
O3_price_down_OI_up,177,1.0,177,-0.004498192652458704,-0.004498192652458704,0.003802714216521839,-0.008300906868980542,-0.02259684156297259,0.005493734119438589,0.236,-0.0210673983214529,0.00537061113789877,-0.45306542868629684,-0.4778000788312526,0.22474786122742155,-0.21441344093834255,-0.10174133321105483,,-0.01887632677918449,-0.012369489579832294,ALL
O4_price_down_OI_down,3367,0.9964359964359965,3355,0.0053910274592804345,0.005391027459280434,0.0036041870574733677,0.001786840401807066,-0.0019666789293021586,0.005310002696967181,0.309,-0.007158705157890006,0.011517622142521715,0.05208098394840244,0.05330503873919958,-0.017169336898805107,0.11570787512088736,0.009365761111593974,,-0.0037524093605928645,-0.007509911779071589,ALL
P1_premium_z_high_short,6767,0.34993350081276786,2368,-0.007267284007766079,-0.00473691033494062,-0.010793513982203101,0.006056603647262485,-0.0026804399337203226,0.01693455105203274,0.161,-0.004494192214589235,0.019543508175975628,-0.9817327541737421,-0.0795057186210885,-0.2764792567948625,0.6036013286688918,0.1133579981044414,,-0.01739879019752352,-0.009735518438361184,ALL
P2_premium_z_low_long,10643,0.4078737198158414,4341,0.0031786375346805444,0.0036088642181123527,0.006654020625254035,-0.0030451564071416813,-0.015004631371354757,0.009994726050644288,0.643,-0.016384464076712256,0.01088511760392027,-1.295671583399912,0.23349338934331662,-0.04366810399276074,-0.10372667363868057,0.021526090753907958,,-0.008690022171158142,-0.014069471244198611,ALL
Q1_long_liq_flush_OI_reset_long,1475,0.871864406779661,1286,0.009802046586958523,0.010290559529460256,0.0016856774098353265,0.008604882119624933,-0.004720705708099051,0.021690331701509788,0.192,-0.005654630768811443,0.02310261365646787,0.11320080395697792,0.0034374852668660216,-0.08631581792085675,0.19770868652601306,-0.1108009384810833,1.1759865382098893,-0.00047801809334513964,-0.0017345008660713944,ALL
Q2_long_liq_OI_rebuild_short,567,0.6437389770723104,365,-0.030833280493021913,-0.03785039361748352,-0.012348130254350085,-0.025502263363133427,-0.061490576063289816,0.005140941038988869,0.123,-0.06254410437803724,0.006964400318729583,-0.25261854387737165,-0.19368385043307662,0.049604651868899445,0.12221261212561144,0.030089194143025064,,-0.042428114493471766,-0.029417002460455012,ALL
Q3_short_liq_squeeze_OI_reset_short,248,0.6693548387096774,166,-0.021839360150462908,-0.029404959748716968,-0.0013445384864243565,-0.028060421262292617,-0.058066407915438226,0.0068675918902273815,0.146,-0.05554031763602646,0.005314414087042253,0.25712347600290525,0.14504267006053637,-0.04427444402792612,-0.3798755663526855,0.27252677150650595,,-0.033689178496990414,-0.025346509105464293,ALL
Q4_short_liq_OI_rebuild_long,1811,0.8150193263390392,1476,0.023304454694051534,0.024975179236562468,0.017629658458901857,0.007345520777660607,-0.0018720914442789875,0.017471309236684957,0.13,-0.005691285167088101,0.020306314967369038,-0.009078865622185251,0.006515373541571295,0.01991164061676755,-0.08677357365726722,0.09726802716909011,0.250144450651695,0.012001585405727731,0.006255396207118772,ALL
X1_crowded_long_reversal,46,0.8260869565217391,38,-0.1676342197195352,-0.19792878802412478,-0.0202314266384079,-0.17769736138571687,-0.39876760904382064,-0.023854649205818312,0.019,-0.39567307689473263,-0.023189653567418006,-0.310539512518687,0.024650382333188437,-0.3339760906887721,0.42110760695808125,-0.08244036977789965,,-0.2149489542242199,-0.12941560133175892,ALL
X2_short_squeeze_continuation,427,0.4566744730679157,195,0.014057771008138448,0.02937543437903412,0.004641786399176659,0.024733647979857457,-0.0033308826247240315,0.06217393335357927,0.078,-0.006805057178442118,0.06568698864767043,0.16879313386925582,-0.12308758897598322,-0.37249589825149865,-0.5302993486094617,0.10342177484978486,1.6516566201301144,-0.004550189616999594,-0.003501294746644554,ALL
X3_capitulation_rebound,483,0.8674948240165632,419,0.010586315400828428,0.013984944224578423,0.0007484077451182567,0.013236536479460164,-0.0032205441008185073,0.03064214636702559,0.099,-0.0044320411236107434,0.03385709260380773,0.08157291196823144,0.16957761097183635,-0.02411078264641835,-0.23436608693528058,0.024696877360598727,1.369982367758867,-0.0012385382573074615,0.0002666620989645627,ALL
X4_funding_despite_reversal_OI,85,0.29411764705882354,25,0.006169435261740889,-0.004432814466797147,-0.005492572440509196,0.00105975797371205,-0.04983563736806998,0.06317963441460579,0.934,-0.0503178171219351,0.06395879701336243,-0.5069340116802545,-0.6374481818556185,-0.2888240777535765,-0.18101841284056963,0.004182767417341944,,-0.02039660430290899,0.010622542495372944,ALL
