asset,period,bucket,n,mean_bp,lo_bp,hi_bp,vol_bp,settlement_hour
BTCUSDT,OOS,hour_03,989,0.92885923341068,-1.6558180723884257,3.3567688864994496,40.74850392852914,False
BTCUSDT,OOS,hour_04,989,0.18008080632602083,-2.1150891620447103,2.3540017656028125,37.43106944090165,False
BTCUSDT,OOS,hour_05,989,0.5394353971898864,-1.6191833362307892,2.5997235496843376,37.489588443935084,False
BTCUSDT,OOS,hour_06,989,-0.17713716803666002,-3.12788964731454,2.87796615017317,44.82216968762927,False
BTCUSDT,OOS,hour_07,989,-0.4123899846685981,-2.747311080463283,2.1235049830435218,42.100251715267504,False
BTCUSDT,OOS,hour_08,989,2.736891097298845,-0.17686171403050197,5.598949639367152,44.78437972841155,True
BTCUSDT,OOS,hour_09,989,1.1925320797212513,-0.9053078203273122,3.295914066257229,38.23219127986254,False
BTCUSDT,OOS,hour_10,988,-0.7383406264244714,-3.114705660506129,1.444793387342087,37.30693088717461,False
BTCUSDT,OOS,hour_11,988,1.638160465072375,-0.7000038648589851,3.8439405198489105,37.60711556996241,False
BTCUSDT,OOS,hour_12,988,-0.273430941764164,-2.9324162216732255,2.083603435814,44.513680684618286,False
BTCUSDT,OOS,hour_13,988,-2.5784993926393343,-6.281005352248616,1.3595925329094616,63.054820039475246,False
BTCUSDT,OOS,hour_14,988,0.5536301909518474,-4.145673465338268,5.5002438887770735,77.69275316833416,False
BTCUSDT,OOS,hour_15,988,1.6667479890518644,-2.8406702113822777,6.2194507062266196,73.70968644815886,False
BTCUSDT,OOS,hour_16,988,-1.2643521062695164,-4.727596685168878,2.2113086691503483,55.668006257228065,True
BTCUSDT,OOS,hour_17,988,3.046687591066623,-0.9661972974637957,6.660604473489157,59.738921853895185,False
BTCUSDT,OOS,hour_18,988,-1.1884457698456796,-4.3991400466486885,2.001492400662018,54.27290167149097,False
BTCUSDT,OOS,hour_19,988,-1.7725497325339854,-5.240252805926378,1.3417190454220294,54.79889561971001,False
BTCUSDT,OOS,hour_20,988,0.79200203628743,-2.151263412085866,3.7358802983830572,49.877189022668794,False
BTCUSDT,OOS,hour_21,988,3.9186902792730818,0.8397617976057822,6.631645820755949,47.77914510015016,False
BTCUSDT,OOS,hour_22,988,3.0325224548719554,-0.14100906428542131,6.356033655951719,49.792052594457004,False
BTCUSDT,OOS,hour_23,988,-2.7506750704868876,-5.150371162963322,0.09854272518957358,40.84168808753103,False
BTCUSDT,IS,dow_0,225,29.14186905645256,-18.795596384468645,85.91245916212844,420.1999657994133,False
BTCUSDT,IS,dow_1,225,17.346919723793217,-30.188186866816164,57.705594857879504,316.6464354081813,False
BTCUSDT,IS,dow_2,225,47.50904966329179,-3.778442463900687,93.5920233025164,379.96067793885754,False
BTCUSDT,IS,dow_3,225,-17.83757858884985,-69.13280481111236,34.566426007603646,448.57854077318865,False
BTCUSDT,IS,dow_4,225,17.188517554237468,-26.032565145321378,64.13372717249982,373.8297779648078,False
BTCUSDT,IS,dow_5,225,9.770287692278137,-18.2981445181013,37.744612031613535,211.0776992130356,False
BTCUSDT,IS,dow_6,225,4.142684827811853,-31.07865696243137,40.01964285335437,260.88868817034796,False
BTCUSDT,OOS,dow_0,142,51.42884252368256,3.150692837625117,100.33807792072074,284.76253861481894,False
BTCUSDT,OOS,dow_1,142,-27.785033410103853,-73.45576480063995,9.6435661580783,253.7467312301725,False
BTCUSDT,OOS,dow_2,141,43.76980670870326,-4.346310979099474,93.47122194180655,279.0179745240365,False
BTCUSDT,OOS,dow_3,141,-23.23614332682857,-68.50195820969536,24.4376908230385,265.64674772158384,False
BTCUSDT,OOS,dow_4,141,7.564288486096129,-35.23625905473636,54.546468878378256,272.4998559755093,False
