,CB1_coinbase_premium_high_long_BTC,CB2_coinbase_premium_low_short_BTC,F1_extreme_pos_funding_short,F2_extreme_neg_funding_long,F3_funding_despite_reversal_short,F4_high_funding_ann_100pct_short,P1_premium_z_high_short,P2_premium_z_low_long,L1_new_perp_listing_short,C1_funding_interval_shortened,Q1_long_liq_flush_OI_reset_long,Q2_long_liq_OI_rebuild_short,Q3_short_liq_squeeze_OI_reset_short,Q4_short_liq_OI_rebuild_long,U1_control_price_up_1sd_long,U2_control_price_down_1sd_long,O1_price_up_OI_up,O2_price_up_OI_down,O3_price_down_OI_up,O4_price_down_OI_down,X1_crowded_long_reversal,X2_short_squeeze_continuation,X3_capitulation_rebound,X4_funding_despite_reversal_OI,BTC,Gerhard_3close,majors_alts_LS
Q1_long_liq_flush_OI_reset_long,0.05658534583926275,0.0004697511819220362,-0.1484678219361953,0.3069194068792995,-0.4296970975532763,-0.11162284362685891,-0.411215980937492,0.4153276080466421,-0.11461213382321798,0.012774313167713805,1.0,-0.3891569689122366,-0.4398991268325378,0.35604948753591054,0.4492996628040277,0.5707738460966862,0.40396098942039627,0.18746670412923547,0.2735543916885299,0.6785324587994306,-0.045602263367939135,0.3363625890799728,0.6793141643564236,-0.18156186527113427,0.09513715404700746,0.07271738106954795,0.034949927262723966
Q2_long_liq_OI_rebuild_short,0.014552978730637137,0.02731836577011113,0.15186785877722978,-0.24689290776387637,0.21410420316562634,0.13043450768554826,0.3102588801437958,-0.274653725838288,0.060222244365563775,-0.04358012494287243,-0.3891569689122366,1.0,0.19072932002374915,-0.5577678187495525,-0.41613495705530024,-0.39212295306147454,-0.4432132000313835,-0.1109779819539317,-0.2778535343218864,-0.3733174417843257,0.23126753740337452,-0.1821321535346731,-0.292032703352726,0.1018440751207092,-0.044349172799585806,-0.0558804813253143,-0.03824813710060235
Q3_short_liq_squeeze_OI_reset_short,-0.06294041717546599,0.05650080957904901,0.07331891557740274,-0.1246424550934513,0.17364787898617984,0.04583153520133851,0.1955347128701932,-0.1666422728470815,0.028745704876254427,0.000661908356837133,-0.4398991268325378,0.19072932002374915,1.0,-0.24951064689968336,-0.23391431616763178,-0.27318815927187023,-0.23370365535513143,-0.34996008951387375,-0.15424171401606065,-0.32296703953397776,0.026913065191352954,-0.27166918269248,-0.27315770889128704,0.1081630991839739,-0.12654413471760967,-0.030742445400033264,-0.013276877818809372
Q4_short_liq_OI_rebuild_long,0.0028929286137147825,-0.027643189512016733,-0.2163857480164917,0.2917660273827879,-0.2696054600480883,-0.1969764727025393,-0.4276356542383037,0.42899848666984347,-0.11296189080933292,0.042243182390078814,0.35604948753591054,-0.5577678187495525,-0.24951064689968336,1.0,0.6300413732691078,0.5097524762701369,0.7249851661394782,0.1667486827232144,0.1936528610160463,0.47666060044327213,-0.1809702064062472,0.2772750534394193,0.28166828595890486,-0.1127043469766253,0.05012024261244348,0.04665942742170691,0.03238605631754579
U1_control_price_up_1sd_long,-0.014960971859043052,-0.014166730106300103,-0.2446812311976712,0.38918035526779754,-0.44296151805677586,-0.21614781285280288,-0.595708229156906,0.6050089477796273,-0.15737185147633773,0.0361735680763145,0.4492996628040277,-0.41613495705530024,-0.23391431616763178,0.6300413732691078,1.0,0.727714547897612,0.8380764192896092,0.21057695592826595,0.23861813225108094,0.6281485604124949,-0.11971503424860092,0.2519180826609698,0.31370170415314175,-0.1536939500482939,0.08133851441092452,0.09438104903340934,0.07750668140624196
U2_control_price_down_1sd_long,0.02186627213768721,-0.01963265496628938,-0.2390256916897859,0.4361963339971724,-0.5535534540703296,-0.17933477563143974,-0.6330414184712068,0.6544910138321576,-0.19015766767223666,0.020185949129215966,0.5707738460966862,-0.39212295306147454,-0.27318815927187023,0.5097524762701369,0.727714547897612,1.0,0.6493039930469933,0.1666122325902465,0.36656590689262597,0.8275134311522382,-0.0756391664617347,0.2994109896327182,0.3976397840495753,-0.20293011580573228,0.11813278491293157,0.11744640075253285,0.07943128959051901
O1_price_up_OI_up,-0.001888697204268462,-0.00974850412678204,-0.23687458046883536,0.33210796055130765,-0.3650112369568978,-0.21005780410882177,-0.5446849036886001,0.5255187048914757,-0.13107317782480465,0.047616270399443196,0.40396098942039627,-0.4432132000313835,-0.23370365535513143,0.7249851661394782,0.8380764192896092,0.6493039930469933,1.0,0.18228209298134465,0.19302312531552837,0.5932077449319275,-0.17921610431078167,0.20199792001988695,0.2610750324309001,-0.1009611431193241,0.08097125695144367,0.08709170043775637,0.06664138952071577
O2_price_up_OI_down,0.03418698417279992,0.005372257589106056,-0.018458261678617638,0.05856308602372704,-0.09746704494894566,-0.022252441781513494,-0.1400527253844343,0.12217011706792172,-0.030667453750560132,0.02722469681471345,0.18746670412923547,-0.1109779819539317,-0.34996008951387375,0.1667486827232144,0.21057695592826595,0.1666122325902465,0.18228209298134465,1.0,0.2207531514301316,0.1771794229274719,0.0005670639924032125,0.059915650079693905,0.07327277074145738,-0.07529870877070473,0.021803607076020977,-0.007335331924877859,0.0176050599815606
O3_price_down_OI_up,0.0017860261032428782,-0.015128998444310876,-0.042524779585072066,0.22173980238361074,-0.20326938645976608,-0.021342911871831193,-0.21480899050047034,0.24939148816055756,-0.04146865161472904,0.01525489963403243,0.2735543916885299,-0.2778535343218864,-0.15424171401606065,0.1936528610160463,0.23861813225108094,0.36656590689262597,0.19302312531552837,0.2207531514301316,1.0,0.30152553974669044,-0.0022465465389919534,0.14118292233730267,0.17561147363090743,-0.10328752596693887,0.04564040033301437,0.024955262212043458,0.005814216444246538
O4_price_down_OI_down,0.03685775879274311,-0.0070762505699369805,-0.21539089714271964,0.3897068323067335,-0.5130940238054014,-0.16252183366654147,-0.5456204525175146,0.5621397118093878,-0.16652652625151995,0.018306481837006054,0.6785324587994306,-0.3733174417843257,-0.32296703953397776,0.47666060044327213,0.6281485604124949,0.8275134311522382,0.5932077449319275,0.1771794229274719,0.30152553974669044,1.0,-0.06879700748740508,0.3170167263186073,0.47169976482611625,-0.1887620821347736,0.12842628100338818,0.12211548042532448,0.07343446245328006
X1_crowded_long_reversal,0.005387849021558972,-0.013718393588111088,0.11813625164559627,0.004969972900743568,-0.004475327604812743,0.09777485241094373,0.0648606502245024,-0.04514818272196525,0.05043346791486373,0.007674318959052366,-0.045602263367939135,0.23126753740337452,0.026913065191352954,-0.1809702064062472,-0.11971503424860092,-0.0756391664617347,-0.17921610431078167,0.0005670639924032125,-0.0022465465389919534,-0.06879700748740508,1.0,-0.009167403384174233,0.017060423499699436,0.01689225837728366,-0.058206428251057755,-0.08649849001515657,-0.03400072135515413
X2_short_squeeze_continuation,0.00294728457003043,0.0301175502966346,-0.0797532471447915,0.26303925542154744,-0.2517821357888304,-0.04393492701120574,-0.24105474170819877,0.2976597218919106,-0.05777743357630689,-0.0012807915028654583,0.3363625890799728,-0.1821321535346731,-0.27166918269248,0.2772750534394193,0.2519180826609698,0.2994109896327182,0.20199792001988695,0.059915650079693905,0.14118292233730267,0.3170167263186073,-0.009167403384174233,1.0,0.4520828725530371,-0.12767941207711872,-0.005546583079050328,0.019751729337833514,-0.03697994755589487
X3_capitulation_rebound,0.06615551377362845,0.051254221777040705,-0.09295004786725224,0.22955901938760687,-0.303021508242649,-0.017849432523718466,-0.26625018714266036,0.31519639223663687,-0.12711561704728175,0.008725691711754814,0.6793141643564236,-0.292032703352726,-0.27315770889128704,0.28166828595890486,0.31370170415314175,0.3976397840495753,0.2610750324309001,0.07327277074145738,0.17561147363090743,0.47169976482611625,0.017060423499699436,0.4520828725530371,1.0,-0.17039664394971224,0.017341612496934264,-0.020500663737018844,-0.04751295441634068
X4_funding_despite_reversal_OI,-0.05295061354102467,0.08276031865539155,0.02892496460600415,-0.12223403108539406,0.2557239597141887,0.00842646810467356,0.13352752218045133,-0.18328254951950232,0.04808862332268559,0.014197181682922583,-0.18156186527113427,0.1018440751207092,0.1081630991839739,-0.1127043469766253,-0.1536939500482939,-0.20293011580573228,-0.1009611431193241,-0.07529870877070473,-0.10328752596693887,-0.1887620821347736,0.01689225837728366,-0.12767941207711872,-0.17039664394971224,1.0,-0.08828354508675737,-0.017123251122417804,-0.02445267443776518
BTC,0.2601249080505944,-0.35537652494232747,-0.0006567560261179503,-0.014437769853018105,-0.09346411787043739,-0.02877261714620653,-0.03315772625494084,-0.0024152470433652425,-0.06440244642344616,-0.02267942886607189,0.09513715404700746,-0.044349172799585806,-0.12654413471760967,0.05012024261244348,0.08133851441092452,0.11813278491293157,0.08097125695144367,0.021803607076020977,0.04564040033301437,0.12842628100338818,-0.058206428251057755,-0.005546583079050328,0.017341612496934264,-0.08828354508675737,1.0,0.7163734992041954,0.1222026262489517
Gerhard_3close,0.2905752258675463,-0.21839882509007924,-0.017183173671490217,0.03137915685836644,-0.07952755885068095,-0.06939437870455345,-0.06277446925447432,0.04796110120210378,-0.05966904617385929,-0.002913906787284757,0.07271738106954795,-0.0558804813253143,-0.030742445400033264,0.04665942742170691,0.09438104903340934,0.11744640075253285,0.08709170043775637,-0.007335331924877859,0.024955262212043458,0.12211548042532448,-0.08649849001515657,0.019751729337833514,-0.020500663737018844,-0.017123251122417804,0.7163734992041954,1.0,0.14336872190571173
majors_alts_LS,0.031503482639344015,-0.023138409358945417,-0.059223053695584726,0.024741178353206487,-0.08197718924062142,-0.012312682289725846,-0.09867229159708991,0.10188413253042244,-0.06597112095325988,0.053374751504321576,0.034949927262723966,-0.03824813710060235,-0.013276877818809372,0.03238605631754579,0.07750668140624196,0.07943128959051901,0.06664138952071577,0.0176050599815606,0.005814216444246538,0.07343446245328006,-0.03400072135515413,-0.03697994755589487,-0.04751295441634068,-0.02445267443776518,0.1222026262489517,0.14336872190571173,1.0
