date,score,regime
2024-09-22,0.0,BALANCED
2024-09-23,0.0,BALANCED
2024-09-24,0.0,BALANCED
2024-09-25,0.0,BALANCED
2024-09-26,0.0,BALANCED
2024-09-27,0.0,BALANCED
2024-09-28,0.0,BALANCED
2024-09-29,0.0,BALANCED
2024-09-30,0.0,BALANCED
2024-10-01,0.0,BALANCED
2024-10-02,0.0,BALANCED
2024-10-03,-0.25287705359869506,BALANCED
2024-10-04,-0.5080013159057098,WEAK_RISK_ON_ALTS
2024-10-05,-0.17956343515248466,WEAK_RISK_ON_ALTS
2024-10-06,-0.4244421549256698,WEAK_RISK_ON_ALTS
2024-10-07,-0.3277464919334703,WEAK_RISK_ON_ALTS
2024-10-08,-0.8475552843021334,WEAK_RISK_ON_ALTS
2024-10-09,-0.5853405891952924,WEAK_RISK_ON_ALTS
2024-10-10,-0.3554098960789449,WEAK_RISK_ON_ALTS
2024-10-11,0.27341072017600937,BALANCED
2024-10-12,-0.06316664839993019,BALANCED
2024-10-13,-0.28650594196182877,BALANCED
2024-10-14,-0.000027387350896371232,BALANCED
2024-10-15,-0.06372282141980234,BALANCED
2024-10-16,-0.6234245181744386,WEAK_RISK_ON_ALTS
2024-10-17,-0.38205924955272247,WEAK_RISK_ON_ALTS
2024-10-18,-0.32927328913777365,WEAK_RISK_ON_ALTS
2024-10-19,0.019603932189035028,BALANCED
2024-10-20,0.06128873066081475,BALANCED
2024-10-21,-0.008376967617131054,BALANCED
2024-10-22,-0.36177740321121005,BALANCED
2024-10-23,-0.4053835400257499,BALANCED
2024-10-24,-0.009756989990357616,BALANCED
2024-10-25,0.342295904468734,BALANCED
2024-10-26,0.10843451722932074,BALANCED
2024-10-27,0.5773721605360781,WEAK_RISK_ON_MAJORS
2024-10-28,0.530791947487799,WEAK_RISK_ON_MAJORS
2024-10-29,0.6866303526112629,WEAK_RISK_ON_MAJORS
2024-10-30,0.7069191284404528,WEAK_RISK_ON_MAJORS
2024-10-31,0.2681196163694999,WEAK_RISK_ON_MAJORS
2024-11-01,0.717481586810988,WEAK_RISK_ON_MAJORS
2024-11-02,0.5305212490222709,WEAK_RISK_ON_MAJORS
2024-11-03,0.4175897135695483,WEAK_RISK_ON_MAJORS
2024-11-04,0.3454038791168823,WEAK_RISK_ON_MAJORS
2024-11-05,0.19080330059933076,BALANCED
2024-11-06,0.8095802082731026,WEAK_RISK_ON_MAJORS
2024-11-07,1.5028014495525288,STRONG_RISK_ON_MAJORS
2024-11-08,0.9029658274416218,WEAK_RISK_ON_MAJORS
2024-11-09,1.8137394831836011,STRONG_RISK_ON_MAJORS
2024-11-10,0.7144017584669078,WEAK_RISK_ON_MAJORS
2024-11-11,0.5,WEAK_RISK_ON_MAJORS
2024-11-12,0.5,WEAK_RISK_ON_MAJORS
2024-11-13,0.04748452128872106,BALANCED
2024-11-14,0.15606771002529635,BALANCED
2024-11-15,0.5,BALANCED
2024-11-16,0.5,BALANCED
2024-11-17,-0.1375759555586053,BALANCED
2024-11-18,0.691088456885712,WEAK_RISK_ON_MAJORS
2024-11-19,0.6313408857665319,WEAK_RISK_ON_MAJORS
2024-11-20,-0.1823380799766595,BALANCED
2024-11-21,-0.041446665608291994,BALANCED
2024-11-22,0.5364780325206181,WEAK_RISK_ON_MAJORS
2024-11-23,-0.05045372028168778,BALANCED
2024-11-24,-0.09406609364916033,BALANCED
2024-11-25,-0.3131413586419738,BALANCED
2024-11-26,-0.25249531995429797,BALANCED
2024-11-27,-0.21428423876400104,BALANCED
2024-11-28,-0.005014708111299948,BALANCED
2024-11-29,-0.28395092352959184,BALANCED
2024-11-30,-0.11483277072628845,BALANCED
2024-12-01,0.0,BALANCED
2024-12-02,0.0,BALANCED
2024-12-03,0.0,BALANCED
2024-12-04,0.0,BALANCED
2024-12-05,0.0,BALANCED
2024-12-06,0.0,BALANCED
2024-12-07,0.0,BALANCED
2024-12-08,0.0,BALANCED
2024-12-09,0.0,BALANCED
2024-12-10,0.0,BALANCED
2024-12-11,0.0,BALANCED
2024-12-12,0.0,BALANCED
2024-12-13,0.0,BALANCED
2024-12-14,0.0,BALANCED
2024-12-15,0.0,BALANCED
2024-12-16,0.0,BALANCED
2024-12-17,0.0,BALANCED
2024-12-18,0.0,BALANCED
2024-12-19,0.0,BALANCED
2024-12-20,0.0,BALANCED
2024-12-21,0.0,BALANCED
