event_id,event_name,window_id,window_start,window_end,return,cum_return,max_drawdown,volatility,sharpe,peak_return,n_days,excess_vs_btc,excess_vs_eth
EURO_2020,UEFA Euro 2020 (played 2021),event_0_30,0,30,-0.06714290868420081,-0.06714290868420081,-0.4489302594075838,1.1588796634476466,-0.05793777406109112,0.2220658801457589,31,-0.00124836046537935,0.06666039269292445
EURO_2020,UEFA Euro 2020 (played 2021),post_14_30,14,30,0.034778084603994674,0.034778084603994674,-0.08032176731900598,0.6658958959677748,0.052227509273315334,0.040380998119022626,17,0.046436018158100834,-0.041084434998723385
EURO_2020,UEFA Euro 2020 (played 2021),post_30_60,30,60,0.2786930150655451,0.2786930150655451,-0.20555664253570727,0.7415929251969123,0.3758032228173058,0.2786930150655451,31,-0.08193638772890233,-0.20975862870971307
EURO_2020,UEFA Euro 2020 (played 2021),post_60_90,60,90,0.1185292694726654,0.1185292694726654,-0.35316884373488144,1.0336426162468002,0.11467142169150876,0.44041283663925146,31,0.11546484610054586,0.034868985721890455
EURO_2024,UEFA Euro 2024,pre_120_90,-120,-90,0.28084166026133794,0.28084166026133794,-0.3190814757878555,0.9340896053429796,0.3006581549011422,0.5999231360491935,31,0.020094181297565683,0.011172745993334177
EURO_2024,UEFA Euro 2024,pre_90_60,-90,-60,-0.3061002917825876,-0.3061002917825876,-0.40700278211304886,1.1136933165847858,-0.27485150936592606,0.07152066227861886,31,-0.21862010297642454,-0.13502399688574884
EURO_2024,UEFA Euro 2024,pre_60_30,-60,-30,0.11377189713007874,0.11377189713007874,-0.15346626910175165,0.6147644476607753,0.18506583409683328,0.19409243384271369,31,0.10547697271126855,0.15261681854327813
EURO_2024,UEFA Euro 2024,pre_30_14,-30,-14,0.27023638968481367,0.27023638968481367,-0.1111210601719197,0.9671834214078906,0.27940552010019576,0.38135744985673337,17,0.17340685018913127,-0.035239454627851385
EURO_2024,UEFA Euro 2024,pre_14_0,-14,0,-0.2576422206991088,-0.2576422206991088,-0.29273474982864955,0.8834605959029131,-0.2916284200762904,0.03509252912954075,15,-0.22387328549193075,-0.18663998211813937
EURO_2024,UEFA Euro 2024,event_0_7,0,7,-0.30988796016361375,-0.30988796016361375,-0.27298595056019914,0.657068325935501,-0.47162211784625224,-0.03690200960341461,8,-0.2705090254712883,-0.32404026315548573
EURO_2024,UEFA Euro 2024,event_0_14,0,14,-0.3313178018851145,-0.3313178018851145,-0.2944157922816999,0.6236185239697478,-0.5312828016448705,-0.03690200960341461,15,-0.23629183256008346,-0.3055928926789121
EURO_2024,UEFA Euro 2024,event_0_30,0,30,-0.38733772007825007,-0.38733772007825007,-0.4100124488707094,0.7437743445284186,-0.5207731588484749,-0.03690200960341461,31,-0.2978539600979828,-0.32268100710194325
EURO_2024,UEFA Euro 2024,post_14_30,14,30,-0.11325611325611318,-0.11325611325611318,-0.18018018018018023,0.8074302699071837,-0.14026735939248186,-0.019305019305019266,17,-0.09853221153235536,-0.05373906615487356
EURO_2024,UEFA Euro 2024,post_30_60,30,60,-0.17058823529411726,-0.17058823529411726,-0.37058823529411744,0.6622018281107592,-0.2576076136858817,0.11029411764705865,31,-0.193950331313949,-0.021501196222097674
EURO_2024,UEFA Euro 2024,post_60_90,60,90,-0.04316546762589968,-0.04316546762589968,-0.24280575539568372,0.4998582005338032,-0.08635542383069567,0.11870503597122317,31,-0.022703989099062127,0.08927401369504218
COPA_2024,Copa América 2024,pre_120_90,-120,-90,0.0663797912184243,0.0663797912184243,-0.36536775838712277,0.9813961670342921,0.06763811880643268,0.3269583233723812,31,-0.15440246142333103,-0.040273696066014386
COPA_2024,Copa América 2024,pre_90_60,-90,-60,-0.1590612777053454,-0.1590612777053454,-0.4344487903809938,1.0352789014158452,-0.15364099080103308,0.14377806750688116,31,-0.15050999312719882,-0.060236535732457686
COPA_2024,Copa América 2024,pre_60_30,-60,-30,0.051563820794589876,0.051563820794589876,-0.13922231614539304,0.6054623732028899,0.08516436730853168,0.08326289095519868,31,-0.0286287059440804,-0.14927653930541696
COPA_2024,Copa América 2024,pre_30_14,-30,-14,0.09748880358285361,0.09748880358285361,-0.13627639155470206,0.9640378707608505,0.1011254905314636,0.23376519513755567,17,0.1065523534050844,0.05606632598998895
COPA_2024,Copa América 2024,pre_14_0,-14,0,-0.4576965065502183,-0.4576965065502183,-0.3940365720524017,0.8749125001132582,-0.5231340291282028,-0.0636599344978166,15,-0.36997065291912157,-0.36641070394855624
COPA_2024,Copa América 2024,event_0_7,0,7,-0.029720279720279685,-0.029720279720279685,-0.05207292707292699,0.33729402203334663,-0.0881138617873363,-0.007492507492507516,8,0.020574936685820222,0.0011938308987045065
COPA_2024,Copa América 2024,event_0_14,0,14,-0.21828171828171816,-0.21828171828171816,-0.21078921078921065,0.6216584536254018,-0.35112804064266717,-0.007492507492507516,15,-0.09632039722543073,-0.07762490226378815
COPA_2024,Copa América 2024,event_0_30,0,30,-0.07842157842157838,-0.07842157842157838,-0.2157842157842157,0.6640733681431508,-0.11809173655004349,-0.007492507492507516,31,-0.11175148989282435,-0.06634184827056067
COPA_2024,Copa América 2024,post_14_30,14,30,0.03943661971831003,0.03943661971831003,-0.07464788732394367,0.8064713937017688,0.04890020841072946,0.04084507042253516,17,-0.07568617507273179,-0.027934446105181587
COPA_2024,Copa América 2024,post_30_60,30,60,-0.2638700947225977,-0.2638700947225977,-0.34100135317997293,0.617077559387625,-0.42761252039100517,0.021650879566982306,31,-0.15553676138926498,-0.016356872344025497
COPA_2024,Copa América 2024,post_60_90,60,90,0.003724394785847185,0.003724394785847185,-0.25139664804469286,0.5053970972550773,0.0073692443672168815,0.15828677839851046,31,-0.05331464600583713,0.09460738389443668
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),pre_120_90,-120,-90,,,,,,,0,,
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),pre_90_60,-90,-60,,,,,,,0,,
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),pre_60_30,-60,-30,,,,,,,0,,
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),pre_30_14,-30,-14,,,,,,,0,,
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),pre_14_0,-14,0,,,,,,,0,,
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),event_0_7,0,7,,,,,,,0,,
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),event_0_14,0,14,,,,,,,0,,
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),event_0_30,0,30,,,,,,,0,,
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),post_14_30,14,30,,,,,,,0,,
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),post_30_60,30,60,,,,,,,0,,
FIFA_WC_2026,FIFA World Cup 2026 (USA/Canada/Mexico),post_60_90,60,90,,,,,,,0,,
