date,open,high,low,close,volume,return,cum_return
2020-04-02,6643.36,7198.0,6551.0,6794.09,149299.906871,0.022756558862668808,-0.6443380136588313
2020-04-03,6793.86,7048.0,6602.1,6734.1,104080.276939,-0.008829732900211718,-0.6474784140009826
2020-04-04,6732.97,6990.41,6650.01,6856.99,72990.861139,0.018248912252565308,-0.6410452785109513
2020-04-05,6857.41,6895.54,6677.52,6772.78,49685.356983,-0.012280898761701575,-0.6454535651055932
2020-04-06,6772.78,7355.14,6765.0,7329.9,118052.000832,0.08225868845584827,-0.6162890403744825
2020-04-07,7329.9,7459.69,7077.0,7197.32,103585.168918,-0.018087559175432144,-0.6232294350629708
2020-04-08,7197.32,7420.0,7150.0,7361.28,76059.145838,0.022780701705634954,-0.6146463372116768
2020-04-09,7360.26,7371.92,7108.08,7283.54,61094.872417,-0.010560663362893408,-0.6187159275200422
2020-04-10,7283.54,7295.75,6739.98,6858.92,104674.623375,-0.05829857459422205,-0.6409442454611038
2020-04-11,6858.92,6944.3,6760.0,6876.83,45470.293206,0.0026111982644496656,-0.6400066796980112
2020-04-12,6876.84,7177.0,6780.0,6903.79,73868.666501,0.003920411003325741,-0.6385953579239755
2020-04-13,6903.79,6903.79,6575.0,6837.91,96415.476573,-0.00954258458035373,-0.6420440922887184
2020-04-14,6838.04,6978.0,6754.28,6868.7,69068.623285,0.0045028378554266,-0.6404322748769025
2020-04-15,6868.57,6933.0,6605.0,6621.24,61571.384994,-0.03602719583036096,-0.6533864917241897
2020-04-16,6621.25,7190.0,6468.27,7101.94,125009.857539,0.07259969431707658,-0.6282224569771964
2020-04-17,7101.99,7148.12,6972.98,7027.55,54126.509763,-0.010474602714187875,-0.6321166790384172
2020-04-18,7026.78,7293.08,7014.4,7248.6,49488.542819,0.03145477442351896,-0.6205449921633955
2020-04-19,7248.6,7266.15,7055.6,7120.74,45664.86393,-0.01763926827249407,-0.6272383008439668
2020-04-20,7121.4,7220.0,6751.0,6826.83,90149.49137,-0.04127520454334799,-0.642624116222558
2020-04-21,6828.98,6940.0,6762.0,6841.37,60109.710808,0.002129831854609021,-0.6418629656812198
2020-04-22,6841.36,7156.38,6818.0,7125.14,61486.377334,0.04147853427018289,-0.6270079664298065
2020-04-23,7125.12,7738.0,7020.0,7482.39,102773.569561,0.050139365682639214,-0.6083063824619194
2020-04-24,7483.96,7615.96,7388.0,7505.0,60182.119939,0.0030217617632868343,-0.6071227776655193
2020-04-25,7505.0,7705.0,7431.07,7538.67,43874.427726,0.004486342438374535,-0.6053601959098894
2020-04-26,7539.03,7700.0,7480.0,7693.1,50522.616209,0.020485045770673116,-0.597275981460174
2020-04-27,7693.1,7792.02,7606.0,7774.62,65441.339576,0.010596508559618245,-0.5930085129505529
2020-04-28,7773.51,7780.0,7659.12,7738.98,46302.752638,-0.004584146877918194,-0.5948742217052498
2020-04-29,7738.58,8952.89,7710.05,8778.57,183546.887514,0.13433165610971987,-0.5404530049741769
2020-04-30,8778.58,9460.0,8401.0,8620.0,206277.214124,-0.018063306438292348,-0.5487539431681248
2020-05-01,8620.0,9059.18,8613.56,8826.96,91468.815059,0.024009280742459227,-0.5379198499057205
2020-05-02,8825.67,9010.0,8753.0,8972.05,59002.08755,0.016437142572301333,-0.5303245725987905
2020-05-03,8972.58,9200.0,8712.0,8894.16,90126.065643,-0.008681405030065537,-0.5344020152167295
2020-05-04,8894.15,8950.0,8522.0,8871.96,84418.512331,-0.0024960198602229644,-0.5355641570336284
2020-05-05,8871.92,9118.58,8760.0,9021.83,76480.765342,0.016892546855486357,-0.5277186527949516
2020-05-06,9021.36,9395.0,8906.21,9142.92,105925.30242,0.013421888907239499,-0.5213797450198041
2020-05-07,9143.4,10067.0,9021.0,9986.4,147154.611378,0.09225499074693855,-0.47722463782530866
2020-05-08,9986.3,10035.96,9705.0,9800.01,100683.7964,-0.018664383561643794,-0.48698191770151433
2020-05-09,9800.02,9914.25,9520.0,9539.4,81950.679567,-0.02659283000731638,-0.5006245203547575
2020-05-10,9539.1,9574.83,8117.0,8722.77,183865.182028,-0.0856060129567896,-0.5433740641355711
2020-05-11,8722.77,9168.0,8200.0,8561.52,168807.251832,-0.018486100172307673,-0.5518152969272346
2020-05-12,8562.04,8978.26,8528.78,8810.79,86522.780066,0.029115157121632596,-0.5387663288777589
2020-05-13,8810.99,9398.0,8792.99,9309.37,92466.274018,0.0565874342709336,-0.5126662988295876
2020-05-14,9309.35,9939.0,9256.76,9791.98,129565.37747,0.051841316866769516,-0.4874022780073567
2020-05-15,9791.97,9845.62,9150.0,9316.42,115890.761516,-0.048566275666412695,-0.5122972402796266
2020-05-16,9315.96,9588.0,9220.0,9381.27,59587.627862,0.006960828300999866,-0.5089024251072893
2020-05-17,9380.81,9888.0,9322.1,9680.04,68647.764323,0.031847500391738004,-0.4932621948985121
2020-05-18,9681.11,9950.0,9464.23,9733.93,82006.603583,0.005567125755678637,-0.49044112181235555
2020-05-19,9733.93,9897.21,9474.0,9775.53,78539.760454,0.00427371061842452,-0.4882634146239325
2020-05-20,9775.13,9842.0,9326.0,9511.43,74923.73809,-0.027016437983413688,-0.5020887143465889
2020-05-21,9511.43,9578.47,8815.0,9068.65,108928.780969,-0.04655241115163555,-0.525267685233366
2020-05-22,9067.51,9271.0,8933.52,9170.0,58943.131024,0.011175864103256883,-0.5199621413981095
2020-05-23,9170.0,9307.85,9070.0,9179.15,43526.296966,0.000997818974918241,-0.5194831505141174
2020-05-24,9179.01,9298.0,8700.0,8720.34,70379.86645,-0.04998393097400078,-0.5435012715506641
2020-05-25,8718.14,8979.66,8642.72,8900.35,62833.910949,0.020642543754027853,-0.5340779765749906
