strategy,start,end,years,cumulative_return,CAGR,ann_vol,downside_vol,Sharpe,Sortino,max_drawdown,Calmar,worst_year,worst_year_label,best_year,best_year_label,worst_month,worst_5d,worst_20d,pct_time_invested,avg_exposure,turnover_ann,n_position_changes,upside_capture,downside_capture,map,overlay,dvol_threshold
B_threshold +DVOL60,2021-03-24,2026-08-17,5.41,2.685938044287321,0.2729459099343896,0.32725664102119384,0.2844582851595151,0.83404238668059,0.9595287751289447,-0.37634764399111353,0.7252494184362013,-0.15515456824928409,2022,1.077116426314685,2024,-0.16051632517965309,-0.16376044310429305,-0.17706650656195644,0.5347187024835276,0.4935067569229131,16.794657177462284,351,0.47786261056239604,0.41889269070710866,B_threshold,trend + DVOL,60.0
B_threshold +DVOL70,2021-03-24,2026-08-17,5.41,2.796017511651594,0.2798947280743471,0.34667788912760955,0.3058395921208469,0.8073625023467244,0.9151683931220778,-0.4090527896727124,0.6842508721143155,-0.15766113433226914,2022,1.1007499199653772,2024,-0.1859360740532665,-0.16376044310429305,-0.2046104218503808,0.5347187024835276,0.5119085598158826,16.697022937862183,268,0.5033549479890101,0.4422930139075668,B_threshold,trend + DVOL,70.0
B_threshold +DVOL80,2021-03-24,2026-08-17,5.41,2.7500472873725634,0.2770130721208879,0.3618895815947705,0.324894897064457,0.765462964974427,0.852623647289635,-0.4386895083465404,0.6314558858837875,-0.15767275228636857,2022,1.0827041516133176,2024,-0.2113883394837318,-0.16376044310429305,-0.23158764525142583,0.5347187024835276,0.5250580999192945,16.776376740652562,228,0.5215320999785782,0.4604965746467586,B_threshold,trend + DVOL,80.0
B_threshold +DVOL90,2021-03-24,2026-08-17,5.41,2.8429632587245774,0.282808329792527,0.3724462921058169,0.3376934467732592,0.7593264741434919,0.8374705890648088,-0.45291670440940757,0.6244157635150646,-0.15767656254098994,2022,1.0844725238158772,2024,-0.21947447341977722,-0.17917158514520404,-0.2479771959824657,0.5347187024835276,0.5331857224889808,16.508507062470265,143,0.534052562693715,0.4712682330979157,B_threshold,trend + DVOL,90.0
B_threshold +DVOL100,2021-03-24,2026-08-17,5.41,2.9116131352341483,0.2870171662624015,0.3747411820727296,0.3394205600198531,0.7659077250994456,0.8456092531507623,-0.45296818013134255,0.6336364867377176,-0.15767656254098994,2022,1.0844725238158772,2024,-0.2192285632882861,-0.1815298840470464,-0.24828478794449638,0.5347187024835276,0.5346650604828146,16.30499195249343,91,0.5368634603134065,0.4730578625609004,B_threshold,trend + DVOL,100.0
B_threshold +DVOL110,2021-03-24,2026-08-17,5.41,2.9098619622323385,0.28691055513902297,0.3747666845514713,0.3394323362866138,0.7655711325631936,0.8452658290539476,-0.45296818013134166,0.6334011255621333,-0.15767656254098994,2022,1.0844725238158772,2024,-0.2192285632882861,-0.1815298840470464,-0.24828478794449638,0.5347187024835276,0.5347187024835276,16.27977698935631,88,0.536884283333492,0.47310057183352155,B_threshold,trend + DVOL,110.0
B_threshold +DVOL120,2021-03-24,2026-08-17,5.41,2.9098619622323385,0.28691055513902297,0.3747666845514713,0.3394323362866138,0.7655711325631936,0.8452658290539476,-0.45296818013134166,0.6334011255621333,-0.15767656254098994,2022,1.0844725238158772,2024,-0.2192285632882861,-0.1815298840470464,-0.24828478794449638,0.5347187024835276,0.5347187024835276,16.27977698935631,88,0.536884283333492,0.47310057183352155,B_threshold,trend + DVOL,120.0
C_strong trend-only,2021-03-24,2026-08-17,5.41,1.4976165720290875,0.18451689502807866,0.2578273241815384,0.32147127374923956,0.7156607454769175,0.5739763086017111,-0.2290544048876182,0.8055592518232028,0.0,2022,0.7280218933018447,2024,-0.1376404258495233,-0.13253507552346022,-0.22905440488761852,0.2747085656360872,0.2747085656360872,15.539787126203752,84,0.2723515342564968,0.22897324704848523,C_strong,trend only,
C_strong +DVOL60,2021-03-24,2026-08-17,5.41,1.4640956994429404,0.18155966781847122,0.22834687038164073,0.27177185357788974,0.7951046910125236,0.6680591291122657,-0.21518561091478472,0.8437351691250877,0.0,2022,0.7037392569235994,2024,-0.0952719241353156,-0.11186008605349795,-0.15825053537217448,0.2747085656360872,0.2532336030202594,14.952295704962648,209,0.24553440852737368,0.2035363715379163,C_strong,trend + DVOL,60.0
C_strong +DVOL70,2021-03-24,2026-08-17,5.41,1.5144702460495258,0.18599153115012412,0.24197776073262997,0.2931939976543835,0.7686306815428089,0.6343633656831221,-0.21725053571657738,0.8561154085841547,0.0,2022,0.7375115353852866,2024,-0.10954904906976126,-0.12331753503557175,-0.18295103794635637,0.2747085656360872,0.26313206638776143,15.357533415358807,175,0.25838959480288654,0.2150813049822466,C_strong,trend + DVOL,70.0
