conditioning,horizon_days,trend_score,n_obs,mean,median,std,win_rate,p05,p25,p75,mean_worst_decile,unconditional_mean,mean_excess_vs_uncond,spread_3_0,hac_t_vs_score0,hac_p_vs_score0,spearman_rho_all_scores,spearman_p_all_scores,sample_start,sample_end
BTC TrendScore -> ETH,60,2,1069,0.16536453901864867,0.037351632254075895,0.7797040418307947,0.5425631431244153,-0.4690056887894179,-0.24203328014588554,0.3374641959431812,-0.4883585164029795,0.2270930878901958,-0.061728548871547134,0.4450381549743064,1.1303795858752954,0.25831631226292906,0.206279704628003,4.21219404096616e-36,2016-07-19,2026-06-18
BTC TrendScore -> ETH,60,3,1276,0.4822296453883561,0.1883227317760252,1.0031392424820462,0.6567398119122257,-0.3703208703291937,-0.11098819211439478,0.5957825039818747,-0.37604516442668506,0.2270930878901958,0.25513655749816033,0.4450381549743064,2.7036603994970254,0.006858033955112274,0.206279704628003,4.21219404096616e-36,2016-07-19,2026-06-18
BTC TrendScore -> SOL,5,0,332,-0.0004867053189975482,-0.003907826392177294,0.10768308788948819,0.46686746987951805,-0.16998062620197776,-0.05326553284151042,0.05403189930934943,-0.19982660035107055,0.015828016796754284,-0.016314722115751832,0.045258588773470554,,,0.11340975382676882,1.0158600583234632e-07,2020-08-11,2026-08-11
BTC TrendScore -> SOL,5,1,588,-0.01725689501798386,-0.014757656323523105,0.12545693079665354,0.4336734693877551,-0.19956128665936929,-0.08467773796421332,0.04544343024022157,-0.2410744888577221,0.015828016796754284,-0.03308491181473815,0.045258588773470554,-1.3820632058413678,0.16695229476828566,0.11340975382676882,1.0158600583234632e-07,2020-08-11,2026-08-11
BTC TrendScore -> SOL,5,2,541,0.02269021524907096,0.010991220427585269,0.11523845701832508,0.5341959334565619,-0.13122459349593496,-0.059538274605103414,0.08709827666511427,-0.14577800403024,0.015828016796754284,0.006862198452316677,0.045258588773470554,1.776123613052107,0.07571254503157823,0.11340975382676882,1.0158600583234632e-07,2020-08-11,2026-08-11
BTC TrendScore -> SOL,5,3,731,0.04477188345447289,0.015162396173493686,0.16018159180068442,0.5430916552667578,-0.1493031907877994,-0.05937848995914835,0.11315532537109152,-0.16546181487944558,0.015828016796754284,0.028943866657718604,0.045258588773470554,2.9846052266374707,0.0028394451933627584,0.11340975382676882,1.0158600583234632e-07,2020-08-11,2026-08-11
BTC TrendScore -> SOL,20,0,331,0.017222735866437335,-0.0008792497069165517,0.24942142892054806,0.49244712990936557,-0.3066609603656636,-0.09641148210844042,0.08143591067675726,-0.340769143871944,0.07563537208406641,-0.05841263621762908,0.18303269675312622,,,0.19480680242700202,4.6369052986573514e-20,2020-08-11,2026-07-27
BTC TrendScore -> SOL,20,1,574,-0.04651846630952817,-0.062242349299308886,0.24282941986148665,0.3327526132404181,-0.4226926712826321,-0.16929456645756075,0.042926595421472924,-0.43746174657155507,0.07563537208406641,-0.12215383839359459,0.18303269675312622,-1.7513848769916998,0.07987963619494494,0.19480680242700202,4.6369052986573514e-20,2020-08-11,2026-07-27
BTC TrendScore -> SOL,20,2,541,0.07259215872826284,0.018564356435643692,0.3238929361729629,0.5286506469500925,-0.27667124542124544,-0.12019425333872935,0.16149786741849192,-0.28239756093209456,0.07563537208406641,-0.00304321335580357,0.18303269675312622,0.926110435474559,0.35438859134870604,0.19480680242700202,4.6369052986573514e-20,2020-08-11,2026-07-27
BTC TrendScore -> SOL,20,3,731,0.20025543261956338,0.07521522428636152,0.445727050401756,0.5896032831737346,-0.2657554735417098,-0.11315857640909405,0.3606513019619906,-0.2830246093517238,0.07563537208406641,0.12462006053549697,0.18303269675312622,2.5889378378618315,0.009627247167964832,0.19480680242700202,4.6369052986573514e-20,2020-08-11,2026-07-27
BTC TrendScore -> SOL,60,0,308,-0.052602787595419954,-0.05653393713845006,0.38835473158810047,0.38636363636363635,-0.5893504266420391,-0.31748255780430146,0.05562827225130895,-0.6046829430338886,0.3392578012012816,-0.39186058879670155,0.7525043888313115,,,0.25594771639596114,2.6002483270860467e-33,2020-08-11,2026-06-17
BTC TrendScore -> SOL,60,1,557,0.17173542165954211,-0.01698832774760195,0.9473747016014866,0.47755834829443444,-0.6102567990307953,-0.29022862167509345,0.24463519313304705,-0.6172872577587855,0.3392578012012816,-0.16752237954173946,0.7525043888313115,1.184811416991358,0.23609201749450548,0.25594771639596114,2.6002483270860467e-33,2020-08-11,2026-06-17
BTC TrendScore -> SOL,60,2,541,0.2475247308294353,-0.0645663839362991,0.9169734850539986,0.38632162661737524,-0.4914798206278027,-0.24749212503028828,0.2663794650870581,-0.5092556751604349,0.3392578012012816,-0.09173307037184628,0.7525043888313115,1.463884309783089,0.14322556112485565,0.25594771639596114,2.6002483270860467e-33,2020-08-11,2026-06-17
BTC TrendScore -> SOL,60,3,731,0.6999016012358943,0.21042967315460892,1.4926470036463437,0.66484268125855,-0.41059719886871193,-0.09793933198600263,0.6931638998514165,-0.42379771320283,0.3392578012012816,0.3606438000346127,0.7525043888313115,2.196177518047571,0.0280792398786334,0.25594771639596114,2.6002483270860467e-33,2020-08-11,2026-06-17
