funding_return,apr_simple,pos_frac,neg_frac,zero_frac,stdev,top10_share,max_drawdown,n_prints,window_days,symbol,rank_apr,quality_score,rank_quality
0.004263390000000001,0.05187124500000001,0.8131868131868132,0.18681318681318682,0.0,9.845879960464179e-05,0.15827643295568575,0.0007748900000000003,91,30,QTUMUSDT,21,-0.14148074445411518,22
-0.026055039999999995,-0.026055039999999995,0.754337899543379,0.245662100456621,0.0,0.0004714556734506671,0.01367960985752686,0.04035649000000006,1095,365,QTUMUSDT,69,-0.2494026436544164,71
-0.00017227000000000003,-0.008982650000000002,0.5909090909090909,0.4090909090909091,0.0,0.00013948972342327757,0.8761926268842093,0.0009701500000000001,22,7,IOSTUSDT,45,-0.5358067430112962,49
-0.00277873,-0.033807881666666664,0.5604395604395604,0.43956043956043955,0.0,0.0001592917582994114,0.23120211226249762,0.00438054,91,30,IOSTUSDT,67,-0.2671835267083824,56
-0.27587543000000003,-0.27587543000000003,0.5278538812785388,0.47214611872146117,0.0,0.001294771044624748,0.020860038528491158,0.2806637300000024,1095,365,IOSTUSDT,92,-0.6146380481130153,97
-0.0013231699999999998,-0.06899386428571427,0.36363636363636365,0.6363636363636364,0.0,0.00012799793100810408,1.0,0.0018966599999999997,22,7,THETAUSDT,70,-0.6430713726225126,71
0.0017345300000000002,0.021103448333333337,0.6703296703296703,0.32967032967032966,0.0,0.00010655944910665491,0.19888188603670162,0.0022744,91,30,THETAUSDT,33,-0.20464462862714944,36
0.061599310000000004,0.06159931000000001,0.8301369863013699,0.16986301369863013,0.0,6.9851707526407e-05,0.013342628697992935,0.0022744000000000167,1095,365,THETAUSDT,11,-0.08407510871696937,10
-0.00180861,-0.09430609285714286,0.4090909090909091,0.5909090909090909,0.0,0.0001522306724402529,1.0000000000000002,0.00206213,22,7,ALGOUSDT,72,-0.647707486473337,75
0.00030773999999999987,0.0037441699999999985,0.6703296703296703,0.32967032967032966,0.0,0.00011895657532180894,0.2277126266651486,0.0026102200000000008,91,30,ALGOUSDT,45,-0.21787299126145443,41
0.016492480000000004,0.016492480000000004,0.673972602739726,0.32602739726027397,0.0,0.0001412779071060356,0.017070436547394954,0.008080010000000006,1095,365,ALGOUSDT,51,-0.16207006922600922,51
-0.09472190999999999,-4.939071021428571,0.0,1.0,0.0,0.0005330406268720174,0.0,0.09350678000000005,166,7,ZILUSDT,98,-0.8057527874662715,90
-0.31203015,-3.796366825,0.1986062717770035,0.8013937282229965,0.0,0.0019076285399419488,0.1792885829030407,0.3171705599999999,287,30,ZILUSDT,98,-0.9064084954313806,96
-0.25777482,-0.25777482,0.7151702786377709,0.2848297213622291,0.0,0.001032170718684797,0.011797633772189576,0.3212577,1292,365,ZILUSDT,91,-0.458549659115976,88
-0.0007761899999999998,-0.04047276428571428,0.45454545454545453,0.5454545454545454,0.0,0.00013089908667975893,1.0000000000000002,0.00119129,22,7,KNCUSDT,55,-0.6151067028650381,60
0.0045573700000000016,0.055448001666666684,0.8351648351648352,0.16483516483516483,0.0,0.00012364107970787685,0.1407202060143816,0.0011912900000000002,91,30,KNCUSDT,19,-0.1355907465285775,21
-0.027696049999999986,-0.02769604999999999,0.8228310502283105,0.1771689497716895,0.0,0.0009422217468025197,0.012537532671242949,0.08588662999999991,1095,365,KNCUSDT,71,-0.38975951852331137,84
-0.008896049999999999,-0.46386546428571424,0.023255813953488372,0.9767441860465116,0.0,0.00012626620119620833,1.0,0.00855346,43,7,ZRXUSDT,91,-0.7579605149609725,87
-0.055324029999999996,-0.6731090316666667,0.016574585635359115,0.9834254143646409,0.0,0.00030525184012529874,1.0,0.05512633999999996,181,30,ZRXUSDT,92,-0.7484415551727941,93
-0.2879148899999999,-0.2879148899999999,0.43340691685062543,0.5665930831493745,0.0,0.0007787355293684454,0.020287049579317592,0.29097711000000004,1359,365,ZRXUSDT,93,-0.46671170487422803,90
-0.0005404699999999999,-0.028181649999999996,0.4090909090909091,0.5909090909090909,0.0,5.535245788961397e-05,1.0,0.0005803499999999999,22,7,COMPUSDT,50,-0.5695564697573122,52
-0.00190209,-0.023142095,0.45054945054945056,0.5494505494505495,0.0,6.838911648707256e-05,0.5269415085669271,0.0019238699999999996,91,30,COMPUSDT,61,-0.37497276594785167,76
-0.08111773,-0.08111773,0.6356164383561644,0.3643835616438356,0.0,0.0006855796400666135,0.018997595664292728,0.08083400999999893,1095,365,COMPUSDT,78,-0.3651710495846152,82
-0.00068932,-0.03594311428571429,0.36363636363636365,0.6363636363636364,0.0,5.001051500178538e-05,1.0000000000000002,0.00071215,22,7,DOGEUSDT,53,-0.5803612358565575,56
-0.0009370100000000001,-0.011400288333333333,0.46153846153846156,0.5384615384615384,0.0,6.531778197009275e-05,0.49674904684095866,0.0019611100000000003,91,30,DOGEUSDT,58,-0.3603882872120272,72
0.040137210000000006,0.040137210000000006,0.7333333333333333,0.26666666666666666,0.0,6.0799110145605986e-05,0.025569318254859478,0.001961110000000002,1095,365,DOGEUSDT,31,-0.11712917867313893,24
8.180000000000101e-06,0.0004265285714285767,0.5909090909090909,0.4090909090909091,0.0,0.00010716692152628762,0.8902886788674098,0.00045981,22,7,BANDUSDT,42,-0.5145103772854221,47
0.00051355,0.0062481916666666665,0.6593406593406593,0.34065934065934067,0.0,0.00014574339979189663,0.19538920552795133,0.00241759,91,30,BANDUSDT,44,-0.21845792615357587,42
0.01999226,0.01999226,0.7433789954337899,0.25662100456621006,0.0,0.00024231184128213154,0.014494499265056414,0.016546989999999977,1095,365,BANDUSDT,49,-0.1733320078562611,54
