symbol,coingecko_id,venue,cg_lc,dim_asset_id,in_dim_asset,in_fact_price
VTHO,vethor-token,BINANCE,vethor-token,,False,False
ANVL,anvil,BINANCE,anvil,,False,False
ONT,ontology,BINANCE,ontology,,False,False
FEUSD,felix-feusd,BINANCE,felix-feusd,,False,False
WSTETH,superbridge-bridged-wsteth-optimism,BINANCE,superbridge-bridged-wsteth-optimism,,False,False
XVS,venus,BINANCE,venus,,False,False
SN64,chutes,BINANCE,chutes,,False,False
ATONE,atomone,BINANCE,atomone,,False,False
XYO,xyo-network,BINANCE,xyo-network,,False,False
PUFF,puff-the-dragon,BINANCE,puff-the-dragon,,False,False
VRSC,verus-coin,BINANCE,verus-coin,,False,False
PNUT,peanut-the-squirrel,BINANCE,peanut-the-squirrel,,False,False
VVV,venice-token,BINANCE,venice-token,,False,False
ETH,bridged-wrapped-ether-starkgate,BINANCE,bridged-wrapped-ether-starkgate,,False,False
MOODENG,moo-deng,BINANCE,moo-deng,,False,False
PCI,pay-coin,BINANCE,pay-coin,,False,False
DBR,debridge,BINANCE,debridge,,False,False
ELF,aelf,BINANCE,aelf,,False,False
XCH,chia,BINANCE,chia,,False,False
WETH,l2-standard-bridged-weth-optimism,BINANCE,l2-standard-bridged-weth-optimism,,False,False
HSOL,helius-staked-sol,BINANCE,helius-staked-sol,,False,False
SAHARA,sahara-ai,BINANCE,sahara-ai,,False,False
IOTX,iotex,BINANCE,iotex,,False,False
XAUM,matrixdock-gold,BINANCE,matrixdock-gold,,False,False
XBTC,okx-wrapped-btc,BINANCE,okx-wrapped-btc,,False,False
SHIB,binance-peg-shib,BINANCE,binance-peg-shib,,False,False
HASUI,haedal-staked-sui,BINANCE,haedal-staked-sui,,False,False
NILA,mindwavedao,BINANCE,mindwavedao,,False,False
GIGGLE,giggle-fund,BINANCE,giggle-fund,,False,False
JELLYJELLY,jelly-my-jelly,BINANCE,jelly-my-jelly,,False,False
POWER,power-protocol,BINANCE,power-protocol,,False,False
RED,redstone-oracles,BINANCE,redstone-oracles,,False,False
LUNA,terra-luna-2,BINANCE,terra-luna-2,,False,False
WSTETH,bridged-wrapped-steth-gnosis,BINANCE,bridged-wrapped-steth-gnosis,,False,False
APEX,apex-token-2,BINANCE,apex-token-2,,False,False
OFT,onfa,BINANCE,onfa,,False,False
USDC.E,stargate-bridged-usdc,BINANCE,stargate-bridged-usdc,,False,False
ESPORTS,yooldo-games,BINANCE,yooldo-games,,False,False
CFG,centrifuge-2,BINANCE,centrifuge-2,,False,False
LRC,loopring,BINANCE,loopring,,False,False
USELESS,useless-3,BINANCE,useless-3,,False,False
CUSDO,compounding-open-dollar,BINANCE,compounding-open-dollar,,False,False
SVL,slash-vision-labs,BINANCE,slash-vision-labs,,False,False
POLYX,polymesh,BINANCE,polymesh,,False,False
SXT,space-and-time,BINANCE,space-and-time,,False,False
DFDVSOL,dfdv-staked-sol,BINANCE,dfdv-staked-sol,,False,False
MBG,mbg-by-multibank-group,BINANCE,mbg-by-multibank-group,,False,False
WCFG,wrapped-centrifuge,BINANCE,wrapped-centrifuge,,False,False
SIGN,sign-global,BINANCE,sign-global,,False,False
OMNI,omni-network,BINANCE,omni-network,,False,False
GEOD,geodnet,BINANCE,geodnet,,False,False
ZEC,binance-peg-zcash-token,BINANCE,binance-peg-zcash-token,,False,False
ALT,altlayer,BINANCE,altlayer,,False,False
STUSDT,staked-usdt,BINANCE,staked-usdt,,False,False
BDCA,bitdca,BINANCE,bitdca,,False,False
FWSTETH,fluid-wrapped-staked-eth,BINANCE,fluid-wrapped-staked-eth,,False,False
SKL,skale,BINANCE,skale,,False,False
CSPR,casper-network,BINANCE,casper-network,,False,False
OPT,optio,BINANCE,optio,,False,False
USDC.E,usd-coin-ethereum-bridged,BINANCE,usd-coin-ethereum-bridged,,False,False
MASK,mask-network,BINANCE,mask-network,,False,False
AP3X,apex-4,BINANCE,apex-4,,False,False
ICX,icon,BINANCE,icon,,False,False
MEME,memecoin-2,BINANCE,memecoin-2,,False,False
CYS,cysic,BINANCE,cysic,,False,False
UPUMP,unit-pump,BINANCE,unit-pump,,False,False
PUNDIX,pundi-x-2,BINANCE,pundi-x-2,,False,False
WETH,bridged-weth,BINANCE,bridged-weth,,False,False
ETHW,ethereum-pow-iou,BINANCE,ethereum-pow-iou,,False,False
UXPL,unit-plasma,BINANCE,unit-plasma,,False,False
BICO,biconomy,BINANCE,biconomy,,False,False
SSV,ssv-network,BINANCE,ssv-network,,False,False
APTM,apertum,BINANCE,apertum,,False,False
RSWETH,restaked-swell-eth,BINANCE,restaked-swell-eth,,False,False
GPT,gold-park,BINANCE,gold-park,,False,False
ARDR,ardor,BINANCE,ardor,,False,False
WETH,avalanche-bridged-weth-avalanche,BINANCE,avalanche-bridged-weth-avalanche,,False,False
LA,lagrange,BINANCE,lagrange,,False,False
ONE,harmony,BINANCE,harmony,,False,False
BIM,bim-2,BINANCE,bim-2,,False,False
FRAX,frax-share,BINANCE,frax-share,,False,False
SNT,status,BINANCE,status,,False,False
WHITEWHALE,the-white-whale,BINANCE,the-white-whale,,False,False
ILV,illuvium,BINANCE,illuvium,,False,False
WETH,stargate-bridged-weth,BINANCE,stargate-bridged-weth,,False,False
BAND,band-protocol,BINANCE,band-protocol,,False,False
PEAQ,peaq-2,BINANCE,peaq-2,,False,False
USDT,bridged-tether-opbnb,BINANCE,bridged-tether-opbnb,,False,False
DLC,diamond-launch,BINANCE,diamond-launch,,False,False
TRB,tellor,BINANCE,tellor,,False,False
MIM,magic-internet-money,BINANCE,magic-internet-money,,False,False
QAI,quantixai,BINANCE,quantixai,,False,False
BUSD,binance-usd,BINANCE,binance-usd,,False,False
LBT,law-blocks,BINANCE,law-blocks,,False,False
FXSAVE,fx-usd-saving,BINANCE,fx-usd-saving,,False,False
OMI,ecomi,BINANCE,ecomi,,False,False
EUL,euler,BINANCE,euler,,False,False
ENJ,enjincoin,BINANCE,enjincoin,,False,False
ELG,escoin-token,BINANCE,escoin-token,,False,False
STEAKETH,steakhouse-eth-morpho-vault,BINANCE,steakhouse-eth-morpho-vault,,False,False
SOLO,solo-coin,BINANCE,solo-coin,,False,False
WCRO,wrapped-cro,BINANCE,wrapped-cro,,False,False
NOT,notcoin,BINANCE,notcoin,,False,False
IBERA,infrared-bera,BINANCE,infrared-bera,,False,False
OG,og-fan-token,BINANCE,og-fan-token,,False,False
LON,tokenlon,BINANCE,tokenlon,,False,False
INC,world-assets,BINANCE,world-assets,,False,False
SPK,spark-2,BINANCE,spark-2,,False,False
DOVU,dovu-2,BINANCE,dovu-2,,False,False
USDP,paxos-standard,BINANCE,paxos-standard,,False,False
NOW,changenow,BINANCE,changenow,,False,False
ARRR,pirate-chain,BINANCE,pirate-chain,,False,False
DUSD,dialectic-usd-vault,BINANCE,dialectic-usd-vault,,False,False
HLDR,helder,BINANCE,helder,,False,False
GMT,stepn,BINANCE,stepn,,False,False
TSLAX,tesla-xstock,BINANCE,tesla-xstock,,False,False
REUSD,resupply-usd,BINANCE,resupply-usd,,False,False
BABY,babylon,BINANCE,babylon,,False,False
WBTC,sui-bridged-wbtc-sui,BINANCE,sui-bridged-wbtc-sui,,False,False
SIREN,siren-2,BINANCE,siren-2,,False,False
USDX,hex-trust-usdx,BINANCE,hex-trust-usdx,,False,False
IOST,iostoken,BINANCE,iostoken,,False,False
VKHYPE,kinetiq-earn-vault,BINANCE,kinetiq-earn-vault,,False,False
MMT,momentum-3,BINANCE,momentum-3,,False,False
TAG,tagger,BINANCE,tagger,,False,False
PEOPLE,constitutiondao,BINANCE,constitutiondao,,False,False
VBETH,vaultbridge-bridged-eth-katana,BINANCE,vaultbridge-bridged-eth-katana,,False,False
WOO,woo-network,BINANCE,woo-network,,False,False
WETH,ronin-bridged-weth-ronin,BINANCE,ronin-bridged-weth-ronin,,False,False
SAFE,safecoin,BINANCE,safecoin,,False,False
USDM,mountain-protocol-usdm,BINANCE,mountain-protocol-usdm,,False,False
SDEX,smardex,BINANCE,smardex,,False,False
RLC,iexec-rlc,BINANCE,iexec-rlc,,False,False
SBUSDT,sui-bridged-usdt-sui,BINANCE,sui-bridged-usdt-sui,,False,False
FIUSD,sygnum-fiusd-liquidity-fund,BINANCE,sygnum-fiusd-liquidity-fund,,False,False
CROSS,cross-2,BINANCE,cross-2,,False,False
HUMA,huma-finance,BINANCE,huma-finance,,False,False
STXRP,firelight-staked-xrp,BINANCE,firelight-staked-xrp,,False,False
FUL,fulcrom,BINANCE,fulcrom,,False,False
GUSD,gemini-dollar,BINANCE,gemini-dollar,,False,False
MWUSDC,moonwell-flagship-usdc-morpho-vault,BINANCE,moonwell-flagship-usdc-morpho-vault,,False,False
NEIRO,neiro-3,BINANCE,neiro-3,,False,False
NKYC,nkyc-token,BINANCE,nkyc-token,,False,False
STRAX,stratis,BINANCE,stratis,,False,False
YGG,yield-guild-games,BINANCE,yield-guild-games,,False,False
MVL,mass-vehicle-ledger,BINANCE,mass-vehicle-ledger,,False,False
SRX,storx,BINANCE,storx,,False,False
ZBT,zerobase,BINANCE,zerobase,,False,False
VBUSDC,vaultbridge-bridged-usdc-katana,BINANCE,vaultbridge-bridged-usdc-katana,,False,False
EWT,energy-web-token,BINANCE,energy-web-token,,False,False
USD+,usd,BINANCE,usd,,False,False
DRV,derive,BINANCE,derive,,False,False
XUSD,straitsx-xusd,BINANCE,straitsx-xusd,,False,False
DAG,constellation-labs,BINANCE,constellation-labs,,False,False
RPL,rocket-pool,BINANCE,rocket-pool,,False,False
BNT,bancor,BINANCE,bancor,,False,False
WHITE,whiteheart,BINANCE,whiteheart,,False,False
DOOD,doodles,BINANCE,doodles,,False,False
WMTX,world-mobile-token,BINANCE,world-mobile-token,,False,False
WBTC,cronos-bridged-wbtc-cronos,BINANCE,cronos-bridged-wbtc-cronos,,False,False
YUSD,aegis-yusd,BINANCE,aegis-yusd,,False,False
WBTC,bridged-wrapped-bitcoin-starkgate,BINANCE,bridged-wrapped-bitcoin-starkgate,,False,False
POWR,power-ledger,BINANCE,power-ledger,,False,False
LSK,lisk,BINANCE,lisk,,False,False
XAUT0,tether-gold-tokens,BINANCE,tether-gold-tokens,,False,False
AMAPT,amnis-aptos,BINANCE,amnis-aptos,,False,False
STG,stargate-finance,BINANCE,stargate-finance,,False,False
WET,humidifi,BINANCE,humidifi,,False,False
DEGEN,degen-base,BINANCE,degen-base,,False,False
SN51,celium,BINANCE,celium,,False,False
FIDA,bonfida,BINANCE,bonfida,,False,False
USDT,bridged-tether-linea,BINANCE,bridged-tether-linea,,False,False
TORN,tornado-cash,BINANCE,tornado-cash,,False,False
FLUX,zelcash,BINANCE,zelcash,,False,False
BCE,bitcastle-token,BINANCE,bitcastle-token,,False,False
NXPC,bridged-nxpc,BINANCE,bridged-nxpc,,False,False
XAN,anoma,BINANCE,anoma,,False,False
HONEY,hivemapper,BINANCE,hivemapper,,False,False
AUX,austin-capitals,BINANCE,austin-capitals,,False,False
SPELL,spell-token,BINANCE,spell-token,,False,False
CJL,cjournal-2,BINANCE,cjournal-2,,False,False
ANA,nirvana-ana-2,BINANCE,nirvana-ana-2,,False,False
PRIME,echelon-prime,BINANCE,echelon-prime,,False,False
DAI,binance-peg-dai,BINANCE,binance-peg-dai,,False,False
CTK,certik,BINANCE,certik,,False,False
USDON,ondo-u-s-dollar-token,BINANCE,ondo-u-s-dollar-token,,False,False
SBETH,sui-bridged-ether-sui,BINANCE,sui-bridged-ether-sui,,False,False
SWFTC,swftcoin,BINANCE,swftcoin,,False,False
BOLD,liquity-bold-2,BINANCE,liquity-bold-2,,False,False
BIGTIME,big-time,BINANCE,big-time,,False,False
ERG,ergo,BINANCE,ergo,,False,False
AUDIO,audius,BINANCE,audius,,False,False
SOMI,somnia,BINANCE,somnia,,False,False
SXP,swipe,BINANCE,swipe,,False,False
CLOUD,sanctum-2,BINANCE,sanctum-2,,False,False
CYBER,cyberconnect,BINANCE,cyberconnect,,False,False
MINIDOGE,minidoge-5,BINANCE,minidoge-5,,False,False
AGETH,kelp-gain,BINANCE,kelp-gain,,False,False
BOME,book-of-meme,BINANCE,book-of-meme,,False,False
CBXRP,coinbase-wrapped-xrp,BINANCE,coinbase-wrapped-xrp,,False,False
MTBILL,midas-mtbill,BINANCE,midas-mtbill,,False,False
BAL,balancer,BINANCE,balancer,,False,False
CLO,yei-finance,BINANCE,yei-finance,,False,False
OSMO,osmosis,BINANCE,osmosis,,False,False
YZUSD,yuzu-usd,BINANCE,yuzu-usd,,False,False
BITCOIN,harrypotterobamasonic10in,BINANCE,harrypotterobamasonic10in,,False,False
USDN,noble-dollar-usdn,BINANCE,noble-dollar-usdn,,False,False
USDC.E,usd-coin-avalanche-bridged-usdc-e,BINANCE,usd-coin-avalanche-bridged-usdc-e,,False,False
TON,tokamak-network,BINANCE,tokamak-network,,False,False
SN62,ridges-ai,BINANCE,ridges-ai,,False,False
WBTC,wrapped-bitcoin-pulsechain,BINANCE,wrapped-bitcoin-pulsechain,,False,False
VEE,blockv,BINANCE,blockv,,False,False
ATOS,atoshi,BINANCE,atoshi,,False,False
ACH,alchemy-pay,BINANCE,alchemy-pay,,False,False
ACT,act-i-the-ai-prophecy,BINANCE,act-i-the-ai-prophecy,,False,False
HEZ,hermez-network-token,BINANCE,hermez-network-token,,False,False
JRUSDE,strata-junior-usde,BINANCE,strata-junior-usde,,False,False
SUSD,nusd,BINANCE,nusd,,False,False
METIS,metis-token,BINANCE,metis-token,,False,False
INF,socean-staked-sol,BINANCE,socean-staked-sol,,False,False
ARC,ai-rig-complex,BINANCE,ai-rig-complex,,False,False
YB,yield-basis,BINANCE,yield-basis,,False,False
UNP,unipoly,BINANCE,unipoly,,False,False
SHX,stronghold-token,BINANCE,stronghold-token,,False,False
GAL,project-galaxy,BINANCE,project-galaxy,,False,False
LISUSD,helio-protocol-hay,BINANCE,helio-protocol-hay,,False,False
IQ,everipedia,BINANCE,everipedia,,False,False
FB,fractal-bitcoin,BINANCE,fractal-bitcoin,,False,False
BOTX,botxcoin,BINANCE,botxcoin,,False,False
STAVAX,gogopool-ggavax,BINANCE,gogopool-ggavax,,False,False
TPT,token-pocket,BINANCE,token-pocket,,False,False
AT,apro,BINANCE,apro,,False,False
USTC,terrausd,BINANCE,terrausd,,False,False
MLK,milk-alliance,BINANCE,milk-alliance,,False,False
SN8,proprietary-trading-network,BINANCE,proprietary-trading-network,,False,False
GIGA,gigachad-2,BINANCE,gigachad-2,,False,False
SGB,songbird,BINANCE,songbird,,False,False
LAYER,solayer,BINANCE,solayer,,False,False
CORN,corn-3,BINANCE,corn-3,,False,False
XPIN,xpin-network,BINANCE,xpin-network,,False,False
USDX,usdx-money-usdx,BINANCE,usdx-money-usdx,,False,False
SB,snowbank,BINANCE,snowbank,,False,False
LQTY,liquity,BINANCE,liquity,,False,False
BTU,btu-protocol,BINANCE,btu-protocol,,False,False
CUSD,celo-dollar,BINANCE,celo-dollar,,False,False
OPEN,openledger-2,BINANCE,openledger-2,,False,False
CXO,cargox,BINANCE,cargox,,False,False
RIF,rif-token,BINANCE,rif-token,,False,False
ERA,caldera,BINANCE,caldera,,False,False
HBD,hive_dollar,BINANCE,hive_dollar,,False,False
ACT,achain,BINANCE,achain,,False,False
HYUSD,hylo-usd,BINANCE,hylo-usd,,False,False
LAVA,lava-network,BINANCE,lava-network,,False,False
WAXP,wax,BINANCE,wax,,False,False
QANX,qanplatform,BINANCE,qanplatform,,False,False
SN4,targon,BINANCE,targon,,False,False
BANANAS31,banana-for-scale-2,BINANCE,banana-for-scale-2,,False,False
PM,pumpmeme,BINANCE,pumpmeme,,False,False
AEVO,aevo-exchange,BINANCE,aevo-exchange,,False,False
LUSD,liquity-usd,BINANCE,liquity-usd,,False,False
SCRT,secret,BINANCE,secret,,False,False
ORDER,orderly-network,BINANCE,orderly-network,,False,False
LISA,agentlisa,BINANCE,agentlisa,,False,False
WNXM,wrapped-nxm,BINANCE,wrapped-nxm,,False,False
CHR,chromaway,BINANCE,chromaway,,False,False
MANTA,manta-network,BINANCE,manta-network,,False,False
CKBTC,chain-key-bitcoin,BINANCE,chain-key-bitcoin,,False,False
VR,victoria-vr,BINANCE,victoria-vr,,False,False
USDC.E,bridged-usd-coin-optimism,BINANCE,bridged-usd-coin-optimism,,False,False
AIAT,ai-analysis-token,BINANCE,ai-analysis-token,,False,False
B2M,bit2me,BINANCE,bit2me,,False,False
AINTI,aintivirus,BINANCE,aintivirus,,False,False
WXRP,wrapped-xrp,BINANCE,wrapped-xrp,,False,False
CVC,civic,BINANCE,civic,,False,False
WELL,moonwell-artemis,BINANCE,moonwell-artemis,,False,False
GCB,global-commercial-business,BINANCE,global-commercial-business,,False,False
OCEAN,ocean-protocol,BINANCE,ocean-protocol,,False,False
ZENT,zentry,BINANCE,zentry,,False,False
UNIETH,universal-eth,BINANCE,universal-eth,,False,False
UAI,unifai-network,BINANCE,unifai-network,,False,False
WETH,ink-bridged-weth-ink,BINANCE,ink-bridged-weth-ink,,False,False
WBCH,wrapped-bch,BINANCE,wrapped-bch,,False,False
WOLF,wolf-2,BINANCE,wolf-2,,False,False
POND,marlin,BINANCE,marlin,,False,False
PURR,purr-2,BINANCE,purr-2,,False,False
GOAT,goatseus-maximus,BINANCE,goatseus-maximus,,False,False
CBK,cobak-token,BINANCE,cobak-token,,False,False
WSEI,wrapped-sei,BINANCE,wrapped-sei,,False,False
BPX,black-phoenix,BINANCE,black-phoenix,,False,False
SATS,sats-ordinals,BINANCE,sats-ordinals,,False,False
ACX,across-protocol,BINANCE,across-protocol,,False,False
VHYPE,ventuals-vhype,BINANCE,ventuals-vhype,,False,False
HONEY,honey-3,BINANCE,honey-3,,False,False
MGO,mango-network,BINANCE,mango-network,,False,False
GEMS,gems-vip,BINANCE,gems-vip,,False,False
B2,bsquared-network,BINANCE,bsquared-network,,False,False
WSTETH,linea-bridged-wsteth-linea,BINANCE,linea-bridged-wsteth-linea,,False,False
DIA,dia-data,BINANCE,dia-data,,False,False
G,g-token,BINANCE,g-token,,False,False
DEP,deapcoin,BINANCE,deapcoin,,False,False
WBTC.E,avalanche-old-bridged-wbtc-avalanche,BINANCE,avalanche-old-bridged-wbtc-avalanche,,False,False
USTBL,ustbl-tokenized-u-s-treasury-bill,BINANCE,ustbl-tokenized-u-s-treasury-bill,,False,False
WSTETH,polygon-bridged-wsteth-polygon,BINANCE,polygon-bridged-wsteth-polygon,,False,False
FXUSD,f-x-protocol-fxusd,BINANCE,f-x-protocol-fxusd,,False,False
MPLX,metaplex,BINANCE,metaplex,,False,False
GXC,gxchain,BINANCE,gxchain,,False,False
YOETH,yield-optimizer-eth,BINANCE,yield-optimizer-eth,,False,False
OSAK,osaka-protocol,BINANCE,osaka-protocol,,False,False
CHEX,chex-token,BINANCE,chex-token,,False,False
DXI,dacxi,BINANCE,dacxi,,False,False
LYN,everlyn,BINANCE,everlyn,,False,False
AURORA,aurora-near,BINANCE,aurora-near,,False,False
TREE,tree-capital,BINANCE,tree-capital,,False,False
SAPIEN,sapien-2,BINANCE,sapien-2,,False,False
AO,ao-computer,BINANCE,ao-computer,,False,False
KUJI,kujira,BINANCE,kujira,,False,False
BFC,bifrost,BINANCE,bifrost,,False,False
WBTT,wrapped-btt-tron,BINANCE,wrapped-btt-tron,,False,False
AGI,delysium,BINANCE,delysium,,False,False
XT,xtcom-token,BINANCE,xtcom-token,,False,False
USDT.E,tether-rainbow-bridge,BINANCE,tether-rainbow-bridge,,False,False
SYND,syndicate-3,BINANCE,syndicate-3,,False,False
DYM,dymension,BINANCE,dymension,,False,False
XAI,xai-blockchain,BINANCE,xai-blockchain,,False,False
MIRA,mira-3,BINANCE,mira-3,,False,False
GNS,gains-network,BINANCE,gains-network,,False,False
ZKC,boundless,BINANCE,boundless,,False,False
CLANKER,tokenbot-2,BINANCE,tokenbot-2,,False,False
CPOOL,clearpool,BINANCE,clearpool,,False,False
ADCO,advertise-coin,BINANCE,advertise-coin,,False,False
FLIP,chainflip,BINANCE,chainflip,,False,False
CTSI,cartesi,BINANCE,cartesi,,False,False
DETH,dialectic-eth-vault,BINANCE,dialectic-eth-vault,,False,False
YOUSD,yield-optimizer-usd,BINANCE,yield-optimizer-usd,,False,False
ASUSDF,astherus-staked-usdf,BINANCE,astherus-staked-usdf,,False,False
QKC,quark-chain,BINANCE,quark-chain,,False,False
WKC,wiki-cat,BINANCE,wiki-cat,,False,False
GAME,gamebuild,BINANCE,gamebuild,,False,False
AUKI,auki-labs,BINANCE,auki-labs,,False,False
OZA,ozapay,BINANCE,ozapay,,False,False
ELON,dogelon-mars,BINANCE,dogelon-mars,,False,False
ZKP,zkpass,BINANCE,zkpass,,False,False
TROLL,troll-2,BINANCE,troll-2,,False,False
CBAT,compound-basic-attention-token,BINANCE,compound-basic-attention-token,,False,False
DKA,dkargo,BINANCE,dkargo,,False,False
STBTC,lorenzo-stbtc,BINANCE,lorenzo-stbtc,,False,False
RSTETH,restaking-vault-eth,BINANCE,restaking-vault-eth,,False,False
SLP,smooth-love-potion,BINANCE,smooth-love-potion,,False,False
LIUSD,infinifi-locked-iusd-1week,BINANCE,infinifi-locked-iusd-1week,,False,False
BANANA,banana-gun,BINANCE,banana-gun,,False,False
ZEC,omnibridge-bridged-zcash-solana,BINANCE,omnibridge-bridged-zcash-solana,,False,False
MAGMA,magma-finance,BINANCE,magma-finance,,False,False
ID,space-id,BINANCE,space-id,,False,False
MSETH,metronome-synth-eth,BINANCE,metronome-synth-eth,,False,False
EUSD,electronic-usd,BINANCE,electronic-usd,,False,False
LUCIC,lucidum,BINANCE,lucidum,,False,False
ADS,adshares,BINANCE,adshares,,False,False
DORA,dora-2,BINANCE,dora-2,,False,False
USDC,mantle-bridged-usdc-mantle,BINANCE,mantle-bridged-usdc-mantle,,False,False
哈基米,hakimi,BINANCE,hakimi,,False,False
PTGC,the-grays-currency,BINANCE,the-grays-currency,,False,False
MMEV,midas-mmev,BINANCE,midas-mmev,,False,False
UQC,uquid-coin,BINANCE,uquid-coin,,False,False
HYPER,hyperlane,BINANCE,hyperlane,,False,False
SN120,affine,BINANCE,affine,,False,False
CRT,carrot-2,BINANCE,carrot-2,,False,False
USDC,zksync-bridged-usdc-zksync,BINANCE,zksync-bridged-usdc-zksync,,False,False
AURA,aura-on-sol,BINANCE,aura-on-sol,,False,False
PRDT,predictions,BINANCE,predictions,,False,False
MSYRUPUSDP,midas-msyrupusdp,BINANCE,midas-msyrupusdp,,False,False
HP,hippo-protocol,BINANCE,hippo-protocol,,False,False
SOLVBTC.JUP,solv-protocol-solvbtc-jupiter,BINANCE,solv-protocol-solvbtc-jupiter,,False,False
SPYON,spdr-s-p-500-etf-ondo-tokenized-etf,BINANCE,spdr-s-p-500-etf-ondo-tokenized-etf,,False,False
HUNT,hunt-token,BINANCE,hunt-token,,False,False
HYLOSOL,hylo-staked-sol,BINANCE,hylo-staked-sol,,False,False
IAG,iagon,BINANCE,iagon,,False,False
PSP,pre-sp,BINANCE,pre-sp,,False,False
CAW,a-hunters-dream,BINANCE,a-hunters-dream,,False,False
WPOL,wmatic,BINANCE,wmatic,,False,False
NUMI,numine-token,BINANCE,numine-token,,False,False
WTAO,wrapped-tao,BINANCE,wrapped-tao,,False,False
EURE,monerium-eur-money-2,BINANCE,monerium-eur-money-2,,False,False
STRX,strikecoin,BINANCE,strikecoin,,False,False
MED,medibloc,BINANCE,medibloc,,False,False
CGPT,chaingpt,BINANCE,chaingpt,,False,False
MAPO,marcopolo,BINANCE,marcopolo,,False,False
BUCK,bucket-protocol-buck-stablecoin,BINANCE,bucket-protocol-buck-stablecoin,,False,False
SONIC,sonic-svm,BINANCE,sonic-svm,,False,False
ABT,arcblock,BINANCE,arcblock,,False,False
MOVR,moonriver,BINANCE,moonriver,,False,False
GRND,superwalk,BINANCE,superwalk,,False,False
VBUSDT,vaultbridge-bridged-usdt-katana,BINANCE,vaultbridge-bridged-usdt-katana,,False,False
WZEDX,wrapped-zedxion,BINANCE,wrapped-zedxion,,False,False
WOJAK,wojak-4,BINANCE,wojak-4,,False,False
WRX,wazirx,BINANCE,wazirx,,False,False
APR,apriori,BINANCE,apriori,,False,False
KEEP,keep-network,BINANCE,keep-network,,False,False
INC,incrypt,BINANCE,incrypt,,False,False
TOKEN,tokenfi,BINANCE,tokenfi,,False,False
PARTI,particle-network,BINANCE,particle-network,,False,False
AVAX,binance-peg-avalanche,BINANCE,binance-peg-avalanche,,False,False
BOB,bob-build-on-bitcoin,BINANCE,bob-build-on-bitcoin,,False,False
HOLO,holoworld,BINANCE,holoworld,,False,False
IXS,ix-swap,BINANCE,ix-swap,,False,False
SOPH,sophon,BINANCE,sophon,,False,False
ELA,elastos,BINANCE,elastos,,False,False
BSU,baby-shark-universe,BINANCE,baby-shark-universe,,False,False
ELEPHANT,elephant-money,BINANCE,elephant-money,,False,False
DAKU,daku-v2,BINANCE,daku-v2,,False,False
HDX,hydradx,BINANCE,hydradx,,False,False
EDGE,definitive,BINANCE,definitive,,False,False
EURA,ageur,BINANCE,ageur,,False,False
ACT,acet-token,BINANCE,acet-token,,False,False
FLOCK,flock-2,BINANCE,flock-2,,False,False
BULLISH,bullish-degen,BINANCE,bullish-degen,,False,False
ISLM,islamic-coin,BINANCE,islamic-coin,,False,False
USDT,injective-bridged-usdt-injective,BINANCE,injective-bridged-usdt-injective,,False,False
USDT,l2-standard-bridged-usdt-base,BINANCE,l2-standard-bridged-usdt-base,,False,False
UFART,unit-fartcoin,BINANCE,unit-fartcoin,,False,False
BTCLE,bitcoin-limited-edition,BINANCE,bitcoin-limited-edition,,False,False
AGIX,singularitynet,BINANCE,singularitynet,,False,False
WCORE,wrapped-core,BINANCE,wrapped-core,,False,False
BONKSOL,bonk-staked-sol,BINANCE,bonk-staked-sol,,False,False
GLMR,moonbeam,BINANCE,moonbeam,,False,False
IDOL,meet48,BINANCE,meet48,,False,False
JCT,janction,BINANCE,janction,,False,False
ALI,alethea-artificial-liquid-intelligence-token,BINANCE,alethea-artificial-liquid-intelligence-token,,False,False
HBUSDT,hyperbeat-usdt,BINANCE,hyperbeat-usdt,,False,False
EPIC,epic-chain,BINANCE,epic-chain,,False,False
USDC,bridged-usd-coin-scroll,BINANCE,bridged-usd-coin-scroll,,False,False
GYD,gyroscope-gyd,BINANCE,gyroscope-gyd,,False,False
DUSK,dusk-network,BINANCE,dusk-network,,False,False
POKT,pocket-network,BINANCE,pocket-network,,False,False
THE,thena,BINANCE,thena,,False,False
LHYPE,looped-hype,BINANCE,looped-hype,,False,False
MUSD,metamask-usd,BINANCE,metamask-usd,,False,False
SFRXUSD,staked-frax-usd,BINANCE,staked-frax-usd,,False,False
BBT,babyboomtoken,BINANCE,babyboomtoken,,False,False
CATI,catizen,BINANCE,catizen,,False,False
SKORAI,skor-ai,BINANCE,skor-ai,,False,False
PNKSTR,punkstrategy,BINANCE,punkstrategy,,False,False
BTY,bityuan,BINANCE,bityuan,,False,False
ALLO,allora,BINANCE,allora,,False,False
NOM,nomina,BINANCE,nomina,,False,False
GRX,grx-chain,BINANCE,grx-chain,,False,False
OHO,oho-blockchain,BINANCE,oho-blockchain,,False,False
EKUBO,ekubo-protocol,BINANCE,ekubo-protocol,,False,False
WFRAX,wrapped-frax,BINANCE,wrapped-frax,,False,False
KMHYPE,kinetiq-markets-lst,BINANCE,kinetiq-markets-lst,,False,False
F,synfutures,BINANCE,synfutures,,False,False
HT,huobi-token,BINANCE,huobi-token,,False,False
SFI,saffron-finance,BINANCE,saffron-finance,,False,False
AGLD,adventure-gold,BINANCE,adventure-gold,,False,False
SCRVUSD,savings-crvusd,BINANCE,savings-crvusd,,False,False
AIO,olaxbt,BINANCE,olaxbt,,False,False
SX,sx-network-2,BINANCE,sx-network-2,,False,False
