symbol,coingecko_id,venue,cg_lc,dim_asset_id,in_dim_asset,in_fact_price
PSOL,phantom-staked-sol,BINANCE,phantom-staked-sol,,False,False
BSOL,blazestake-staked-sol,BINANCE,blazestake-staked-sol,,False,False
BMX,bitmart-token,BINANCE,bitmart-token,,False,False
UNIBTC,universal-btc,BINANCE,universal-btc,,False,False
CCD,concordium,BINANCE,concordium,,False,False
ACRED,apollo-diversified-credit-securitize-fund,BINANCE,apollo-diversified-credit-securitize-fund,,False,False
WPLS,wrapped-pulse-wpls,BINANCE,wrapped-pulse-wpls,,False,False
SOON,soon-2,BINANCE,soon-2,,False,False
FORM,four,BINANCE,four,,False,False
TFUEL,theta-fuel,BINANCE,theta-fuel,,False,False
CTC,creditcoin-2,BINANCE,creditcoin-2,,False,False
DOLA,dola-usd,BINANCE,dola-usd,,False,False
ICNT,impossible-cloud-network-token,BINANCE,impossible-cloud-network-token,,False,False
KSM,kusama,BINANCE,kusama,,False,False
MET,meteora,BINANCE,meteora,,False,False
DREAM,the-american-dream,BINANCE,the-american-dream,,False,False
FRXUSD,frax-usd,BINANCE,frax-usd,,False,False
WETH,wrapped-ether-linea,BINANCE,wrapped-ether-linea,,False,False
CONSCIOUS,conscious-token,BINANCE,conscious-token,,False,False
YFI,yearn-finance,BINANCE,yearn-finance,,False,False
OZO,ozone-chain,BINANCE,ozone-chain,,False,False
ALCH,alchemist-ai,BINANCE,alchemist-ai,,False,False
WEETHS,etherfi-weeths,BINANCE,etherfi-weeths,,False,False
PUSD,pleasing-usd,BINANCE,pleasing-usd,,False,False
COW,cow-protocol,BINANCE,cow-protocol,,False,False
币安人生,bianrensheng,BINANCE,bianrensheng,,False,False
CKB,nervos-network,BINANCE,nervos-network,,False,False
RLB,rollbit-coin,BINANCE,rollbit-coin,,False,False
WEETH,polygon-bridged-weeth-katana,BINANCE,polygon-bridged-weeth-katana,,False,False
SUPEROETH,super-oeth,BINANCE,super-oeth,,False,False
PSTUSDC,payfi-strategy-token-usdc,BINANCE,payfi-strategy-token-usdc,,False,False
GTUSDC,gauntlet-usdc-prime-morpho-vault,BINANCE,gauntlet-usdc-prime-morpho-vault,,False,False
CORE,coredaoorg,BINANCE,coredaoorg,,False,False
ADI,adi-token,BINANCE,adi-token,,False,False
RVN,ravencoin,BINANCE,ravencoin,,False,False
AIDAUSDC,gaib-ai-dollar-alpha-usdc,BINANCE,gaib-ai-dollar-alpha-usdc,,False,False
CDCETH,crypto-com-staked-eth,BINANCE,crypto-com-staked-eth,,False,False
AIOZ,aioz-network,BINANCE,aioz-network,,False,False
STRX,staked-trx,BINANCE,staked-trx,,False,False
MAG7.SSI,mag7-ssi,BINANCE,mag7-ssi,,False,False
ZRX,0x,BINANCE,0x,,False,False
DGB,digibyte,BINANCE,digibyte,,False,False
KUB,bitkub-coin,BINANCE,bitkub-coin,,False,False
USDZ,anzen-usdz,BINANCE,anzen-usdz,,False,False
AKT,akash-network,BINANCE,akash-network,,False,False
ETH+,reserve-protocol-eth-plus,BINANCE,reserve-protocol-eth-plus,,False,False
BABYDOGE,baby-doge-coin,BINANCE,baby-doge-coin,,False,False
AWE,stp-network,BINANCE,stp-network,,False,False
WAETHWETH,wrapped-aave-ethereum-weth,BINANCE,wrapped-aave-ethereum-weth,,False,False
SHFL,shuffle-2,BINANCE,shuffle-2,,False,False
NIZA,niza-global-2,BINANCE,niza-global-2,,False,False
RAIL,railgun,BINANCE,railgun,,False,False
KTA,keeta,BINANCE,keeta,,False,False
RAVE,ravedao,BINANCE,ravedao,,False,False
ARKM,arkham,BINANCE,arkham,,False,False
MELANIA,melania-meme,BINANCE,melania-meme,,False,False
CWBTC,compound-wrapped-btc,BINANCE,compound-wrapped-btc,,False,False
MINA,mina-protocol,BINANCE,mina-protocol,,False,False
BURN,burnedfi,BINANCE,burnedfi,,False,False
REKT,rekt-4,BINANCE,rekt-4,,False,False
T,threshold-network-token,BINANCE,threshold-network-token,,False,False
WSRUSD,wrapped-savings-rusd,BINANCE,wrapped-savings-rusd,,False,False
MOVE,movement,BINANCE,movement,,False,False
PC0000023,tradable-singapore-fintech-ssl-2,BINANCE,tradable-singapore-fintech-ssl-2,,False,False
AVUSD,avant-usd,BINANCE,avant-usd,,False,False
EBTC,ether-fi-staked-btc,BINANCE,ether-fi-staked-btc,,False,False
