rebalance_date,snapshot_date,symbol,coingecko_id,venue,marketcap,volume_14d,has_price,has_volume,has_marketcap,is_stablecoin,is_blacklisted,meets_provider_filters,perp_eligible_proxy,meets_age,meets_listing_filters,meets_liquidity,meets_mcap,eligible,first_seen_date,exclusion_reason,data_proxy_label,proxy_version,proxy_source,source
2024-01-01,2024-01-01,0G,zero-gravity,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-09-22,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,1INCH,1inch,BINANCE,481021218.8907297,26202224.806536175,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,2Z,doublezero,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-10-02,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,4,4-2,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-10-02,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,A,vaulta,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-05-28,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AAVE,aave,BINANCE,1604349909.6795425,205928946.2681316,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AB,newton-project,BINANCE,0.0,221924.91508521995,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ABT,arcblock,BINANCE,20495795.272963937,425954.1235510568,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ACH,alchemy-pay,BINANCE,105114661.00781734,7832913.460599556,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ACRED,apollo-diversified-credit-securitize-fund,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-03-14,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ACT,acet-token,BINANCE,14084211.101862298,217279.8308692078,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ACX,across-protocol,BINANCE,44209627.23953687,121222.47077756638,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ADA,cardano,BINANCE,20768012511.689167,393610254.65655833,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ADCO,advertise-coin,BINANCE,22558240.06428494,7513.981550538687,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ADI,adi-token,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-12-09,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ADS,adshares,BINANCE,14075556.920040617,45791.17813195029,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AERGO,aergo,BINANCE,65405753.1593322,1525334.18944258,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AERO,aerodrome-finance,BINANCE,8175997.300845516,344435.296227884,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AEVO,aevo-exchange,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-03-13,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AGENTFUN,agentfun-ai,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-11-26,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AGETH,kelp-gain,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-09-03,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AGI,delysium,BINANCE,29455986.777499467,2468916.4869583687,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AGIX,singularitynet,BINANCE,398978794.72478926,27329926.51912433,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AIAT,ai-analysis-token,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-01-18,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AIC,ai-companions,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-09-10,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AIDAUSDC,gaib-ai-dollar-alpha-usdc,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-09-30,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AINTI,aintivirus,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-12-03,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AIOZ,aioz-network,BINANCE,150204187.15779957,2650575.4182969197,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AIXBT,aixbt,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-11-19,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AKT,akash-network,BINANCE,547177886.5957886,2796965.329922552,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ALCH,alchemist-ai,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-12-01,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ALEO,aleo,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-09-19,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ALGO,algorand,BINANCE,1785305539.7303133,53510382.23706664,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,ALT,altlayer,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-01-26,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AMAPT,amnis-aptos,BINANCE,0.0,11890.277751478448,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,AMIKO,amiko,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-05-24,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
