symbol,n_variants,canonical_slug,canonical_mcap_usd,canonical_rank,all_variants,source
WBTC,17,wrapped-bitcoin,11127869151,16,"['wrapped-bitcoin', 'arbitrum-bridged-wbtc-arbitrum-one', 'polygon-bridged-wbtc-polygon-pos', 'sui-bridged-wbtc-sui', 'cronos-bridged-wbtc-cronos', 'bridged-wrapped-bitcoin-starkgate', 'wrapped-bitcoin-pulsechain', 'linea-bridged-wbtc-linea', 'bridged-wrapped-bitcoin-worldchain', 'etherlink-bridged-wbtc-etherlink', 'merlin-chain-bridged-wrapped-btc-merlin', 'rainbow-bridged-wbtc-near-protocol', 'gnosis-xdai-bridged-wbtc-gnosis-chain', 'celer-bridged-wbtc-conflux', 'bridged-wrapped-bitcoin-bob-network', 'zksync-bridged-wbtc-zksync', 'unichain-bridged-wbtc-unichain-2']",fms_historical
WEETH,3,wrapped-eeth,9911907656,18,"['wrapped-eeth', 'arbitrum-bridged-wrapped-eeth', 'polygon-bridged-weeth-katana']",fms_historical
WETH,33,weth,6948131065,26,"['weth', 'binance-peg-weth', 'l2-standard-bridged-weth-base', 'arbitrum-bridged-weth-arbitrum-one', 'polygon-pos-bridged-weth-polygon-pos', 'wrapped-ether-mantle-bridge', 'wrapped-ether-linea', 'l2-standard-bridged-weth-optimism', 'bridged-weth', 'avalanche-bridged-weth-avalanche', 'stargate-bridged-weth', 'ronin-bridged-weth-ronin', 'ink-bridged-weth-ink', 'gnosis-xdai-bridged-weth-gnosis-chain', 'l2-standard-bridged-weth-blast', 'wormhole-bridged-weth-monad', 'unichain-bridged-weth-unichain', 'pulsechain-bridged-weth-pulsechain', 'bridged-wrapped-ether-sonic', 'wrapped-eth-world-chain', 'metis-bridged-weth-metis-andromeda', 'l2-standard-bridged-weth-abstract', 'celo-bridged-weth-celo', 'kcc-bridged-weth-kucoin-community-chain', 'arbitrum-bridged-weth-arbitrum-nova', 'superbridge-bridged-weth-soneium', 'layerzero-bridged-wrapped-ether-swellchain', 'bridged-wrapped-ether-x-layer', 'tac-bridged-weth-tac', 'l2-standard-bridged-weth-modee', 'celer-bridged-weth-conflux', 'bridged-wrapped-ether-morph-l2', 'wrapped-eth-taiko']",fms_historical
WIN,2,wink,20300108,860,"['wink', 'win-3']",fms_latest
WM,2,wrappedm-by-m0,756597052,112,"['wrappedm-by-m0', 'white-monkey']",fms_historical
WOJAK,2,wojak-4,4097858,1777,"['wojak-4', 'wojak']",fms_latest
WOLF,2,wolf-2,10925364,1157,"['wolf-2', 'landwolf-0x67']",fms_latest
WSTETH,12,wrapped-steth,12713956970,13,"['wrapped-steth', 'bridged-wrapped-lido-staked-ether-scroll', 'arbitrum-bridged-wsteth-arbitrum', 'superbridge-bridged-wsteth-base', 'superbridge-bridged-wsteth-optimism', 'bridged-wrapped-steth-gnosis', 'linea-bridged-wsteth-linea', 'polygon-bridged-wsteth-polygon', 'lisk-bridged-wsteth-lisk', 'wormhole-bridged-wsteth-bsc', 'polygon-zkevm-bridged-wsteth-katana', 'txsync-bridged-wsteth-zksync']",fms_historical
XAI,2,xai-blockchain,20887211,845,"['xai-blockchain', 'sideshift-token']",fms_latest
XUSD,2,straitsx-xusd,62878011,413,"['straitsx-xusd', 'staked-stream-usd']",fms_latest
YUSD,4,aegis-yusd,36043863,586,"['aegis-yusd', 'yieldfi-ytoken', 'yusd-stablecoin', 'synatra-staked-usdc']",fms_latest
ZEC,3,zcash,5996888293,19,"['zcash', 'binance-peg-zcash-token', 'omnibridge-bridged-zcash-solana']",fms_latest
ZKP,2,zkpass,15982496,961,"['zkpass', 'panther']",fms_latest
BRIDGE,2,octus-bridge,,,"['octus-bridge', 'hyperbridge-2']",heuristic
EOS,2,eos,,,"['eos', 'binance-peg-eos']",heuristic
USC,2,orby-network-usc-stablecoin,,,"['unstable-cult-2', 'orby-network-usc-stablecoin']",heuristic
