date,f_btc,f_alt,alt_coverage,p_level,frac_hot_180,frac_cold_180,struct_hot,early_hot,struct_cold,score_raw,funding_regime_long,regime_bucket
2025-03-07,0.0040466666666666,0.0032668611111111,0.8727272727272727,,,,,,,,,
2025-03-08,0.0012963333333333,-0.0013330312499999,0.8727272727272727,,,,,,,,,
2025-03-09,0.0041123333333333,-0.0067255347222222,0.8727272727272727,0.11666666666666667,0.26229508196721313,0.26229508196721313,0.18948087431693988,0.0,0.26229508196721313,0.03499999999999999,0.4708333333333333,RED
2025-03-10,0.0033996666666666,-0.0052842916666666,0.8727272727272727,0.14754098360655737,0.25806451612903225,0.25806451612903225,0.2028027498677948,0.0,0.25806451612903225,0.04426229508196722,0.46311475409836067,RED
2025-03-11,0.0037373333333333,-0.0014539652777777,0.8727272727272727,0.25806451612903225,0.25396825396825395,0.25396825396825395,0.2560163850486431,0.004096262160778297,0.25396825396825395,0.07619047619047618,0.4365079365079365,AMBER
2025-03-12,0.0037643333333333,0.0018293055555555,0.8727272727272727,0.4444444444444444,0.25,0.25,0.3472222222222222,0.19444444444444442,0.25,0.07499999999999998,0.4375,AMBER
2025-03-13,0.003446,0.0028640590277777,0.8727272727272727,0.5625,0.26153846153846155,0.26153846153846155,0.41201923076923075,0.30096153846153845,0.26153846153846155,0.07846153846153843,0.4346153846153846,GREEN
2025-03-14,0.0017243333333333,0.0031019409722222,0.8727272727272727,0.6,0.25757575757575757,0.25757575757575757,0.4287878787878788,0.3424242424242424,0.25757575757575757,0.07727272727272727,0.43560606060606055,GREEN
2025-03-15,0.0008326666666666,0.0023158923611111,0.8727272727272727,0.5,0.2537313432835821,0.2537313432835821,0.3768656716417911,0.2462686567164179,0.2537313432835821,0.07611940298507465,0.43656716417910446,AMBER
2025-03-16,0.0007196666666666,-0.0006248090277777,0.8727272727272727,0.29850746268656714,0.25,0.25,0.27425373134328357,0.04850746268656714,0.25,0.07500000000000001,0.4374999999999999,AMBER
2025-03-17,0.00191,0.0025730902777777,0.8727272727272727,0.5588235294117647,0.2608695652173913,0.2608695652173913,0.40984654731457804,0.2979539641943734,0.2608695652173913,0.0782608695652174,0.4347826086956522,GREEN
2025-03-18,0.004489,0.0015535208333333,0.8727272727272727,0.391304347826087,0.2571428571428571,0.2571428571428571,0.324223602484472,0.13416149068322986,0.2571428571428571,0.0771428571428571,0.4357142857142857,GREEN
2025-03-19,0.001993,0.0036642673611111,0.8727272727272727,0.6857142857142857,0.2535211267605634,0.2535211267605634,0.46961770623742455,0.43219315895372235,0.2535211267605634,0.076056338028169,0.43661971830985913,AMBER
2025-03-20,0.004275,0.0029448055555555,0.8727272727272727,0.5915492957746479,0.25,0.25,0.42077464788732394,0.3415492957746479,0.25,0.075,0.4375,AMBER
2025-03-21,0.002802,0.00103459375,0.8727272727272727,0.3611111111111111,0.2602739726027397,0.2602739726027397,0.3106925418569254,0.1008371385083714,0.2602739726027397,0.0780821917808219,0.43493150684931514,GREEN
2025-03-22,0.0013156666666666,0.0033873229166666,0.8727272727272727,0.6438356164383562,0.25675675675675674,0.25675675675675674,0.45029618659755644,0.38707885968159944,0.25675675675675674,0.077027027027027,0.43581081081081086,GREEN
2025-03-23,0.0008889999999999,0.0032335937499999,0.8727272727272727,0.6216216216216216,0.25333333333333335,0.25333333333333335,0.43747747747747745,0.36828828828828825,0.25333333333333335,0.076,0.43666666666666665,AMBER
2025-03-24,-0.001268,0.0027262951388888,0.8727272727272727,0.5466666666666666,0.25,0.25,0.3983333333333333,0.29666666666666663,0.25,0.075,0.4375,AMBER
2025-03-25,-0.0002863333333333,0.0041222152777777,0.8727272727272727,0.7105263157894737,0.2597402597402597,0.2597402597402597,0.4851332877648667,0.45078605604921396,0.2597402597402597,0.07792207792207792,0.43506493506493504,GREEN
2025-03-26,0.0020703333333333,3.6909722222217695e-06,0.8727272727272727,0.2987012987012987,0.2564102564102564,0.2564102564102564,0.27755577755577754,0.0422910422910423,0.2564102564102564,0.07692307692307691,0.4358974358974359,GREEN
2025-03-27,0.0002476666666666,0.0027447638888888,0.8727272727272727,0.5641025641025641,0.25316455696202533,0.25316455696202533,0.4086335605322947,0.31093800714053876,0.25316455696202533,0.07594936708860761,0.43670886075949356,AMBER
2025-03-28,0.0064763333333333,0.0010803402061855,0.8818181818181818,0.3670886075949367,0.25,0.25,0.30854430379746833,0.11708860759493672,0.25,0.07499999999999998,0.4375,AMBER
2025-03-29,0.0036493333333333,-0.0011384054982817,0.8818181818181818,0.2375,0.25925925925925924,0.25925925925925924,0.24837962962962962,0.0,0.25925925925925924,0.07125,0.44062499999999993,AMBER
2025-03-30,0.002364,-0.0009234226804123,0.8818181818181818,0.24691358024691357,0.25609756097560976,0.25609756097560976,0.25150557061126166,0.0,0.25609756097560976,0.07407407407407406,0.43827160493827155,AMBER
2025-03-31,0.0043626666666666,0.0009610240549828,0.8818181818181818,0.36585365853658536,0.25301204819277107,0.25301204819277107,0.3094328533646782,0.11284161034381429,0.25301204819277107,0.0759036144578313,0.4367469879518072,AMBER
2025-04-01,0.003155,-0.0070438213058419,0.8818181818181818,0.07228915662650602,0.25,0.25,0.16114457831325302,0.0,0.25,0.02168674698795181,0.4819277108433735,RED
2025-04-02,0.0038816666666666,-0.002153735395189,0.8818181818181818,0.19047619047619047,0.25882352941176473,0.25882352941176473,0.2246498599439776,0.0,0.25882352941176473,0.05714285714285715,0.45238095238095233,RED
2025-04-03,0.0072753333333333,-7.041237113402025e-05,0.8818181818181818,0.3176470588235294,0.2558139534883721,0.2558139534883721,0.28673050615595075,0.06183310533515729,0.2558139534883721,0.07674418604651163,0.436046511627907,GREEN
2025-04-04,0.0078856666666666,-2.497250859106432e-05,0.8818181818181818,0.32558139534883723,0.25287356321839083,0.25287356321839083,0.28922747928361403,0.0727078321304464,0.25287356321839083,0.07586206896551724,0.4367816091954022,AMBER
2025-04-05,0.0063746666666666,0.0017785326460481,0.8818181818181818,0.47126436781609193,0.25,0.25,0.36063218390804597,0.22126436781609193,0.25,0.07500000000000001,0.4374999999999999,AMBER
2025-04-06,0.0048003333333333,-0.0048773264604811,0.8818181818181818,0.13636363636363635,0.25842696629213485,0.25842696629213485,0.1973953013278856,0.0,0.25842696629213485,0.040909090909090895,0.46590909090909094,RED
2025-04-07,0.0040426666666666,-0.0102519381443298,0.8818181818181818,0.033707865168539325,0.25555555555555554,0.25555555555555554,0.14463171036204742,0.0,0.25555555555555554,0.010112359550561792,0.4915730337078652,RED
2025-04-08,0.0067973333333333,-0.0076849312714776,0.8818181818181818,0.06666666666666667,0.25274725274725274,0.25274725274725274,0.1597069597069597,0.0,0.25274725274725274,0.01999999999999999,0.4833333333333333,RED
2025-04-09,0.005634,0.0001631305841924,0.8818181818181818,0.37362637362637363,0.25,0.25,0.3118131868131868,0.12362637362637363,0.25,0.07500000000000001,0.4374999999999999,AMBER
2025-04-10,0.0042483333333333,-0.0051100171821305,0.8818181818181818,0.14130434782608695,0.25806451612903225,0.25806451612903225,0.19968443197755958,0.0,0.25806451612903225,0.04239130434782608,0.46467391304347827,RED
2025-04-11,0.0029276666666666,0.001942030927835,0.8818181818181818,0.5161290322580645,0.2553191489361702,0.2553191489361702,0.3857240905971173,0.2608098833218943,0.2553191489361702,0.07659574468085102,0.43617021276595747,GREEN
2025-04-12,0.0037199999999999,-0.0008265567010309,0.8818181818181818,0.2978723404255319,0.25263157894736843,0.25263157894736843,0.27525195968645016,0.04524076147816347,0.25263157894736843,0.0757894736842105,0.4368421052631579,AMBER
2025-04-13,0.0062136666666666,-0.0053091065292096,0.8818181818181818,0.12631578947368421,0.25,0.25,0.1881578947368421,0.0,0.25,0.03789473684210526,0.46842105263157885,RED
2025-04-14,0.0027346666666666,-0.0008730240549828,0.8818181818181818,0.2916666666666667,0.25773195876288657,0.25773195876288657,0.27469931271477666,0.033934707903780115,0.25773195876288657,0.07731958762886597,0.43556701030927836,GREEN
2025-04-15,0.003481,0.0005995463917525,0.8818181818181818,0.41237113402061853,0.25510204081632654,0.25510204081632654,0.33373658741847256,0.157269093204292,0.25510204081632654,0.07653061224489797,0.4362244897959183,GREEN
2025-04-16,0.0017033333333333,-0.0025618144329896,0.8818181818181818,0.21428571428571427,0.25252525252525254,0.25252525252525254,0.2334054834054834,0.0,0.25252525252525254,0.06428571428571427,0.4464285714285714,RED
2025-04-17,0.002494,0.0014715223367697,0.8818181818181818,0.48484848484848486,0.25,0.25,0.36742424242424243,0.23484848484848486,0.25,0.075,0.4375,AMBER
2025-04-18,0.0036416666666666,0.0011556597938144,0.8818181818181818,0.46,0.25742574257425743,0.25742574257425743,0.3587128712871287,0.2025742574257426,0.25742574257425743,0.07722772277227724,0.4356435643564357,GREEN
2025-04-19,0.0034326666666666,0.0019845189003436,0.8818181818181818,0.5643564356435643,0.2549019607843137,0.2549019607843137,0.409629198213939,0.3094544748592506,0.2549019607843137,0.07647058823529411,0.4362745098039216,GREEN
2025-04-20,0.002193,-0.0051435360824742,0.8818181818181818,0.13725490196078433,0.2524271844660194,0.2524271844660194,0.19484104321340187,0.0,0.2524271844660194,0.04117647058823529,0.46568627450980393,RED
2025-04-21,0.0016279999999999,-0.0046869347079037,0.8818181818181818,0.17475728155339806,0.25,0.25,0.21237864077669905,0.0,0.25,0.05242718446601942,0.4563106796116504,RED
2025-04-22,-0.0060616666666666,-0.0074355567010309,0.8818181818181818,0.07692307692307693,0.2571428571428571,0.2571428571428571,0.16703296703296702,0.0,0.2571428571428571,0.023076923076923078,0.4807692307692307,RED
2025-04-23,0.0009986666666666,0.0067618109965635,0.8818181818181818,0.8571428571428571,0.25471698113207547,0.25471698113207547,0.5559299191374663,0.6024258760107817,0.25471698113207547,0.07641509433962262,0.4363207547169812,GREEN
2025-04-24,0.0005073333333333,0.0075066666666666,0.8818181818181818,0.8867924528301887,0.2523364485981308,0.2523364485981308,0.5695644507141597,0.634456004232058,0.2523364485981308,0.07570093457943916,0.4369158878504673,AMBER
2025-04-25,-0.0033766666666666,0.0070360824742268,0.8818181818181818,0.8598130841121495,0.25,0.25,0.5549065420560748,0.6098130841121495,0.25,0.07499999999999998,0.4375,AMBER
2025-04-26,0.0020366666666666,0.0069863298969072,0.8818181818181818,0.8518518518518519,0.25688073394495414,0.25688073394495414,0.554366292898403,0.5949711179068977,0.25688073394495414,0.07706422018348622,0.4357798165137614,GREEN
2025-04-27,0.0029063333333333,0.0042170412371134,0.8818181818181818,0.7614678899082569,0.2545454545454545,0.2545454545454545,0.5080066722268557,0.5069224353628023,0.2545454545454545,0.07636363636363636,0.4363636363636364,GREEN
2025-04-28,0.0009216666666666,0.0033456323024054,0.8818181818181818,0.6909090909090909,0.25225225225225223,0.25225225225225223,0.4715806715806716,0.4386568386568387,0.25225225225225223,0.07567567567567568,0.4369369369369369,AMBER
2025-04-29,0.0013713333333333,0.0043013230240549,0.8818181818181818,0.7657657657657657,0.25,0.25,0.5078828828828829,0.5157657657657657,0.25,0.07500000000000001,0.4374999999999999,AMBER
