date,strategy_return,btc_return,strategy_cumulative,btc_cumulative,w_BTC,w_ETH,w_SOL,w_BNB
2024-10-01,-0.03832591429186316,-0.0368607756721544,0.9992325856751066,1.4387820010671368,0.0,0.0,1.0,0.0
2024-10-02,-0.048084936208149465,-0.03748393435901842,0.9511845505358149,1.384850790982199,0.0,0.0,1.0,0.0
2024-10-03,-0.032784004340305595,-0.003566604799017714,0.920000912102617,1.3799115755051583,0.0,0.0,1.0,0.0
2024-10-04,-0.027017006885634243,0.001192045048672652,0.8951452411255508,1.3815564922663452,0.0,0.0,1.0,0.0
2024-10-05,0.02264440788224431,0.02264440788224431,0.9154152750794478,1.412841020989587,1.0,0.0,0.0,0.0
2024-10-06,-0.0001783792372410664,-0.0001783792372410664,0.9152519840009202,1.41258899948592,1.0,0.0,0.0,0.0
2024-10-07,0.011593569614392951,0.011593569614392951,0.9258630215921462,1.4289659483879857,1.0,0.0,0.0,0.0
2024-10-08,-0.014594470952682403,-0.008348902997140861,0.9123505406173569,1.417035650298677,0.0,0.0,1.0,0.0
2024-10-09,-0.005400400464281696,-0.0016401342423698617,0.9074234823342192,1.4147115216059631,0.0,0.0,1.0,0.0
2024-10-10,0.0,-0.025537896325601883,0.9074234823342192,1.3785827654365557,0.0,0.0,0.0,0.0
2024-10-11,0.0,-0.006633475591379279,0.9074234823342192,1.3694379703113362,0.0,0.0,0.0,0.0
2024-10-12,0.0,0.03650059221153068,0.9074234823342192,1.4194232672246565,0.0,0.0,0.0,0.0
2024-10-13,0.006503309236938648,0.013069394929447364,0.9133247378486984,1.437974270476062,0.0,0.0,0.0,1.0
2024-10-14,-0.0075905366607929015,-0.005984025879554933,0.9063921129428488,1.4293693952273991,0.0,0.0,0.0,1.0
2024-10-15,0.029137708308300425,0.05125712466817767,0.9328023019427216,1.5026347605154478,0.0,0.0,0.0,1.0
2024-10-16,0.008614327603980287,0.013811129264957867,0.9408377665614032,1.5233878434309456,0.0,0.0,0.0,1.0
2024-10-17,0.011672844938473759,0.010234490482304848,0.9518200199227344,1.5389789418153985,0.0,0.0,0.0,1.0
2024-10-18,-0.004722106052239328,-0.004722106052239328,0.9473254248460147,1.5317117200399832,1.0,0.0,0.0,0.0
2024-10-19,0.016895083146856615,0.016895083146856615,0.9633305666659193,1.5575901169070736,1.0,0.0,0.0,0.0
2024-10-20,-0.0011209701734079536,-0.0011209701734079536,0.9622507018335547,1.5558441048436258,1.0,0.0,0.0,0.0
2024-10-21,0.043741973481066454,0.008392562707655538,1.0043414465152956,1.568901624056862,0.0,0.0,1.0,0.0
2024-10-22,-0.0011859427284003354,-0.022736471831771854,1.0031503550799696,1.533230336474672,0.0,0.0,1.0,0.0
2024-10-23,0.005020646584775967,-0.0006500469574240997,1.0081868184842186,1.5322336647594164,0.0,0.0,1.0,0.0
2024-10-24,0.024535144890395433,-0.009904521015685952,1.0329228281523157,1.5170576242258653,0.0,0.0,1.0,0.0
2024-10-25,0.035368741567414874,0.02294530500419234,1.0694560087203182,1.5518669741226632,0.0,0.0,1.0,0.0
2024-10-26,-0.07345141122821552,-0.023871719207186337,0.9909029556333161,1.514821241469501,0.0,0.0,1.0,0.0
