asset_id,recent_unique_dates,recent_start,recent_end
BTCUSD,567,2023-03-06,2026-03-05
BTG,754,2023-03-06,2026-03-05
BTR,156,2023-03-06,2026-03-05
BTS,754,2023-03-06,2026-03-05
BTSE,753,2023-03-06,2026-03-05
BTT,754,2023-03-06,2026-03-05
BTU,512,2023-03-06,2026-03-05
BTX,49,2023-03-06,2026-03-05
BTY,625,2023-03-06,2026-03-05
BUCK,754,2023-03-06,2026-03-05
BUCKY,587,2023-03-06,2026-03-05
BUIDL,387,2023-03-06,2026-03-05
BULLA,358,2023-03-06,2026-03-05
BULLISH,581,2023-03-06,2026-03-05
BUNDLE,143,2023-03-06,2026-03-05
BURN,737,2023-03-06,2026-03-05
BUSD,754,2023-03-06,2026-03-05
BXN,701,2023-03-06,2026-03-05
BXX,754,2023-03-06,2026-03-05
BYUSD,182,2023-03-06,2026-03-05
BZZ,754,2023-03-06,2026-03-05
C,219,2023-03-06,2026-03-05
C98,754,2023-03-06,2026-03-05
CA,754,2023-03-06,2026-03-05
CACAO,752,2023-03-06,2026-03-05
CAESAR,200,2023-03-06,2026-03-05
CAKE,754,2023-03-06,2026-03-05
CAL50,196,2023-03-06,2026-03-05
CAM,378,2023-03-06,2026-03-05
CAMP,156,2023-03-06,2026-03-05
CAOCAO,164,2023-03-06,2026-03-05
CAPX,86,2023-03-06,2026-03-05
CAR,354,2023-03-06,2026-03-05
CARDS,153,2023-03-06,2026-03-05
CARV,512,2023-03-06,2026-03-05
CASH,114,2023-03-06,2026-03-05
CAT,754,2023-03-06,2026-03-05
CATE,754,2023-03-06,2026-03-05
CATI,499,2023-03-06,2026-03-05
CAW,687,2023-03-06,2026-03-05
CBADA,218,2023-03-06,2026-03-05
CBAT,754,2023-03-06,2026-03-05
CBBTC,505,2023-03-06,2026-03-05
CBDOGE,239,2023-03-06,2026-03-05
CBETH,754,2023-03-06,2026-03-05
CBK,754,2023-03-06,2026-03-05
CBLTC,219,2023-03-06,2026-03-05
CBXRP,239,2023-03-06,2026-03-05
CC,81,2023-03-06,2026-03-05
CCD,754,2023-03-06,2026-03-05
CDAI,754,2023-03-06,2026-03-05
CDCBTC,230,2023-03-06,2026-03-05
CDCETH,754,2023-03-06,2026-03-05
CDCSOL,279,2023-03-06,2026-03-05
CDL,148,2023-03-06,2026-03-05
CDP,43,2023-03-06,2026-03-05
CDR,230,2023-03-06,2026-03-05
CDX,346,2023-03-06,2026-03-05
CEEK,754,2023-03-06,2026-03-05
CEL,754,2023-03-06,2026-03-05
CELL,754,2023-03-06,2026-03-05
CELO,754,2023-03-06,2026-03-05
CELR,754,2023-03-06,2026-03-05
CERE,754,2023-03-06,2026-03-05
CESS,218,2023-03-06,2026-03-05
CET,752,2023-03-06,2026-03-05
CETH,754,2023-03-06,2026-03-05
CETUS,754,2023-03-06,2026-03-05
CEUR,754,2023-03-06,2026-03-05
CFG,255,2023-03-06,2026-03-05
CFX,754,2023-03-06,2026-03-05
CGN,99,2023-03-06,2026-03-05
CGO,754,2023-03-06,2026-03-05
CGPT,754,2023-03-06,2026-03-05
CHAIN,754,2023-03-06,2026-03-05
CHDD,254,2023-03-06,2026-03-05
CHECK,261,2023-03-06,2026-03-05
CHEEMS,754,2023-03-06,2026-03-05
CHEQ,754,2023-03-06,2026-03-05
CHESS,754,2023-03-06,2026-03-05
CHEX,754,2023-03-06,2026-03-05
CHI,85,2023-03-06,2026-03-05
CHILLGUY,437,2023-03-06,2026-03-05
CHILLHOUSE,269,2023-03-06,2026-03-05
CHMPSTR,104,2023-03-06,2026-03-05
CHOG,95,2023-03-06,2026-03-05
CHR,754,2023-03-06,2026-03-05
CHZ,754,2023-03-06,2026-03-05
CINO,173,2023-03-06,2026-03-05
CITY,754,2023-03-06,2026-03-05
CJL,222,2023-03-06,2026-03-05
CKB,754,2023-03-06,2026-03-05
CKBTC,754,2023-03-06,2026-03-05
CKP,749,2023-03-06,2026-03-05
CL8Y,233,2023-03-06,2026-03-05
CLANKER,463,2023-03-06,2026-03-05
CLASH,125,2023-03-06,2026-03-05
CLBTC,390,2023-03-06,2026-03-05
CLEAR,380,2023-03-06,2026-03-05
CLO,108,2023-03-06,2026-03-05
CLORE,754,2023-03-06,2026-03-05
CLOUD,561,2023-03-06,2026-03-05
CLV,754,2023-03-06,2026-03-05
CLY,754,2023-03-06,2026-03-05
CMC20,41,2023-03-06,2026-03-05
CMETH,459,2023-03-06,2026-03-05
CNX,123,2023-03-06,2026-03-05
COAI,126,2023-03-06,2026-03-05
COCA,458,2023-03-06,2026-03-05
COCO,50,2023-03-06,2026-03-05
CODEC,252,2023-03-06,2026-03-05
COINX,214,2023-03-06,2026-03-05
COL,754,2023-03-06,2026-03-05
COLLAT,361,2023-03-06,2026-03-05
COLLECT,32,2023-03-06,2026-03-05
COMMON,95,2023-03-06,2026-03-05
COMP,754,2023-03-06,2026-03-05
CONAN,703,2023-03-06,2026-03-05
CONCILIUM,154,2023-03-06,2026-03-05
CONSCIOUS,301,2023-03-06,2026-03-05
CONX,754,2023-03-06,2026-03-05
COOK,723,2023-03-06,2026-03-05
COOKIE,631,2023-03-06,2026-03-05
COPI,754,2023-03-06,2026-03-05
COQ,754,2023-03-06,2026-03-05
COR,485,2023-03-06,2026-03-05
CORAL,283,2023-03-06,2026-03-05
CORE,754,2023-03-06,2026-03-05
COREUM,754,2023-03-06,2026-03-05
CORGIAI,754,2023-03-06,2026-03-05
CORN,661,2023-03-06,2026-03-05
COS,754,2023-03-06,2026-03-05
COTI,754,2023-03-06,2026-03-05
COW,754,2023-03-06,2026-03-05
CPH,733,2023-03-06,2026-03-05
CPOOL,754,2023-03-06,2026-03-05
CRCLON,150,2023-03-06,2026-03-05
CRCLX,214,2023-03-06,2026-03-05
CREPE,370,2023-03-06,2026-03-05
CRMC,212,2023-03-06,2026-03-05
CRO,754,2023-03-06,2026-03-05
CROC,174,2023-03-06,2026-03-05
CROSS,223,2023-03-06,2026-03-05
CROWN,754,2023-03-06,2026-03-05
CRT,484,2023-03-06,2026-03-05
CRTS,754,2023-03-06,2026-03-05
CRV,754,2023-03-06,2026-03-05
CRVUSD,754,2023-03-06,2026-03-05
CRYPTO,259,2023-03-06,2026-03-05
CSPR,754,2023-03-06,2026-03-05
CSWAP,723,2023-03-06,2026-03-05
CTA,625,2023-03-06,2026-03-05
CTC,754,2023-03-06,2026-03-05
CTF,653,2023-03-06,2026-03-05
CTK,754,2023-03-06,2026-03-05
CTM,287,2023-03-06,2026-03-05
CTOC,227,2023-03-06,2026-03-05
CTSI,754,2023-03-06,2026-03-05
CTX,754,2023-03-06,2026-03-05
CTY,65,2023-03-06,2026-03-05
CUBE,754,2023-03-06,2026-03-05
CUDIS,274,2023-03-06,2026-03-05
CUDOS,751,2023-03-06,2026-03-05
CULT,753,2023-03-06,2026-03-05
CUNI,754,2023-03-06,2026-03-05
CUSD,754,2023-03-06,2026-03-05
CUSDC,754,2023-03-06,2026-03-05
CUSDO,349,2023-03-06,2026-03-05
CVC,754,2023-03-06,2026-03-05
CVX,754,2023-03-06,2026-03-05
CWBTC,754,2023-03-06,2026-03-05
CWEB,754,2023-03-06,2026-03-05
