decision_date,next_date,basket_hash,basket_members,n_valid,coverage,F_tk,label_v0_0,label_v0_1,p_v0_0,p_v0_1,r_alts,r_maj_weighted,y,r_btc,r_eth
2024-06-24,2024-07-01,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,SUI,UNI,VET,XLM,XMR,XRP","STETH,XRP,ADA,LINK,DOT,BCH,UNI,NEAR,LTC,PEPE,ICP,KAS,FET,EZETH,ETC,APT,XMR,RENDER,HBAR,XLM,ATOM,ARB,FIL,STX,IMX,SUI,VET,INJ,GRT,OP",26,86.66666666666667,0.003287554945054945,Orange,,27.083333333333332,,0.04434437998385345,-0.0038538243871084287,0.04819820437096188,-0.00770251644486819,0.005126457080997682
2024-07-01,2024-07-08,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,UNI,VET,WIF,XLM,XMR,XRP","STETH,XRP,ADA,LINK,DOT,BCH,UNI,NEAR,LTC,PEPE,KAS,ICP,FET,ETC,EZETH,APT,XMR,RENDER,HBAR,XLM,ATOM,ARB,STX,FIL,IMX,INJ,WIF,VET,OP,GRT",26,86.66666666666667,0.004250494505494506,Orange,,31.25,,-0.17302359843372242,-0.12072885798007019,-0.05229474045365223,-0.10925455786381288,-0.1475022249180039
2024-07-08,2024-07-15,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,RETH,STETH,STX,UNI,VET,WIF,XLM,XMR,XRP","STETH,XRP,ADA,DOT,LINK,BCH,UNI,NEAR,LTC,KAS,PEPE,ICP,EZETH,ETC,FET,XMR,APT,RENDER,XLM,HBAR,ATOM,ARB,FIL,STX,VET,INJ,IMX,WIF,GRT,RETH",25,83.33333333333334,0.003444428571428572,Orange,,29.166666666666668,,0.15345897935744224,0.09660518836562729,0.05685379099181495,0.0905855110686109,0.11065110205866557
2024-07-15,2024-07-22,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,SUI,TAO,UNI,VET,XLM,XMR,XRP","STETH,XRP,ADA,DOT,LINK,BCH,UNI,NEAR,LTC,KAS,ICP,PEPE,ETC,FET,APT,XLM,XMR,HBAR,STX,VET,FIL,ATOM,RENDER,ARB,IMX,INJ,EZETH,SUI,OP,TAO",26,86.66666666666667,0.005721291208791209,Yellow,,43.75,,0.10718038236500475,0.10794659920428397,-0.0007662168392792157,0.11725532135518568,0.08622624751884667
2024-07-22,2024-07-29,"ADA,APT,AR,ARB,ATOM,BCH,BONK,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,STETH,STX,TAO,UNI,VET,WIF,XLM,XMR,XRP","STETH,XRP,ADA,LINK,DOT,BCH,NEAR,UNI,LTC,PEPE,ICP,KAS,FET,ETC,APT,XLM,XMR,STX,WIF,RENDER,FIL,ARB,HBAR,INJ,IMX,ATOM,TAO,VET,BONK,AR",26,86.66666666666667,0.006166274725274725,Yellow,,47.91666666666667,,-0.0783835257904283,-0.020515242690190616,-0.057868283100237686,0.002263352779017902,-0.07366529878501049
2024-07-29,2024-08-05,"ADA,APT,AR,ARB,ATOM,BCH,BONK,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,STETH,STX,TAO,UNI,VET,WIF,XLM,XMR,XRP","XRP,STETH,ADA,BCH,LINK,DOT,NEAR,UNI,LTC,PEPE,KAS,ICP,ETC,APT,FET,XMR,XLM,STX,FIL,RENDER,ATOM,HBAR,WIF,TAO,ARB,INJ,VET,IMX,AR,BONK",27,90.0,0.004618248677248677,Orange,,33.33333333333333,,-0.216684740828305,-0.15911609710641117,-0.057568643721893825,-0.14999565871207454,-0.18039712002652997
2024-08-05,2024-08-12,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,RETH,STETH,STX,SUI,TAO,UNI,VET,XLM,XMR,XRP","XRP,STETH,ADA,LINK,DOT,BCH,LTC,UNI,NEAR,KAS,ICP,PEPE,ETC,XMR,XLM,APT,FET,FIL,STX,HBAR,ATOM,ARB,VET,RENDER,INJ,IMX,OP,TAO,RETH,SUI",27,90.0,0.0022223068783068785,Red,,20.833333333333336,,0.009589825832429889,-0.004198111138733753,0.013787936971163641,0.013757629746857347,-0.04609483987177965
2024-08-12,2024-08-19,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,SUI,TAO,UNI,VET,WIF,XLM,XMR,XRP","XRP,STETH,ADA,BCH,DOT,LINK,LTC,UNI,NEAR,KAS,PEPE,ICP,XLM,XMR,ETC,APT,SUI,FET,TAO,STX,FIL,ATOM,HBAR,ARB,VET,RENDER,INJ,IMX,WIF,OP",28,93.33333333333333,-0.00450194387755102,Red,,2.083333333333333,,-0.0017332320197625355,0.0021872490715641457,-0.003920481091326681,-0.006223034112299186,0.021811243167245253
2024-08-19,2024-08-26,"AAVE,ADA,APT,ARB,ATOM,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,SUI,TAO,UNI,VET,XLM,XMR,XRP","XRP,STETH,ADA,BCH,DOT,LINK,LTC,UNI,NEAR,KAS,ICP,PEPE,APT,XMR,ETC,XLM,SUI,STX,FET,FIL,TAO,HBAR,VET,ARB,ATOM,RENDER,IMX,INJ,AAVE,OP",28,93.33333333333333,0.0011839387755102043,Red,,12.5,,0.18049007053311975,0.08478554570364844,0.09570452482947131,0.09972095687295157,0.04993625297527449
2024-08-26,2024-09-02,"AAVE,ADA,APT,ARB,ATOM,BCH,DOT,ETC,FET,FIL,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,STETH,STX,SUI,TAO,UNI,VET,WIF,XLM,XMR,XRP","XRP,STETH,ADA,LINK,BCH,DOT,NEAR,UNI,LTC,KAS,ICP,PEPE,APT,FET,XMR,ETC,XLM,STX,SUI,TAO,RENDER,FIL,IMX,INJ,HBAR,ARB,VET,AAVE,ATOM,WIF",28,93.33333333333333,0.004726775510204082,Orange,,37.5,,-0.15606573219723313,-0.10968477042311872,-0.04638096177411441,-0.10749260705396069,-0.11479981828448749
