asset,system,rule,event_kind,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best
ETH,GERHARD_SMA120,M1_1close,to_long,35,0.6,0.02504444388861178,0.047249335852634806,-0.0038730680078868547,-0.025278966808438955,0.019257860824457382,0.6535740145521414,0.5259333216608474,0.6614907019368873,-0.013784057111866251,-0.12566311940969124,-0.15837866774736276,0.11455256865985108
ETH,GERHARD_SMA120,M1_1close,to_short,39,0.5128205128205128,-0.008915585032439294,0.058288718489807975,-0.03296916287064455,-0.06380837691685089,-0.008541821278924642,1.180575637155731,-0.17831170064878588,1.1074856513063516,-0.14562402567491908,-0.23164287618961402,-0.30279227421412924,0.07448146695423796
ETH,GERHARD_SMA120,M2_2close,all,74,0.5540540540540541,0.0031495077129385534,0.004607939902130157,-0.00030989460188938513,-0.010973941280541034,0.009733599890000996,0.5940020649548844,0.1291298162304807,0.15206201677029518,-0.0023318447235988974,-0.06554101369755759,-0.17785374165011203,0.19624461226248358
ETH,GERHARD_SMA120,M2_2close,to_long,35,0.6,0.015644410894148357,-0.01107599585305932,0.01381704487771274,0.00017751549745474685,0.029355292854648326,-2.4244723286829424,0.32853262877711553,-0.15506394194283046,0.049174178022121456,-0.04341803434699491,-0.07392462973824077,0.19624461226248358
ETH,GERHARD_SMA120,M2_2close,to_short,39,0.5128205128205128,-0.009970140627331741,0.016164524142796087,-0.01298791721178873,-0.029379409919385636,0.00024312463566706805,2.6095452602250373,-0.19940281254663483,0.30712595871312565,-0.05736732827988451,-0.07801712486818994,-0.17785374165011203,0.09841747123135813
ETH,GERHARD_SMA120,M3_linear,all,74,0.5540540540540541,0.003002344185483423,0.022140783032278313,-0.008210131465680596,-0.01806502016306535,0.0002626752907601594,0.8805898661896563,0.12309611160482034,0.7306458400651843,-0.061778267906499984,-0.07143468015682342,-0.12244493442345288,0.06532235294984001
ETH,GERHARD_SMA120,M3_linear,to_long,35,0.6,0.013484091666609153,0.01715277128775766,0.0012293464848624272,-0.008400317502190469,0.011597321629344359,0.5598736173904775,0.28316592499879223,0.24013879802860724,0.004375183219894223,-0.042831572120120794,-0.0801444103975623,0.06532235294984001
ETH,GERHARD_SMA120,M3_linear,to_short,39,0.5128205128205128,-0.008003490669698594,0.025816160107188273,-0.016681457831552542,-0.030305519335740116,-0.006414567033588703,1.4493145004338281,-0.16006981339397186,0.4905070420365772,-0.07368161130108776,-0.07721429206320464,-0.12244493442345288,0.03280076141030686
ETH,LL3_k0.30,M1_1close,all,74,0.972972972972973,-0.00618233648893234,0.1359537241858808,-0.009689671291552562,-0.02067077182253288,0.00030612379055362164,1.047640212520265,-0.4451282272031285,0.2719074483717616,-0.07461460983012211,-0.10159973603607085,-0.1644397656022354,0.08843363673166715
ETH,LL3_k0.30,M1_1close,to_long,20,0.9,-0.008372576191488765,0.1359537241858808,-0.021130690990927965,-0.04758689283806836,0.002948049486990809,1.0656254965808647,-0.15070637144679777,0.2719074483717616,-0.044153231604327464,-0.11031628691116169,-0.1644397656022354,0.05530383538184802
ETH,LL3_k0.30,M1_1close,to_neutral,36,1.0,-0.008178384882120297,,,-0.023490146185834376,0.006534779602727326,,-0.29442185575633073,-0.0,-0.030883854915278515,-0.10355260208279046,-0.15645500786937017,0.08843363673166715
ETH,LL3_k0.30,M1_1close,to_short,18,1.0,0.0,,,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0
ETH,LL3_k0.30,M2_2close,all,74,0.972972972972973,-0.003655680462469463,0.09079369811434018,-0.006010762020628127,-0.013195433259616005,0.0008313030136713914,1.0419527613891155,-0.26320899329780134,0.18158739622868036,-0.04628543626055483,-0.04790283303693921,-0.18158739622868036,0.08971962616822426
ETH,LL3_k0.30,M2_2close,to_long,20,0.9,-0.00482008474760952,0.09079369811434018,-0.013417446084282584,-0.030528535375625127,0.001261430963397572,1.0560646989099884,-0.08676152545697136,0.18158739622868036,-0.02803616809087079,-0.04506296887691662,-0.18158739622868036,0.02651344831367064
ETH,LL3_k0.30,M2_2close,to_neutral,36,1.0,-0.004901318551134166,,,-0.015452581819176702,0.00471731750455408,,-0.17644746784082999,-0.0,-0.018508741421270288,-0.06229394958071979,-0.10333623732114416,0.08971962616822426
ETH,LL3_k0.30,M2_2close,to_short,18,1.0,0.0,,,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0
ETH,LL3_k0.30,M3_linear,all,74,0.972972972972973,-0.0032043571943533595,0.07309658476478087,-0.005093336317878424,-0.010951799665940258,2.3234999379081044e-06,1.0458471178519022,-0.23071371799344187,0.14619316952956174,-0.03922086628711598,-0.0421371486236972,-0.08659968297972397,0.05909408364067381
ETH,LL3_k0.30,M3_linear,to_long,20,0.9,-0.004097754850572535,0.07309658476478087,-0.010997637841993367,-0.02474473052652569,0.00032851858676747486,1.05938875855819,-0.07375958731030563,0.14619316952956174,-0.022979904014805937,-0.06455077233987452,-0.08259193190356572,0.02404231683867697
ETH,LL3_k0.30,M3_linear,to_neutral,36,1.0,-0.004359836963420451,,,-0.012058592909222678,0.003101197726316358,,-0.15695413068313624,-0.0,-0.016463956413559883,-0.03995715256157234,-0.08659968297972397,0.05909408364067381
ETH,LL3_k0.30,M3_linear,to_short,18,1.0,0.0,,,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0
ETH,LL2_k0.30,M1_1close,all,27,0.9259259259259259,-0.0005567160450415054,0.36494152070103075,-0.027548183056596263,-0.09171287338398994,0.010497290779499737,1.001527824535842,-0.013917901126037635,0.7298830414020615,-0.07770975236223919,-0.2901155220575591,-0.3703670144393959,0.0793579089201546
ETH,LL2_k0.30,M1_1close,to_long,15,0.8666666666666667,-0.010886807959727586,0.36494152070103075,-0.058094102991901334,-0.1392146058086305,0.002002219402081191,1.0307489423751357,-0.14152850347645862,0.7298830414020615,-0.09104206715299756,-0.36277132320568467,-0.3703670144393959,0.044175466085932036
ETH,LL2_k0.30,M1_1close,to_short,12,1.0,0.010634216862535082,,,-0.02029698281285361,0.0372556863971495,,0.127610602350421,-0.0,0.016694044594731828,-0.07084011518583913,-0.12818101061231046,0.0793579089201546
ETH,LL2_k0.30,M2_2close,all,27,0.9259259259259259,0.0016953184102416685,0.12769524065556204,-0.00788916744648453,-0.030777694940632105,0.007567727371369383,0.9868976653128186,0.04238296025604171,0.2553904813111241,-0.02225428977842358,-0.04663887565739694,-0.2553904813111241,0.03225269115625895
