asset,system,exposure,model,window,dSharpe,dSharpe_lo,dSharpe_hi,P(dSharpe>0),dCAGR,dCAGR_lo,dCAGR_hi
ETH,LL3_k0.30,long_short,M2_2close,test_2024+,0.03316858521139793,-0.12448105022194605,0.18629437595973813,0.6385,0.02064290337725938,-0.1011027198195335,0.10189920962083635
ETH,LL3_k0.30,long_short,M3_linear,test_2024+,0.054157203129530596,-0.09012191602953576,0.18850185098485223,0.743,0.036251574415696375,-0.06772704262595784,0.11813347353391218
ETH,LL2_k0.30,long_flat,M1_1close,walk_forward_oos,0.0016750673648111558,-0.07828721345725054,0.08296853586385537,0.5415,0.0008054026372619205,-0.06648733506137117,0.06554303841619924
ETH,LL2_k0.30,long_flat,M2_2close,walk_forward_oos,0.006101183586322723,-0.04213271462197782,0.04534279743022827,0.6205,0.004858286685156532,-0.03123843427854983,0.03770282356240953
ETH,LL2_k0.30,long_flat,M3_linear,walk_forward_oos,0.004754073210358589,-0.022674933788125195,0.03352769297305371,0.633,0.003363200656991472,-0.019352863777238966,0.02715738871619493
ETH,LL2_k0.30,long_flat,M4_strength,walk_forward_oos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,LL2_k0.30,long_flat,M5_override,walk_forward_oos,-0.022242736447729006,-0.056810670187511396,0.0,0.0085,-0.017678558189606397,-0.05036057178459841,0.0
ETH,LL2_k0.30,long_flat,M6_probability,walk_forward_oos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,LL2_k0.30,long_flat,M1_1close,test_2024+,0.025243326192110227,-0.14668831991060885,0.19934698057133832,0.607,0.011657642441155414,-0.07216142925264082,0.08920290918699886
ETH,LL2_k0.30,long_flat,M2_2close,test_2024+,0.015992281382320506,-0.09960365936388502,0.12048330556962603,0.6355,0.007396787845587616,-0.05094837518705788,0.05101117652527329
ETH,LL2_k0.30,long_flat,M3_linear,test_2024+,0.015256985693905545,-0.05661151640905602,0.0840252302635884,0.6815,0.007150005209866306,-0.032524026414718986,0.03502190532091061
ETH,LL2_k0.30,long_short,M1_1close,walk_forward_oos,-0.007532471666334278,-0.13069534190725815,0.11458842027601361,0.4905,-0.004875158232119259,-0.08104747019573136,0.08421675321981556
ETH,LL2_k0.30,long_short,M2_2close,walk_forward_oos,0.0075032262428130075,-0.06114247379059354,0.06775416654902254,0.596,0.004817206367118132,-0.04075383156741161,0.04679338093787071
ETH,LL2_k0.30,long_short,M3_linear,walk_forward_oos,0.0008291094977004726,-0.042458611295456555,0.045039464209113436,0.534,0.0036481242924938373,-0.02244120178286522,0.03438129915072725
ETH,LL2_k0.30,long_short,M4_strength,walk_forward_oos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,LL2_k0.30,long_short,M5_override,walk_forward_oos,-0.03171908569609709,-0.08252882758532065,0.0,0.005,-0.019970147409718697,-0.058144156057580124,0.0
ETH,LL2_k0.30,long_short,M6_probability,walk_forward_oos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,LL2_k0.30,long_short,M1_1close,test_2024+,0.030479729084075903,-0.1824714267444003,0.24761603053975026,0.6115,0.016809881013245098,-0.10690296938438551,0.16237312428293849
ETH,LL2_k0.30,long_short,M2_2close,test_2024+,0.01919985301768004,-0.11415727010795403,0.15265634040381165,0.6305,0.010556205139448216,-0.06994760919314079,0.09861806616734466
ETH,LL2_k0.30,long_short,M3_linear,test_2024+,0.016693736001356436,-0.0761410505436781,0.10089669331604124,0.6595,0.01160544475767511,-0.042409468070640666,0.06880073359720153
