system,feature,outcome,n_pos,n_neg,AUC,p,fdr_reject_q10,p_bh
GERHARD_SMA120,funding_z90,confirmed,95,55,0.4813397129186603,0.7052113719612041,False,0.9501187819841299
GERHARD_SMA120,funding_z90,valid_10d,103,47,0.5333608758520967,0.5141949640342531,False,0.8982139878066701
GERHARD_SMA120,funding_z90,up_10d,90,60,0.5114814814814815,0.813488161585855,False,0.9665678925776454
GERHARD_SMA120,premium_z90,confirmed,92,53,0.4895406070549631,0.8357478304417836,False,0.9665678925776454
GERHARD_SMA120,premium_z90,valid_10d,98,47,0.4637429439861051,0.4818427290745503,False,0.8965523911715747
GERHARD_SMA120,premium_z90,up_10d,87,58,0.46888624653190647,0.5276361265052605,False,0.8989356229348882
GERHARD_SMA120,oi_chg_1d,confirmed,90,49,0.5965986394557823,0.06067067878222536,False,0.3008256514690758
GERHARD_SMA120,oi_chg_1d,valid_10d,94,45,0.4933806146572104,0.9014807480105274,False,0.9665678925776454
GERHARD_SMA120,oi_chg_1d,up_10d,83,56,0.5021514629948365,0.9674585606197911,False,0.980318835084019
GERHARD_SMA120,liq_forced_oi,confirmed,90,49,0.5678004535147392,0.1881783584114568,False,0.5770802991284676
GERHARD_SMA120,liq_forced_oi,valid_10d,94,45,0.5468085106382978,0.3739791404501742,False,0.8490901225728248
GERHARD_SMA120,liq_forced_oi,up_10d,83,56,0.5064543889845095,0.8991919428296486,False,0.9665678925776454
GERHARD_SMA120,dvol_chg5,confirmed,60,29,0.5977011494252874,0.1378718880764608,False,0.4566453496222025
GERHARD_SMA120,dvol_chg5,valid_10d,66,23,0.52832674571805,0.690400877161965,False,0.9501187819841299
GERHARD_SMA120,dvol_chg5,up_10d,59,30,0.5141242937853108,0.8316062966919606,False,0.9665678925776454
GERHARD_SMA120,breadth_above20,confirmed,90,50,0.5295555555555556,0.5644477657205892,False,0.9273070436838251
GERHARD_SMA120,breadth_above20,valid_10d,94,46,0.5053191489361702,0.9204832705102346,False,0.9670025633071287
GERHARD_SMA120,breadth_above20,up_10d,83,57,0.44884802367364196,0.30567903743757674,False,0.7797292346276715
GERHARD_SMA120,perp_taker_share,confirmed,97,56,0.5791605301914581,0.10379598698772675,False,0.3978846167862859
GERHARD_SMA120,perp_taker_share,valid_10d,105,48,0.6337301587301587,0.008091898910603976,True,0.08589861920487298
GERHARD_SMA120,perp_taker_share,up_10d,91,62,0.6132577100319035,0.017650298061335033,False,0.1623827421642823
GERHARD_SMA120,vol_pct,confirmed,114,65,0.4794871794871795,0.6495262121769746,False,0.9501187819841299
GERHARD_SMA120,vol_pct,valid_10d,117,62,0.423904052936311,0.09454342488891636,False,0.39336198203698
GERHARD_SMA120,vol_pct,up_10d,99,80,0.4244949494949495,0.08300269559615306,False,0.36949587071835877
GERHARD_SMA120,mom30,confirmed,119,73,0.5442615402325314,0.304266980630024,False,0.7797292346276715
GERHARD_SMA120,mom30,valid_10d,125,67,0.5295522388059701,0.5009458617074228,False,0.8965523911715747
GERHARD_SMA120,mom30,up_10d,104,88,0.458479020979021,0.3225857600670131,False,0.7797292346276715
LL2_k0.30,ret_z20,valid_10d,57,8,0.5942982456140351,0.4031599283332168,False,0.8772923653085382
LL2_k0.30,ret_z20,up_10d,34,31,0.4639468690702087,0.6223471808244787,False,0.9501187819841299
LL2_k0.30,ret2_z20,valid_10d,57,8,0.706140350877193,0.06103708870387045,False,0.3008256514690758
LL2_k0.30,ret2_z20,up_10d,34,31,0.5113851992409867,0.8799430065246866,False,0.9665678925776454
LL2_k0.30,move_atr,valid_10d,57,8,0.6030701754385965,0.35993649546875156,False,0.8418853622828426
LL2_k0.30,move_atr,up_10d,34,31,0.4781783681214421,0.7675998000698498,False,0.9665678925776454
LL2_k0.30,tr_atr,valid_10d,57,8,0.6557017543859649,0.1621070319874926,False,0.5202504747505576
LL2_k0.30,tr_atr,up_10d,34,31,0.49335863377609107,0.931966238549624,False,0.9670025633071287
LL2_k0.30,brk_atr,valid_10d,57,8,0.7390350877192983,0.028311822338234326,False,0.19601279144373313
LL2_k0.30,brk_atr,up_10d,34,31,0.42030360531309297,0.2727758892910881,False,0.7239052446571185
LL2_k0.30,brk_vol,valid_10d,57,8,0.6929824561403509,0.0805124342531378,False,0.36949587071835877
LL2_k0.30,brk_vol,up_10d,34,31,0.4146110056925996,0.2397960881725073,False,0.6618372033561202
LL2_k0.30,range_breakout_20,valid_10d,57,8,0.6644736842105263,0.13897901945023552,False,0.4566453496222025
LL2_k0.30,range_breakout_20,up_10d,34,31,0.4952561669829222,0.9528699241495607,False,0.980318835084019
LL2_k0.30,range_breakout_60,valid_10d,57,8,0.6118421052631579,0.31963553831266134,False,0.7797292346276715
LL2_k0.30,range_breakout_60,up_10d,34,31,0.4905123339658444,0.9007029588934828,False,0.9665678925776454
LL2_k0.30,range_breakout_120,valid_10d,57,8,0.7236842105263158,0.04109274948494285,False,0.24655649690965706
LL2_k0.30,range_breakout_120,up_10d,34,31,0.43548387096774194,0.3753224454850892,False,0.8490901225728248
LL2_k0.30,trend_agree_count,valid_10d,57,8,0.7456140350877193,0.021101674437727837,False,0.17854265190655516
LL2_k0.30,trend_agree_count,up_10d,34,31,0.5128083491461101,0.8596214038102207,False,0.9665678925776454
LL2_k0.30,spot_vol_z,up_10d,28,26,0.5604395604395604,0.4514104571522356,False,0.8965523911715747
LL2_k0.30,perp_vol_z,up_10d,28,26,0.5357142857142857,0.6588855976137515,False,0.9501187819841299
LL2_k0.30,funding_z90,up_10d,27,26,0.3433048433048433,0.05138794248536208,False,0.29097514136207314
LL2_k0.30,premium_z90,up_10d,26,24,0.6041666666666666,0.21039274816710984,False,0.6311782445013295
LL2_k0.30,oi_chg_1d,up_10d,25,23,0.4591304347826087,0.6350263239877817,False,0.9501187819841299
LL2_k0.30,liq_forced_oi,up_10d,25,23,0.44869565217391305,0.5495132498037176,False,0.9247905911330858
LL2_k0.30,dvol_chg5,up_10d,21,13,0.4432234432234432,0.595018697431704,False,0.9501187819841299
LL2_k0.30,breadth_above20,up_10d,25,23,0.48434782608695653,0.8607126896045656,False,0.9665678925776454
LL2_k0.30,perp_taker_share,up_10d,28,27,0.5542328042328042,0.4953319276564372,False,0.8965523911715747
LL2_k0.30,vol_pct,valid_10d,55,8,0.47954545454545455,0.8633469876136941,False,0.9665678925776454
LL2_k0.30,vol_pct,up_10d,33,30,0.4666666666666667,0.6546826304026515,False,0.9501187819841299
LL2_k0.30,mom30,valid_10d,57,8,0.5043859649122807,0.9765651245910564,False,0.980318835084019
LL2_k0.30,mom30,up_10d,34,31,0.3776091081593928,0.09146418426694634,False,0.39336198203698
LL3_k0.30,ret_z20,valid_10d,164,36,0.518970189701897,0.7229164645531423,False,0.9501187819841299
LL3_k0.30,ret_z20,up_10d,104,96,0.5172275641025641,0.6749407547898771,False,0.9501187819841299
LL3_k0.30,ret2_z20,valid_10d,164,36,0.5169376693766937,0.7516955852053719,False,0.9665678925776454
LL3_k0.30,ret2_z20,up_10d,104,96,0.5357572115384616,0.38333613909670483,False,0.8532320515378269
LL3_k0.30,move_atr,valid_10d,164,36,0.5208333333333334,0.6968744391278844,False,0.9501187819841299
LL3_k0.30,move_atr,up_10d,104,96,0.5272435897435898,0.5067470037056727,False,0.8965523911715747
LL3_k0.30,tr_atr,valid_10d,164,36,0.4935636856368564,0.9050789699675271,False,0.9665678925776454
LL3_k0.30,tr_atr,up_10d,104,96,0.5087139423076923,0.8324796358912168,False,0.9665678925776454
LL3_k0.30,brk_atr,valid_10d,164,36,0.4791666666666667,0.6968744391278844,False,0.9501187819841299
LL3_k0.30,brk_atr,up_10d,104,96,0.5151241987179487,0.7128549174409851,False,0.9501187819841299
LL3_k0.30,brk_vol,valid_10d,164,36,0.481029810298103,0.7229164645531423,False,0.9501187819841299
LL3_k0.30,brk_vol,up_10d,104,96,0.5102163461538461,0.8039776442359631,False,0.9665678925776454
LL3_k0.30,range_breakout_20,valid_10d,164,36,0.456470189701897,0.41469717522649985,False,0.8772923653085382
LL3_k0.30,range_breakout_20,up_10d,104,96,0.5135216346153846,0.742232007607541,False,0.9663020476400063
LL3_k0.30,range_breakout_60,valid_10d,164,36,0.47950542005420055,0.7015839291148618,False,0.9501187819841299
LL3_k0.30,range_breakout_60,up_10d,104,96,0.5558894230769231,0.1727941676041328,False,0.5419453438493256
LL3_k0.30,range_breakout_120,valid_10d,164,36,0.6502371273712737,0.004817051389443824,True,0.06647530917432477
LL3_k0.30,range_breakout_120,up_10d,104,96,0.4946915064102564,0.8978477338281409,False,0.9665678925776454
LL3_k0.30,trend_agree_count,valid_10d,164,36,0.5791836043360433,0.1313486999381747,False,0.4531530147867027
LL3_k0.30,trend_agree_count,up_10d,104,96,0.5313000801282052,0.4382448308083813,False,0.8893792154640678
LL3_k0.30,spot_vol_z,valid_10d,126,30,0.4523809523809524,0.41957460949538783,False,0.8772923653085382
LL3_k0.30,spot_vol_z,up_10d,87,69,0.5055805430618024,0.9062636750314631,False,0.9665678925776454
LL3_k0.30,perp_vol_z,valid_10d,122,30,0.4568306010928962,0.4659427282324383,False,0.8965523911715747
LL3_k0.30,perp_vol_z,up_10d,84,68,0.5180322128851541,0.7040810840027899,False,0.9501187819841299
LL3_k0.30,funding_z90,valid_10d,120,30,0.5344444444444445,0.5617436009877239,False,0.9273070436838251
LL3_k0.30,funding_z90,up_10d,82,68,0.39616212338593976,0.028965390609955878,False,0.19601279144373313
LL3_k0.30,premium_z90,valid_10d,117,27,0.5508072174738842,0.4128209615791686,False,0.8772923653085382
LL3_k0.30,premium_z90,up_10d,79,65,0.47789678675754627,0.6500853269601679,False,0.9501187819841299
LL3_k0.30,oi_chg_1d,valid_10d,108,26,0.5056980056980057,0.9305060913501588,False,0.9670025633071287
LL3_k0.30,oi_chg_1d,up_10d,72,62,0.47401433691756273,0.6062741826516211,False,0.9501187819841299
LL3_k0.30,liq_forced_oi,valid_10d,108,26,0.4547720797720798,0.4766315396304368,False,0.8965523911715747
LL3_k0.30,liq_forced_oi,up_10d,72,62,0.5340501792114696,0.4990133856903092,False,0.8965523911715747
LL3_k0.30,dvol_chg5,valid_10d,71,22,0.5454545454545454,0.5238994616277199,False,0.8989356229348882
LL3_k0.30,dvol_chg5,up_10d,56,37,0.513030888030888,0.8352235973385342,False,0.9665678925776454
LL3_k0.30,breadth_above20,valid_10d,113,26,0.533356024506467,0.5984225845287068,False,0.9501187819841299
LL3_k0.30,breadth_above20,up_10d,75,64,0.5083333333333333,0.8674244722765825,False,0.9665678925776454
LL3_k0.30,perp_taker_share,valid_10d,125,30,0.5101333333333333,0.865134745405447,False,0.9665678925776454
LL3_k0.30,perp_taker_share,up_10d,85,70,0.5346218487394958,0.4599718544864927,False,0.8965523911715747
LL3_k0.30,vol_pct,valid_10d,158,36,0.49859353023909986,0.980318835084019,False,0.980318835084019
LL3_k0.30,vol_pct,up_10d,100,94,0.5108510638297873,0.795093585854712,False,0.9665678925776454
LL3_k0.30,mom30,valid_10d,164,36,0.47645663956639567,0.6596313554033748,False,0.9501187819841299
LL3_k0.30,mom30,up_10d,104,96,0.4985977564102564,0.973664882448083,False,0.980318835084019
