asset,window,model,Sharpe,CAGR,MaxDD,dSharpe_vs_M0,dCAGR_vs_M0
ETH,2019-2021,M5_brk0.5_down,1.5048073596515121,1.4586438623716593,-0.6239652960038917,-0.07107618057687914,-0.1815944108263019
ETH,2022+,M0_3close,0.28053293296599857,0.029941497217403024,-0.5691612456743318,0.0,0.0
ETH,2022+,M1_1close,0.35774821500865683,0.0646753356276848,-0.5558397404085945,0.07721528204265826,0.03473383841028177
ETH,2022+,FAST_both,0.35774821500865683,0.0646753356276848,-0.5558397404085945,0.07721528204265826,0.03473383841028177
ETH,2022+,M5_brk0.5_both,0.42899121982017546,0.09621106201950869,-0.48708153927913145,0.1484582868541769,0.06626956480210566
ETH,2022+,FAST_up,0.41796064340292105,0.09110224134192957,-0.6093319819008289,0.13742771043692248,0.061160744124526545
ETH,2022+,M5_brk0.5_up,0.42126450052594194,0.09276847554761303,-0.5488546438606762,0.14073156755994337,0.06282697833021
ETH,2022+,FAST_down,0.21044891283107925,0.004995927676021861,-0.5101686237475688,-0.07008402013491932,-0.024945569541381163
ETH,2022+,M5_brk0.5_down,0.28169271975347315,0.03318615767797062,-0.5101686237475688,0.0011597867874745815,0.0032446604605675944
ETH,2024+,M0_3close,0.5184791456994168,0.13989264091196008,-0.43929100367283047,0.0,0.0
ETH,2024+,M1_1close,0.7002852639476038,0.23213409729418388,-0.39800369038303485,0.18180611824818704,0.09224145638222381
ETH,2024+,FAST_both,0.7002852639476038,0.23213409729418388,-0.39800369038303485,0.18180611824818704,0.09224145638222381
ETH,2024+,M5_brk0.5_both,0.7106673134840465,0.23833293742669626,-0.3878901700580203,0.19218816778462977,0.09844029651473618
ETH,2024+,FAST_up,0.7446255130425602,0.2606293983816077,-0.397417176955308,0.22614636734314342,0.12073675746964763
ETH,2024+,M5_brk0.5_up,0.6762224094064633,0.22136380991991045,-0.39505994438261505,0.1577432637070465,0.08147116900795037
ETH,2024+,FAST_down,0.46657336390309634,0.1141264767626664,-0.44459175047401844,-0.05190578179632044,-0.02576616414929367
ETH,2024+,M5_brk0.5_down,0.5518736208330154,0.15572984143368762,-0.4326454576751637,0.03339447513359861,0.015837200521727546
ETH,2019-2025 (no 2026),M0_3close,1.0218261000364701,0.5691005988682638,-0.6608036765873619,0.0,0.0
ETH,2019-2025 (no 2026),M1_1close,0.8778368505491921,0.4185204299810825,-0.7073173206942802,-0.14398924948727798,-0.1505801688871813
ETH,2019-2025 (no 2026),FAST_both,0.8778368505491921,0.4185204299810825,-0.7073173206942802,-0.14398924948727798,-0.1505801688871813
ETH,2019-2025 (no 2026),M5_brk0.5_both,1.0120452342268191,0.5504325577072824,-0.6556365417008618,-0.009780865809650985,-0.01866804116098142
ETH,2019-2025 (no 2026),FAST_up,1.0327165200608182,0.5836972696382612,-0.6787308661319765,0.010890420024348035,0.014596670769997377
ETH,2019-2025 (no 2026),M5_brk0.5_up,1.0512432069244322,0.6009765971343262,-0.6289968180127077,0.029417106887962063,0.031875998266062355
ETH,2019-2025 (no 2026),FAST_down,0.8654217992909253,0.40544616629830377,-0.696192143648305,-0.1564043007455448,-0.16365443256996004
ETH,2019-2025 (no 2026),M5_brk0.5_down,0.9818426201360436,0.5195629087632652,-0.6239652960038917,-0.0399834799004265,-0.049537690104998644
ETH,2019-2026-07 (no Aug-2026 episode),M0_3close,0.9606085912910249,0.49591011029916787,-0.6608036765873619,0.0,0.0
ETH,2019-2026-07 (no Aug-2026 episode),M1_1close,0.8262731564760469,0.3666705328862925,-0.7073173206942802,-0.134335434814978,-0.1292395774128754
ETH,2019-2026-07 (no Aug-2026 episode),FAST_both,0.8262731564760469,0.3666705328862925,-0.7073173206942802,-0.134335434814978,-0.1292395774128754
ETH,2019-2026-07 (no Aug-2026 episode),M5_brk0.5_both,0.9562433376648358,0.48446228847900663,-0.6556365417008618,-0.004365253626189114,-0.011447821820161241
ETH,2019-2026-07 (no Aug-2026 episode),FAST_up,0.9715823450297035,0.5090747561200188,-0.6787308661319765,0.010973753738678593,0.013164645820850973
ETH,2019-2026-07 (no Aug-2026 episode),M5_brk0.5_up,0.9889112566024234,0.5239509390306263,-0.6289968180127077,0.028302665311398467,0.02804082873145841
ETH,2019-2026-07 (no Aug-2026 episode),FAST_down,0.8138363676973089,0.35474817221709753,-0.696192143648305,-0.146772223593716,-0.14116193808207034
ETH,2019-2026-07 (no Aug-2026 episode),M5_brk0.5_down,0.9271933185937936,0.4571480543239186,-0.6239652960038917,-0.033415272697231324,-0.03876205597524929
SOL,2019+ (walk-forward span),M0_3close,0.5809635012340296,0.18734268378982777,-0.692182934354044,0.0,0.0
SOL,2019+ (walk-forward span),M1_1close,0.5205392677374334,0.14605535162279404,-0.7221273501659617,-0.0604242334965962,-0.04128733216703373
SOL,2019+ (walk-forward span),FAST_both,0.5205392677374334,0.14605535162279404,-0.7221273501659617,-0.0604242334965962,-0.04128733216703373
SOL,2019+ (walk-forward span),M5_brk0.5_both,0.44052605773717624,0.09375417071037906,-0.7272582242460638,-0.1404374434968534,-0.09358851307944871
SOL,2019+ (walk-forward span),FAST_up,0.6004114893603902,0.20102952740180258,-0.6674662138933458,0.019447988126360616,0.013686843611974808
