feature,bucket,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best,asset,system,rule
brk_vol,2-2.5,4,0.75,0.0367665268387433,0.06628339184043286,0.01100404716894926,,,0.6432163430113128,0.1102995805162299,0.06628339184043286,0.005139678041507311,-0.06026798072787181,-0.06628339184043286,0.08245886367882904,BTC,GERHARD_SMA120,M1_1close
brk_vol,2.5-3,2,,,,,,,,,,,,,,BTC,GERHARD_SMA120,M1_1close
brk_vol,>3,5,1.0,0.02239248911024343,,,-0.0076136527355463056,0.06710634803392612,,0.11196244555121715,-0.0,0.016351172825902465,-0.010906530388979352,-0.011103436799594357,0.10891340464319499,BTC,GERHARD_SMA120,M1_1close
range_breakout_20,<0.5,54,0.6481481481481481,0.03840183525041609,0.022928746140842178,0.016822556612751144,-0.0015970692669639674,0.04082229144504714,0.373855026655761,1.3440642337645632,0.43564617667600136,0.09362293886896085,-0.04897802376756442,-0.13167120433374113,0.24233577151254437,BTC,GERHARD_SMA120,M1_1close
range_breakout_20,0.5-1,5,1.0,0.03703201053381098,,,-0.004452748136254891,0.08052369947854779,,0.1851600526690549,-0.0,0.02971428349620927,-0.019654454175389312,-0.026180651090025875,0.10456976674358431,BTC,GERHARD_SMA120,M1_1close
range_breakout_20,1-1.5,2,,,,,,,,,,,,,,BTC,GERHARD_SMA120,M1_1close
range_breakout_20,1.5-2,1,,,,,,,,,,,,,,BTC,GERHARD_SMA120,M1_1close
range_breakout_20,2-2.5,0,,,,,,,,,,,,,,BTC,GERHARD_SMA120,M1_1close
range_breakout_20,2.5-3,0,,,,,,,,,,,,,,BTC,GERHARD_SMA120,M1_1close
range_breakout_20,>3,6,0.8333333333333334,0.04988124681095565,0.06628339184043286,0.030520473702390902,-0.022438681618201117,0.08536764036820517,0.5705987003441738,0.24940623405477824,0.06628339184043286,0.018229931348811568,-0.05224227006695448,-0.06628339184043286,0.12634035170396674,BTC,GERHARD_SMA120,M1_1close
trend_agree_count,0-2,2,,,,,,,,,,,,,,BTC,GERHARD_SMA120,M1_1close
trend_agree_count,3-4,34,0.7058823529411765,0.042509717215261894,0.020063737171023843,0.024105760042824914,0.005050061019652497,0.04887607397770216,0.32064295263553844,1.0202332131662855,0.20063737171023843,0.08159100057013387,-0.045178678165966345,-0.06628339184043286,0.23107782470816596,BTC,GERHARD_SMA120,M1_1close
trend_agree_count,5-6,28,0.6785714285714286,0.03830041258451231,0.027798621622482984,0.01705429444654954,-0.007677686623946242,0.04474173667308562,0.42056017846537674,0.727707839105734,0.25018759460234685,0.049549508325244934,-0.057692294813896344,-0.13167120433374113,0.24233577151254437,BTC,GERHARD_SMA120,M1_1close
trend_agree_count,7-8,4,1.0,0.007014238716716414,,,,,,0.028056954866865658,-0.0,0.00356321375699676,-0.005135189393485661,-0.0068137085948941625,0.021986134573411364,BTC,GERHARD_SMA120,M1_1close
ret_z20,<0.5,51,0.9411764705882353,0.0045002202734804484,-0.0,0.004235501433863952,-0.0033144847288513845,0.013647329172026691,-0.0,0.2160105731270615,-0.0,0.021503914373033308,-0.03347329274113103,-0.08078537769806138,0.12797560457132917,BTC,LL3_k0.30,M1_1close
ret_z20,0.5-1,13,1.0,0.005732586687047783,,,-0.0029323637776868853,0.017754426664842768,,0.07452362693162118,-0.0,0.009220784124923656,-0.017210025793800664,-0.017585753985939978,0.0675878692323314,BTC,LL3_k0.30,M1_1close
ret_z20,1-1.5,5,1.0,0.021126370427514262,,,-0.002608893632375286,0.05320825467299306,,0.10563185213757131,-0.0,0.02266864511941711,-0.005217787264750572,-0.006522234080938215,0.07694359357322789,BTC,LL3_k0.30,M1_1close
ret_z20,1.5-2,5,1.0,-0.004739467182902168,,,-0.014696628386834071,0.0007084842046334305,,-0.023697335914510842,-0.0,-0.003132628281858518,-0.01990251433778658,-0.024878142922233226,0.0011808070077223842,BTC,LL3_k0.30,M1_1close
ret_z20,2-2.5,1,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
ret_z20,2.5-3,4,1.0,0.0,,,,,,0.0,-0.0,0.0,0.0,0.0,0.0,BTC,LL3_k0.30,M1_1close
ret_z20,>3,6,1.0,0.003980475496661751,,,-0.0027080588806221626,0.011281251010353101,,0.023882852979970504,-0.0,0.0030769707410702738,-0.006463779618208154,-0.007958518769771938,0.017861739853510472,BTC,LL3_k0.30,M1_1close
brk_vol,<0.5,85,0.9647058823529412,0.004833555722703825,-0.0,0.004662959638373102,-0.0008846184312957413,0.010657558669939464,-0.0,0.39635156926171367,-0.0,0.039456912148498474,-0.024412490734454395,-0.08078537769806138,0.12797560457132917,BTC,LL3_k0.30,M1_1close
brk_vol,0.5-1,0,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
brk_vol,1-1.5,0,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
brk_vol,1.5-2,0,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
brk_vol,2-2.5,0,,,,,,,,,,,,,,BTC,LL3_k0.30,M1_1close
