feature,bucket,n,confirmed_rate,confirmed_lo,confirmed_hi,reversed_early_rate,reversed_early_lo,reversed_early_hi,valid_3d_rate,valid_3d_lo,valid_3d_hi,valid_5d_rate,valid_5d_lo,valid_5d_hi,valid_10d_rate,valid_10d_lo,valid_10d_hi,valid_20d_rate,valid_20d_lo,valid_20d_hi,fwd_3d_mean,mae_3d_median,mfe_3d_median,excess_3d_mean,fwd_3d_median,win_3d,fwd_5d_mean,mae_5d_median,mfe_5d_median,excess_5d_mean,fwd_5d_median,win_5d,fwd_10d_mean,mae_10d_median,mfe_10d_median,excess_10d_mean,fwd_10d_median,win_10d,fwd_20d_mean,mae_20d_median,mfe_20d_median,excess_20d_mean,fwd_20d_median,win_20d,binning,system,asset
brk_atr,2-2.5,1,1.0,0.20654329147389294,1.0,0.0,0.0,0.7934567085261071,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,0.03649257479553514,-0.01023261392684982,0.19705090819133875,0.030230645571811713,0.03649257479553514,1.0,0.08586399994002858,-0.01023261392684982,0.19705090819133875,0.0760937616077493,0.08586399994002858,1.0,0.09223595733037471,-0.01023261392684982,0.19705090819133875,0.0754521418504562,0.09223595733037471,1.0,0.12498781831675376,-0.01023261392684982,0.19705090819133875,0.09870704062921223,0.12498781831675376,1.0,sigma,GERHARD_SMA120,ETH
brk_atr,2.5-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sigma,GERHARD_SMA120,ETH
brk_atr,>3,3,1.0,0.43849391955098227,1.0,0.0,0.0,0.5615060804490177,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,1.0,0.43849391955098227,1.0,-0.003210477857707857,-0.03830933139606352,0.13159951680522997,0.0016850161579404037,0.03258764826533311,0.6666666666666666,0.02459819723526831,-0.03830933139606352,0.13159951680522997,0.03328966247079164,0.0239109001477531,0.6666666666666666,0.0016274624123998234,-0.03830933139606352,0.14003766076884827,0.021207407281834706,0.02327728177719024,0.6666666666666666,-0.03947213911914801,-0.03830933139606352,0.14003766076884827,0.003926861813375889,0.012224464769999166,0.6666666666666666,sigma,GERHARD_SMA120,ETH
brk_vol,<0.5,39,0.358974358974359,0.22741884696491105,0.515821368153105,0.6410256410256411,0.484178631846895,0.772581153035089,0.46153846153846156,0.3156664723404835,0.6143081317826119,0.41025641025641024,0.27079089435400483,0.5658165152665509,0.5384615384615384,0.3856918682173881,0.6843335276595165,0.6153846153846154,0.45898781310078474,0.7510883745299295,-0.033408427175494325,-0.0456739471461326,0.032825442274261096,-0.03358018079942724,-0.01582017136368319,0.38461538461538464,-0.02457072964338359,-0.07081056466302371,0.037148520084566594,-0.02511827819238858,-0.01677587474590192,0.38461538461538464,-0.03036633419487889,-0.09792247341798266,0.04190476190476189,-0.032590026861153025,-0.02571428571428569,0.38461538461538464,-0.04115329894571575,-0.13437090684952624,0.06838190649666054,-0.047895749036401376,-0.002822201317027373,0.48717948717948717,sigma,GERHARD_SMA120,ETH
brk_vol,0.5-1,16,0.8125,0.5699064013154177,0.9340852122641324,0.1875,0.06591478773586765,0.4300935986845823,0.8125,0.5699064013154177,0.9340852122641324,0.875,0.6397666856325173,0.9650232506629428,0.8125,0.5699064013154177,0.9340852122641324,0.6875,0.4440393186673406,0.8583556494803894,0.035313830968006416,-0.020669454883400773,0.055850334049384054,0.03875172909395621,0.02925247293779809,0.75,0.0540375028406637,-0.0235560990088024,0.08386250566744952,0.05951069235743712,0.051559831998593875,0.8125,0.06870201679729658,-0.03241141393893349,0.1452415696983475,0.07937904183740399,0.06894170841010694,0.625,0.05308830024760274,-0.0461625314506775,0.195275734823126,0.07514710421916808,0.08032419805941587,0.6875,sigma,GERHARD_SMA120,ETH
brk_vol,1-1.5,9,0.6666666666666666,0.35419734749908977,0.879418401317257,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.5555555555555556,0.2666473457440297,0.811224570528086,0.7777777777777778,0.4525833436728054,0.9367762376877727,0.7777777777777778,0.4525833436728054,0.9367762376877727,0.7777777777777778,0.4525833436728054,0.9367762376877727,-0.03402954523877915,-0.04440448194771074,0.034586768550170954,-0.04848379716711999,-0.017148923350596035,0.3333333333333333,-0.0002833057969444787,-0.04440448194771074,0.05640230093305543,-0.024860299690908142,0.005797626596611982,0.5555555555555556,-0.013683164579769504,-0.11454229847791464,0.06157713561010958,-0.06564822477253532,0.01453020134228189,0.5555555555555556,0.009957671566950203,-0.15098907179416243,0.14552496887536304,-0.10200218519878267,0.037583892617449655,0.5555555555555556,sigma,GERHARD_SMA120,ETH
brk_vol,1.5-2,1,0.0,0.0,0.7934567085261071,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,1.0,0.20654329147389294,1.0,-0.014251574184713345,-0.055673777909053035,0.00972369533987627,-0.02051350340843677,-0.014251574184713345,0.0,-0.02719748130445865,-0.055673777909053035,0.00972369533987627,-0.036967719636737915,-0.02719748130445865,0.0,-0.0015506894190620013,-0.06727038384597805,0.03333646603923046,-0.01833450489898051,-0.0015506894190620013,0.0,0.051844044949854284,-0.06727038384597805,0.08824832512116865,0.025563267262312755,0.051844044949854284,1.0,sigma,GERHARD_SMA120,ETH
brk_vol,2-2.5,2,1.0,0.34237195288961925,1.0,0.0,0.0,0.6576280471103807,1.0,0.34237195288961925,1.0,1.0,0.34237195288961925,1.0,1.0,0.34237195288961925,1.0,0.5,0.09452865480086614,0.9054713451991339,-0.008612925635501756,-0.022819008138919072,0.03894654873179604,-0.014800067289493964,-0.008612925635501756,0.0,-0.022960742350773555,-0.04088910250282046,0.03894654873179604,-0.0327934043392474,-0.022960742350773555,0.0,0.026890946146058803,-0.05473009687911584,0.0735637879958928,0.00886717265528282,0.026890946146058803,1.0,-0.011278115573729763,-0.05473009687911584,0.08156607436342644,-0.04191207140194983,-0.011278115573729763,0.0,sigma,GERHARD_SMA120,ETH
brk_vol,2.5-3,2,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,0.0,0.0,0.6576280471103807,-0.0028021031307020605,-0.05447880731711002,0.035210523405656,0.0011490337923331824,-0.0028021031307020605,0.5,-0.022320612472419232,-0.05487721369161208,0.035210523405656,-0.016497572417327577,-0.022320612472419232,0.5,-0.03724987948312719,-0.09232741289479929,0.039267441552305105,-0.02752017753645106,-0.03724987948312719,0.5,-0.1649976374776166,-0.2788284142390641,0.039267441552305105,-0.14682675371836015,-0.1649976374776166,0.0,sigma,GERHARD_SMA120,ETH
brk_vol,>3,5,1.0,0.5655085052479191,1.0000000000000002,0.0,-2.7755575615628914e-17,0.43449149475208104,1.0,0.5655085052479191,1.0000000000000002,0.8,0.3755282641185388,0.9637768390302125,0.8,0.3755282641185388,0.9637768390302125,0.8,0.3755282641185388,0.9637768390302125,-0.026622411022884273,-0.03830933139606352,0.13159951680522997,-0.01565367573209298,0.03258764826533311,0.6,-0.020737479794576873,-0.03830933139606352,0.13159951680522997,-0.0017310831614888167,0.0239109001477531,0.6,-0.03361184594018181,-0.03830933139606352,0.14003766076884827,0.008691454648762613,0.02327728177719024,0.6,-0.059574707969853494,-0.03830933139606352,0.14003766076884827,0.0368190327539014,0.012224464769999166,0.6,sigma,GERHARD_SMA120,ETH
