asset,system,exposure,model,window,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew,Trades,Whipsaws,WhipsawsPerYr,TurnoverPerYr,Exposure,UpCapture,DownCapture,WorstMonth
BTC,LL2_k0.30,long_short,M1_1close,full,3675,0.33206302428748113,0.6761204103083158,0.7649661901028231,1.0227922369728546,-0.8305671848170667,0.3998027256044535,-0.3881785174509483,-0.07626450585402778,25,3,0.2979591836734694,4.7673469387755105,1.0,0.417780831873733,0.04886737823144465,-0.4682092003063164
BTC,LL2_k0.30,long_short,M1_1close,train_<=2021,1957,0.7073356334764866,0.7941462122802988,1.0759424327249296,1.4207934225566725,-0.8305671848170667,0.8516296410533942,-0.3881785174509483,-0.189740480593616,12,1,0.18650996423096577,4.103219213081247,1.0,0.5506323716664859,0.14400658428487237,-0.4682092003063164
BTC,LL2_k0.30,long_short,M1_1close,validation_2022-23,730,0.16688936088186046,0.5508054363775023,0.5536064647080587,0.8031302444978694,-0.47310293567065476,0.352754862206221,-0.14553439363372195,0.4313533752452462,6,1,0.5,5.0,1.0,-0.052744079437197895,-0.44596508411121977,-0.21283648404283206
BTC,LL2_k0.30,long_short,M1_1close,test_2024+,988,-0.10155671529290677,0.47571726711380774,0.012714418570383681,0.018069031772452723,-0.5651541151093911,-0.17969738267454619,-0.12351182687910213,0.06329801346202975,9,1,0.3694331983805668,5.910931174089069,1.0,0.1987720362504338,0.3368283381345863,-0.20675749812806488
BTC,LL2_k0.30,long_short,M2_2close,full,3675,0.2301498303196945,0.6764692168553261,0.6477178008303152,0.8552107667964896,-0.857301616330677,0.2684584117603267,-0.3881785174509483,-0.13322165286209628,25,3,0.2979591836734694,4.7673469387755105,1.0,0.3790450349943476,0.040988139760939936,-0.5828650977865418
BTC,LL2_k0.30,long_short,M2_2close,train_<=2021,1957,0.486054003510191,0.7947909475098294,0.9015038075203553,1.1775570293040274,-0.857301616330677,0.5669579926730373,-0.3881785174509483,-0.2349581061715999,12,1,0.18650996423096577,4.103219213081247,1.0,0.5194350323479118,0.18347419717733243,-0.5828650977865418
BTC,LL2_k0.30,long_short,M2_2close,validation_2022-23,730,0.1434051835571073,0.5508861993790758,0.5172922713043125,0.7297112766489808,-0.4229324517791013,0.339073492596421,-0.14553439363372195,0.3202128610655883,6,1,0.5,5.0,1.0,-0.14205449342760726,-0.5247230214444997,-0.17487950702470556
BTC,LL2_k0.30,long_short,M2_2close,test_2024+,988,-0.10700699662036794,0.47581298530371485,2.2155934883152288e-05,3.151975403072557e-05,-0.579907891290697,-0.18452412568865587,-0.12351182687910213,0.06452317148404185,9,1,0.3694331983805668,5.910931174089069,1.0,0.1655090890452684,0.28183091471161886,-0.22020112438808503
BTC,LL2_k0.30,long_short,M3_linear,full,3675,0.27929056978344224,0.6702915658820208,0.7055937108949438,0.9381517261313225,-0.8519241730349134,0.3278350099968303,-0.3881785174509483,-0.09892320657438622,25,3,0.2979591836734694,4.7673469387755105,0.9912925170068028,0.39038991555239916,0.0349042962632064,-0.5097428305734437
BTC,LL2_k0.30,long_short,M3_linear,train_<=2021,1957,0.5811759832911483,0.7873038432213005,0.9809909851039679,1.2902822655152144,-0.8519241730349134,0.6821921500604381,-0.3881785174509483,-0.2079484171959259,12,1,0.18650996423096577,4.103219213081247,0.9925055356838699,0.529930232681095,0.16876555163749996,-0.5097428305734437
BTC,LL2_k0.30,long_short,M3_linear,validation_2022-23,730,0.1546110633157256,0.5442646816258945,0.5344877857512098,0.7656114238480933,-0.41913754086010724,0.36887906294065204,-0.14553439363372195,0.39898301936824615,6,1,0.5,5.0,0.9908675799086757,-0.12743452289865145,-0.5151457075021678,-0.16618163635210104
BTC,LL2_k0.30,long_short,M3_linear,test_2024+,988,-0.09297153916794076,0.47341664252681503,0.030529396729403146,0.043289787970170336,-0.5660572613783061,-0.16424405358136768,-0.12351182687910213,0.0693039066214407,9,1,0.3694331983805668,5.910931174089069,0.9892037786774628,0.1780554468614899,0.28134457808829255,-0.20865952204104143
ETH,GERHARD_SMA120,long_flat,M0_3close,full,3619,1.0482900633616996,0.727333066106592,1.3482438028731898,1.4825932087694176,-0.6608036765873622,1.586386547931244,-0.4332254252093932,0.7136991229372195,21,9,0.9077093119646311,4.135120198949986,0.5446255871787786,0.7396376598036272,0.4242290700152553,-0.4386460356173213
ETH,GERHARD_SMA120,long_flat,M0_3close,train_<=2021,1901,2.812656021029709,0.9187273004634148,1.9159534087864802,2.3033011804822685,-0.6146994096482343,4.575660846395264,-0.4332254252093932,0.5566683879615489,7,1,0.19200420831141507,2.688058916359811,0.6301946344029458,0.8432757535497356,0.4708947267969913,-0.4386460356173213
ETH,GERHARD_SMA120,long_flat,M0_3close,validation_2022-23,730,-0.10217371719647628,0.41007452349423407,-0.05567004213175408,-0.04711276659371981,-0.5691612456743318,-0.17951629344584544,-0.1756417462994191,-0.4199396286994597,7,4,2.0,6.5,0.4232876712328767,0.26888244960277846,0.347506744650012,-0.1770335544011139
ETH,GERHARD_SMA120,long_flat,M0_3close,test_2024+,988,0.13989264091196008,0.42815076848661476,0.5184791456994168,0.568186159813345,-0.43929100367283047,0.31845095788974437,-0.12234322450753843,0.5083717627891456,8,4,1.4777327935222673,5.172064777327935,0.46963562753036436,0.4869708312989762,0.3784350342970553,-0.17393594259192202
ETH,GERHARD_SMA120,long_flat,M1_1close,full,3619,0.8125971318176419,0.7088681669042435,1.1936388552913584,1.2975824976196455,-0.70731732069428,1.1488438188110857,-0.4332254252093932,0.5500193766587254,54,38,3.8325504282951095,10.791655153357281,0.5418623929262227,0.7387995764229269,0.5133942708448681,-0.4929377387142796
ETH,GERHARD_SMA120,long_flat,M1_1close,train_<=2021,1901,1.9318385071954065,0.8961237248873231,1.6498060319191803,1.9497214961791274,-0.6923813122088076,2.7901366965444683,-0.4332254252093932,0.41924246016142586,24,16,3.072067332982641,9.216201998947923,0.6286165176223041,0.8197807855100047,0.603137073462843,-0.4929377387142796
ETH,GERHARD_SMA120,long_flat,M1_1close,validation_2022-23,730,-0.1263150121761455,0.3834072996811136,-0.1581450888192794,-0.13643403397605375,-0.5558397404085945,-0.22725077570612723,-0.14925972684494426,-0.7421324945332547,14,11,5.5,13.5,0.42191780821917807,0.32467257737710664,0.41948778667491676,-0.23145896013335743
