asset,system,exposure,model,oos_start,oos_end,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew
ETH,LL2_k0.30,long_flat,M4_strength,2019-01-01,2026-09-14,2814,0.2821763976938976,0.6249467841453449,0.7185164479695599,0.7089088370033764,-0.7955098978602243,0.3547113599125546,-0.4332254252093932,-0.5768186019482793
ETH,LL2_k0.30,long_flat,M5_override,2019-01-01,2026-09-14,2814,0.2644978395042912,0.6249761059675032,0.6962776640294495,0.6882464349996982,-0.7955098978602243,0.33248843316185234,-0.4332254252093932,-0.5743679614471779
ETH,LL2_k0.30,long_flat,M6_probability,2019-01-01,2026-09-14,2814,0.2821763976938976,0.6249467841453449,0.7185164479695599,0.7089088370033764,-0.7955098978602243,0.3547113599125546,-0.4332254252093932,-0.5768186019482793
ETH,LL2_k0.30,long_short,M0_3close,2019-01-01,2026-09-14,2814,-0.2152317903293478,0.8121126729612543,0.1176041786554897,0.15208806891631485,-0.9770199661583364,-0.2202941575243788,-0.4342345952093932,-0.4807267450548883
ETH,LL2_k0.30,long_short,M1_1close,2019-01-01,2026-09-14,2814,-0.22010694856146718,0.8120930638646436,0.11007304550034612,0.14208509263822416,-0.9694147076513839,-0.2270513814409972,-0.4342345952093932,-0.4931964958004591
ETH,LL2_k0.30,long_short,M2_2close,2019-01-01,2026-09-14,2814,-0.2104145839622299,0.81207026173494,0.12510607158398868,0.16167783934749477,-0.9762876532588896,-0.21552519204750475,-0.4342345952093932,-0.4819856501595733
ETH,LL2_k0.30,long_short,M3_linear,2019-01-01,2026-09-14,2814,-0.2115836660368542,0.8063357787403718,0.11843314082142573,0.15242795545055962,-0.9739515332878432,-0.21724250006835033,-0.4342345952093932,-0.4964885609032476
ETH,LL2_k0.30,long_short,M4_strength,2019-01-01,2026-09-14,2814,-0.2152317903293478,0.8121126729612543,0.1176041786554897,0.15208806891631485,-0.9770199661583364,-0.2202941575243788,-0.4342345952093932,-0.4807267450548883
ETH,LL2_k0.30,long_short,M5_override,2019-01-01,2026-09-14,2814,-0.23520193773906672,0.8121414261930275,0.08589072940291928,0.1112281204410216,-0.9795010656330387,-0.24012422853982174,-0.4342345952093932,-0.47639963698920246
ETH,LL2_k0.30,long_short,M6_probability,2019-01-01,2026-09-14,2814,-0.2152317903293478,0.8121126729612543,0.1176041786554897,0.15208806891631485,-0.9770199661583364,-0.2202941575243788,-0.4342345952093932,-0.4807267450548883
SOL,GERHARD_SMA120,long_flat,M0_3close,2023-01-01,2026-09-14,1353,0.3043136956485395,0.646635812453798,0.7277745281039667,1.0062044215534511,-0.6921829343540439,0.43964345340661987,-0.1457268244129757,1.022350947852599
SOL,GERHARD_SMA120,long_flat,M1_1close,2023-01-01,2026-09-14,1353,0.3204846845008298,0.6477681677003455,0.7466791689988829,1.0219616700450962,-0.6397356402174748,0.500964248907381,-0.1457268244129757,1.01488834966126
SOL,GERHARD_SMA120,long_flat,M2_2close,2023-01-01,2026-09-14,1353,0.39832564110682944,0.6485595644200975,0.8348728895448376,1.158178870461131,-0.6428311756367675,0.61964269345254,-0.1457268244129757,1.0134176824080778
SOL,GERHARD_SMA120,long_flat,M3_linear,2023-01-01,2026-09-14,1353,0.33634646097611154,0.6421166224006586,0.7663064446033268,1.0555489756616636,-0.6652019743358532,0.5056305813161852,-0.1457268244129757,1.0222566113742328
SOL,GERHARD_SMA120,long_flat,M4_strength,2023-01-01,2026-09-14,1353,0.3992930929375207,0.6477918289026483,0.8361870447436658,1.154896640603548,-0.6521649528251048,0.6122578209819896,-0.1457268244129757,1.013827195741044
SOL,GERHARD_SMA120,long_flat,M5_override,2023-01-01,2026-09-14,1353,0.37113899497874225,0.6499948180222135,0.804278524503721,1.1194373868609224,-0.6449721730285038,0.5754341202598522,-0.1457268244129757,1.0021064483123463
SOL,GERHARD_SMA120,long_flat,M6_probability,2023-01-01,2026-09-14,1353,0.3362552580024767,0.6475157406774229,0.7650398375598897,1.0597013087311247,-0.6921829343540439,0.48578958150171014,-0.1457268244129757,1.0174993214351025
SOL,GERHARD_SMA120,long_short,M0_3close,2023-01-01,2026-09-14,1353,-0.38061999997693896,0.8577721179330638,-0.12584871585927393,-0.18623690210340185,-0.9248341274455214,-0.4115548817691742,-0.32465959202185796,-0.015780100792342083
SOL,GERHARD_SMA120,long_short,M1_1close,2023-01-01,2026-09-14,1353,-0.3679610898620934,0.8577318872230459,-0.102276920770601,-0.15089750020015733,-0.9036676161009981,-0.4071863186264366,-0.32465959202185796,-0.022380781764269022
SOL,GERHARD_SMA120,long_short,M2_2close,2023-01-01,2026-09-14,1353,-0.28775201354220903,0.8575837603759173,0.03662309415741338,0.054162475166698844,-0.8985770285607511,-0.3202307697572693,-0.32465959202185796,-0.025355013634421646
SOL,GERHARD_SMA120,long_short,M3_linear,2023-01-01,2026-09-14,1353,-0.34625164164307287,0.841635585171823,-0.08046383632953727,-0.11688566791315849,-0.9103831005735711,-0.3803361919008855,-0.32465959202185796,-0.022653196966490933
SOL,GERHARD_SMA120,long_short,M4_strength,2023-01-01,2026-09-14,1353,-0.28639664753263494,0.8569594528080018,0.03828822473977322,0.056420850684281265,-0.9038067455254436,-0.31687819210304,-0.32465959202185796,-0.029115352163735436
SOL,GERHARD_SMA120,long_short,M5_override,2023-01-01,2026-09-14,1353,-0.3137639972996661,0.8578458703703922,-0.0063909359950440345,-0.009429277587640783,-0.8996767155167882,-0.348751937099356,-0.32465959202185796,-0.026753514323575256
SOL,GERHARD_SMA120,long_short,M6_probability,2023-01-01,2026-09-14,1353,-0.3512407001618636,0.8571721093410825,-0.07253933071307736,-0.10721863109971941,-0.9248341274455214,-0.37978778003361896,-0.32465959202185796,-0.020051845486208857
SOL,LL3_k0.30,long_flat,M0_3close,2024-01-01,2026-09-14,988,-0.12228032154910284,0.49812102305966255,-0.013229466930432513,-0.013373438773935167,-0.709850310629495,-0.17226212303924288,-0.1457268244129757,0.23507578549755823
SOL,LL3_k0.30,long_flat,M1_1close,2024-01-01,2026-09-14,988,-0.12416779892124508,0.4950318121115686,-0.020519151692160773,-0.020497497386128476,-0.7325129510966873,-0.16950935643574125,-0.1457268244129757,0.17998155381471698
SOL,LL3_k0.30,long_flat,M2_2close,2024-01-01,2026-09-14,988,-0.16939466570727413,0.4936670204780593,-0.129159619031261,-0.12855053487832815,-0.747859158795469,-0.22650610574871843,-0.1457268244129757,0.15734290377781143
SOL,LL3_k0.30,long_flat,M3_linear,2024-01-01,2026-09-14,988,-0.1371095826003328,0.4913424225225839,-0.05462025714773064,-0.054786433336227555,-0.7291385556502372,-0.18804324848527598,-0.1457268244129757,0.1747469575236733
SOL,LL3_k0.30,long_flat,M4_strength,2024-01-01,2026-09-14,988,-0.12228032154910284,0.49812102305966255,-0.013229466930432513,-0.013373438773935167,-0.709850310629495,-0.17226212303924288,-0.1457268244129757,0.23507578549755823
SOL,LL3_k0.30,long_flat,M5_override,2024-01-01,2026-09-14,988,-0.1144447319708185,0.49658308228711046,0.0030678338604338547,0.0030875333246613455,-0.7027854246501798,-0.1628444870321333,-0.1457268244129757,0.23901774971419226
SOL,LL3_k0.30,long_flat,M6_probability,2024-01-01,2026-09-14,988,-0.12228032154910284,0.49812102305966255,-0.013229466930432513,-0.013373438773935167,-0.709850310629495,-0.17226212303924288,-0.1457268244129757,0.23507578549755823
SOL,LL3_k0.30,long_short,M0_3close,2024-01-01,2026-09-14,988,-0.27504507196683703,0.689548605327118,-0.11996324441633764,-0.15162811012722066,-0.826991540299538,-0.3325851094767126,-0.24442301588222606,-0.005571758119423129
SOL,LL3_k0.30,long_short,M1_1close,2024-01-01,2026-09-14,988,-0.252281459532406,0.6889286740333974,-0.0756852730704177,-0.0953468050091869,-0.8448611628504239,-0.29860700269527063,-0.24442301588222606,-0.030875279587003958
SOL,LL3_k0.30,long_short,M2_2close,2024-01-01,2026-09-14,988,-0.30230411888889874,0.6865665153842723,-0.17901416650742522,-0.22478575737214146,-0.8600336704738727,-0.3515026553813076,-0.24442301588222606,-0.030808564272441226
SOL,LL3_k0.30,long_short,M3_linear,2024-01-01,2026-09-14,988,-0.2747215387296964,0.6840553746220286,-0.12560957293304928,-0.15874435411974497,-0.843528960454867,-0.325681217372258,-0.24442301588222606,-0.02975182737263237
SOL,LL3_k0.30,long_short,M4_strength,2024-01-01,2026-09-14,988,-0.27504507196683703,0.689548605327118,-0.11996324441633764,-0.15162811012722066,-0.826991540299538,-0.3325851094767126,-0.24442301588222606,-0.005571758119423129
SOL,LL3_k0.30,long_short,M5_override,2024-01-01,2026-09-14,988,-0.27504507196683703,0.689548605327118,-0.11996324441633764,-0.15162811012722066,-0.826991540299538,-0.3325851094767126,-0.24442301588222606,-0.005571758119423129
SOL,LL3_k0.30,long_short,M6_probability,2024-01-01,2026-09-14,988,-0.27504507196683703,0.689548605327118,-0.11996324441633764,-0.15162811012722066,-0.826991540299538,-0.3325851094767126,-0.24442301588222606,-0.005571758119423129
SOL,LL2_k0.30,long_flat,M0_3close,2024-01-01,2026-09-14,988,-0.015121994999282129,0.5997918466397016,0.27197496720424763,0.3486222959917766,-0.6134906682158158,-0.02464910353609888,-0.1457268244129757,0.4928387248558582
SOL,LL2_k0.30,long_flat,M1_1close,2024-01-01,2026-09-14,988,-0.048743502345788614,0.5997398959417497,0.21409412930551044,0.27323974825131864,-0.6519666301469654,-0.07476379939077697,-0.1457268244129757,0.4887500893165891
SOL,LL2_k0.30,long_flat,M2_2close,2024-01-01,2026-09-14,988,-0.030848029944568034,0.60063848642282,0.2456832033095445,0.31404624646083884,-0.6375688984395562,-0.04838383744889108,-0.1457268244129757,0.4863473068262836
SOL,LL2_k0.30,long_flat,M3_linear,2024-01-01,2026-09-14,988,-0.030817374692564514,0.5986130842984343,0.24450749739029004,0.31323753621331624,-0.6340617042717549,-0.04860311620295614,-0.1457268244129757,0.49620409488505635
SOL,LL2_k0.30,long_flat,M4_strength,2024-01-01,2026-09-14,988,-0.015121994999282129,0.5997918466397016,0.27197496720424763,0.3486222959917766,-0.6134906682158158,-0.02464910353609888,-0.1457268244129757,0.4928387248558582
SOL,LL2_k0.30,long_flat,M5_override,2024-01-01,2026-09-14,988,-0.016794135231317342,0.5987814050231038,0.26859896165916974,0.34304841107943035,-0.6152643873190953,-0.02729580254838865,-0.1457268244129757,0.49355023200798226
