feature,threshold,window,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew,Trades,Whipsaws,WhipsawsPerYr,TurnoverPerYr,Exposure,UpCapture,DownCapture,WorstMonth,M0_sharpe,asset,system,exposure
brk_vol,2.5,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
brk_vol,2.75,full,1737,0.19657349388449163,0.5838075964207075,0.5939471421507281,0.7237374086642424,-0.6921829343540438,0.2839906679697863,-0.1457268244129757,1.0753236348805928,16,9,1.8911917098445596,6.303972366148532,0.4392630972941854,0.5366892640605654,0.3991293176299503,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
brk_vol,2.75,validation_2022-23,730,0.6995251395880551,0.5893432221788512,1.184574685993763,1.4309448078525833,-0.4108336877578813,1.7026966396200442,-0.11838140335772707,1.9343592969457233,4,1,0.5,3.5,0.3506849315068493,0.47487432222952974,0.18181007087690973,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
brk_vol,2.75,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
brk_vol,3.0,full,1737,0.19657349388449163,0.5838075964207075,0.5939471421507281,0.7237374086642424,-0.6921829343540438,0.2839906679697863,-0.1457268244129757,1.0753236348805928,16,9,1.8911917098445596,6.303972366148532,0.4392630972941854,0.5366892640605654,0.3991293176299503,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
brk_vol,3.0,validation_2022-23,730,0.6995251395880551,0.5893432221788512,1.184574685993763,1.4309448078525833,-0.4108336877578813,1.7026966396200442,-0.11838140335772707,1.9343592969457233,4,1,0.5,3.5,0.3506849315068493,0.47487432222952974,0.18181007087690973,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
brk_vol,3.0,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
range_breakout_20,0.5,full,1737,0.17865063309646434,0.5901610689462531,0.5683292333158472,0.6919361277623443,-0.6930891706546157,0.257759954505898,-0.1457268244129757,1.0394262711595659,19,13,2.731721358664364,7.564766839378239,0.4438687392055268,0.5627745443647598,0.4343752018002039,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
range_breakout_20,0.5,validation_2022-23,730,0.6608393119996703,0.6033865401613561,1.1327861111117863,1.3567844747791784,-0.4946855103540536,1.3358776397689474,-0.11838140335772707,1.7905469720828107,5,2,1.0,4.5,0.36027397260273974,0.5037803536749768,0.2159632002688718,-0.18425453258041358,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,0.5,test_2024+,988,-0.08113728754004801,0.5720178750035041,0.1360164471015164,0.16682843703017386,-0.6930891706546156,-0.1170661597026753,-0.1457268244129757,0.4678444000013058,14,10,3.694331983805668,9.605263157894736,0.4959514170040486,0.6433528897722085,0.7091335548793322,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
