asset,system,dimension,level,n,p_confirm,p_valid_10d,fwd_10d_mean,incr_m1_mean,incr_m1_sum
ETH,LL3_k0.30,bull_env,bear,26,1.0,0.8461538461538461,0.04055842535877206,0.0022079693156497604,0.05740720220689377
ETH,LL3_k0.30,bull_env,bull,48,0.9583333333333334,0.75,-0.005621050436840499,-0.016134226620453832,-0.7744428777817839
ETH,LL3_k0.30,liquidity_regime,high,42,1.0,0.7619047619047619,0.004735483134577054,-0.011396158852699964,-0.4786386718133985
ETH,LL3_k0.30,liquidity_regime,low,32,0.9375,0.8125,0.018306823334609167,-0.007449906367546614,-0.23839700376149164
ETH,LL3_k0.30,weekend,0,54,0.9814814814814815,0.7962962962962963,-0.0056980890945831815,-0.012024034264930051,-0.6492978503062228
ETH,LL3_k0.30,weekend,1,20,0.95,0.75,0.05462027247336108,-0.003386891263433367,-0.06773782526866734
ETH,LL3_k0.30,macro_risk_on,0.0,18,1.0,0.7777777777777778,0.022124481076101394,-0.006631709088046988,-0.11937076358484577
ETH,LL3_k0.30,macro_risk_on,1.0,52,0.9615384615384616,0.7692307692307693,0.007695200982978466,-0.00795123653421775,-0.413464299779323
ETH,LL2_k0.30,vol_regime,low,14,1.0,0.7857142857142857,0.019960428024057713,0.0007166317232221799,0.010032844125110518
ETH,LL2_k0.30,vol_regime,mid,10,0.8,0.7,-0.03143501462414035,-0.06817760249410276,-0.6817760249410276
ETH,LL2_k0.30,bull_env,bear,10,1.0,0.9,0.02224656050182766,-0.007726359789866433,-0.07726359789866433
ETH,LL2_k0.30,bull_env,bull,17,0.8823529411764706,0.7058823529411765,-0.031193975919238507,-0.039208079095849106,-0.6665373446294348
ETH,LL2_k0.30,liquidity_regime,high,14,1.0,0.7142857142857143,-0.028245792674602754,0.00595932737942909,0.08343058331200726
ETH,LL2_k0.30,liquidity_regime,low,13,0.8461538461538461,0.8461538461538461,0.006739162448896966,-0.0636331942953928,-0.8272315258401064
ETH,LL2_k0.30,weekend,0,21,0.9523809523809523,0.7619047619047619,-0.01688078301745484,-0.022482307648599376,-0.4721284606205869
ETH,LL2_k0.30,weekend,1,6,0.8333333333333334,0.8333333333333334,0.007777409626295602,-0.04527874698458537,-0.27167248190751225
ETH,LL2_k0.30,macro_risk_on,0.0,6,1.0,1.0,0.08336681962722452,0.0029435572741317215,0.017661343644790328
ETH,LL2_k0.30,macro_risk_on,1.0,20,0.9,0.7,-0.040540662777503386,-0.03691138130764317,-0.7382276261528633
SOL,GERHARD_SMA120,vol_regime,low,29,0.5517241379310345,0.5172413793103449,-0.02918489146686465,0.0011728794170648026,0.03401350309487927
SOL,GERHARD_SMA120,vol_regime,mid,14,0.7142857142857143,0.7142857142857143,0.0028339620348604316,0.0017774500108100571,0.0248843001513408
SOL,GERHARD_SMA120,bull_env,bear,24,0.5416666666666666,0.5416666666666666,-0.05080219929060009,-0.00935354978956845,-0.2244851949496428
SOL,GERHARD_SMA120,bull_env,bull,26,0.6538461538461539,0.5769230769230769,-0.001314309002949146,0.008373335087855208,0.21770671228423544
SOL,GERHARD_SMA120,liquidity_regime,high,29,0.6551724137931034,0.5862068965517241,-0.0011521312911906432,0.009766899528647498,0.28324008633077746
SOL,GERHARD_SMA120,liquidity_regime,low,21,0.5238095238095238,0.5238095238095238,-0.05809585760031197,-0.013810408047437373,-0.29001856899618483
SOL,GERHARD_SMA120,weekend,0,37,0.6216216216216216,0.5405405405405406,-0.00813631781903253,0.00943256042732896,0.34900473581117153
SOL,GERHARD_SMA120,weekend,1,13,0.5384615384615384,0.6153846153846154,-0.07326008136514434,-0.02736793988281376,-0.3557832184765789
SOL,GERHARD_SMA120,macro_risk_on,0.0,14,0.5,0.6428571428571429,-0.02075192230406805,-0.009889193171510031,-0.13844870440114043
SOL,GERHARD_SMA120,macro_risk_on,1.0,36,0.6388888888888888,0.5277777777777778,-0.026747164022059084,0.0036575061593259184,0.13167022173573306
SOL,LL3_k0.30,vol_regime,low,25,1.0,0.92,-0.032041899290683885,0.003305885445714236,0.0826471361428559
SOL,LL3_k0.30,vol_regime,mid,11,1.0,0.9090909090909091,-0.019575894012077214,0.003093017102433603,0.03402318812676963
SOL,LL3_k0.30,bull_env,bear,21,1.0,0.8571428571428571,-0.005872603343847104,0.005783340603931502,0.12145015268256154
SOL,LL3_k0.30,bull_env,bull,20,1.0,0.95,-0.035758066701560655,0.0004005990826498884,0.008011981652997768
SOL,LL3_k0.30,liquidity_regime,high,21,1.0,0.9523809523809523,-0.0349596644470379,-0.001081223462814373,-0.022705692719101833
