feature,bucket,n,confirmed_rate,confirmed_lo,confirmed_hi,reversed_early_rate,reversed_early_lo,reversed_early_hi,valid_3d_rate,valid_3d_lo,valid_3d_hi,valid_5d_rate,valid_5d_lo,valid_5d_hi,valid_10d_rate,valid_10d_lo,valid_10d_hi,valid_20d_rate,valid_20d_lo,valid_20d_hi,fwd_3d_mean,mae_3d_median,mfe_3d_median,excess_3d_mean,fwd_3d_median,win_3d,fwd_5d_mean,mae_5d_median,mfe_5d_median,excess_5d_mean,fwd_5d_median,win_5d,fwd_10d_mean,mae_10d_median,mfe_10d_median,excess_10d_mean,fwd_10d_median,win_10d,fwd_20d_mean,mae_20d_median,mfe_20d_median,excess_20d_mean,fwd_20d_median,win_20d,binning,system
trend_agree_count,7-8,54,1.0,0.9335841332189981,1.0,0.0,6.938893903907228e-18,0.06641586678100189,1.0,0.9335841332189981,1.0,0.9629629629629629,0.8746459065659669,0.9897838464145869,0.9074074074074074,0.8008987246934547,0.9597994579294327,0.8148148148148148,0.6916379770862061,0.8961742549405703,0.01680341438266429,-0.035692573194720356,0.04003950503865217,0.008205456267203402,0.005950659466372521,0.5555555555555556,0.031381496579165793,-0.04223250724364247,0.058489662707641776,0.01702712646583962,0.02415312790385099,0.6481481481481481,0.034142839273718875,-0.05552933336286886,0.09906383719185968,0.005263998897218935,0.005998265053260066,0.5370370370370371,0.044037276117485154,-0.07383025685771072,0.13402688564853638,-0.013860804856419693,0.030819406593308007,0.5925925925925926,count,LL3_k0.30
spot_vol_z,Q1,32,1.0,0.8928172849426366,1.0,0.0,0.0,0.1071827150573635,1.0,0.8928172849426366,1.0,0.9375,0.7985253275199642,0.9826897968048427,0.8125,0.6469050424507756,0.9111057606383721,0.71875,0.546251630618882,0.8443559315435214,0.011907381115155973,-0.027807082472266653,0.03818961746344085,0.014241194459802743,0.006275396785094534,0.53125,0.02553980099473924,-0.03722258440626858,0.06358026615726087,0.029561192664437547,0.02713561482983734,0.625,0.016394457982196124,-0.05085614650339226,0.10279768551649648,0.024713951743634114,0.00792298366312244,0.53125,0.0025108042880868826,-0.09949757025853234,0.11880404190968075,0.019629706895094176,-0.020845754201855637,0.375,"quintile(full-sample, descriptive)",LL3_k0.30
spot_vol_z,Q2,31,1.0,0.889740999265246,0.9999999999999999,0.0,-1.3877787807814457e-17,0.11025900073475385,1.0,0.889740999265246,0.9999999999999999,1.0,0.889740999265246,0.9999999999999999,0.8709677419354839,0.7114724304561464,0.9486579883535524,0.5161290322580645,0.34840118286973176,0.6803001396872117,0.012916212755790808,-0.0184296574289321,0.04357162231397482,0.012657657598884257,0.003643138557934189,0.5483870967741935,0.00890025357664102,-0.03573494616728046,0.05544588770682013,0.008376571953721643,0.003744613834799182,0.5161290322580645,0.020930978128596667,-0.042217252829165774,0.07535245503159949,0.019447392305839837,0.01693217441179562,0.6451612903225806,0.03523127526475496,-0.05793605387736589,0.13036393264530144,0.03160409572437296,0.030348693529429482,0.6451612903225806,"quintile(full-sample, descriptive)",LL3_k0.30
spot_vol_z,Q3,31,0.967741935483871,0.8380554282383037,0.9942829259130554,0.03225806451612903,0.00571707408694444,0.16194457176169622,0.9354838709677419,0.7928101168125354,0.9821255922249368,0.9354838709677419,0.7928101168125354,0.9821255922249368,0.8387096774193549,0.6736529727502113,0.9290748009456006,0.6129032258064516,0.4382380114113197,0.7626712464872843,-0.00010023290456097032,-0.02576192291486934,0.029378992775355828,-0.0015471394858936468,0.005755437985428324,0.5483870967741935,-0.009932800142808016,-0.04319749216300928,0.04678105294031376,-0.01248845854453619,-0.0018900281622644677,0.45161290322580644,-0.012164811140329594,-0.08083320600243771,0.04678105294031376,-0.01778939839053796,-0.005429093974271715,0.4838709677419355,0.010881012246717938,-0.08228841630078243,0.12656545953128084,-0.000726637792964428,0.007187939435560398,0.5806451612903226,"quintile(full-sample, descriptive)",LL3_k0.30
spot_vol_z,Q4,31,1.0,0.889740999265246,0.9999999999999999,0.0,-1.3877787807814457e-17,0.11025900073475385,1.0,0.889740999265246,0.9999999999999999,0.967741935483871,0.8380554282383037,0.9942829259130554,0.7741935483870968,0.6018723994130262,0.8860500840550121,0.6129032258064516,0.4382380114113197,0.7626712464872843,0.01458306350560322,-0.023354771018322396,0.0495218844748504,0.01319022300139503,0.009873873896769858,0.5483870967741935,0.014211406899414265,-0.041584749551793365,0.05456277908676688,0.011905965534953747,-0.0005292412154953574,0.4838709677419355,0.03397154160567615,-0.0515933232169955,0.07312586233328222,0.029285048702005236,0.009935351401215597,0.5161290322580645,0.014128629254729998,-0.07484042275786573,0.11148988481923794,0.005567905661415553,0.010092532816871058,0.5483870967741935,"quintile(full-sample, descriptive)",LL3_k0.30
spot_vol_z,Q5,31,1.0,0.889740999265246,0.9999999999999999,0.0,-1.3877787807814457e-17,0.11025900073475385,1.0,0.889740999265246,0.9999999999999999,0.8709677419354839,0.7114724304561464,0.9486579883535524,0.7419354838709677,0.5675352757228489,0.8629845626313024,0.6451612903225806,0.469476380428149,0.7888355225843418,0.00976173592220383,-0.049781762415949005,0.062005086221179506,0.006604052463734543,0.0061458809473167175,0.5483870967741935,0.010382093912515558,-0.049781762415949005,0.08609079831665079,0.005204144142818501,0.03858865231853348,0.6129032258064516,0.006486953826170135,-0.06797538822150595,0.09980806142034548,-0.003888748625492024,0.01795357620238669,0.6129032258064516,0.04144469026563953,-0.08882859502182383,0.18734470601086506,0.022104627339942475,0.06601005867560761,0.7096774193548387,"quintile(full-sample, descriptive)",LL3_k0.30
perp_vol_z,Q1,31,1.0,0.889740999265246,0.9999999999999999,0.0,-1.3877787807814457e-17,0.11025900073475385,1.0,0.889740999265246,0.9999999999999999,0.9354838709677419,0.7928101168125354,0.9821255922249368,0.7741935483870968,0.6018723994130262,0.8860500840550121,0.6451612903225806,0.469476380428149,0.7888355225843418,0.011605953389391568,-0.02767500452258953,0.03588123847529423,0.0142960080006834,0.003643138557934189,0.5806451612903226,0.0158512494490371,-0.03886773475105976,0.056102113931266295,0.02042981379421606,0.01934898181990785,0.6129032258064516,-0.0016535594715870595,-0.055853880854305316,0.06290644135377599,0.007648703530796191,-0.0080993479168181,0.45161290322580644,-0.009233342465058277,-0.08457683260541415,0.10089793315976836,0.010245134102724414,-0.018867924528301883,0.3870967741935484,"quintile(full-sample, descriptive)",LL3_k0.30
perp_vol_z,Q2,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.03333333333333333,0.0059084379948573795,0.16670751396958874,0.9333333333333333,0.7867618227892791,0.9815233646723066,0.9333333333333333,0.7867618227892791,0.9815233646723066,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.5,0.33153851227173764,0.6684614877282624,0.00012547746936171223,-0.034925067689784206,0.03264696584725807,0.0017596062793611826,-0.004494007480161821,0.4,-0.00938339171394514,-0.04617010738745758,0.04287426000342831,-0.006604077484311427,-0.011709768777101504,0.36666666666666664,0.008010952117443963,-0.06107079473270177,0.06950922491067857,0.013793634821245132,0.008822429454336034,0.6,0.021345849272657702,-0.07078950152145352,0.13277307892035706,0.03172947264595443,0.027098484450610805,0.6,"quintile(full-sample, descriptive)",LL3_k0.30
perp_vol_z,Q3,30,1.0,0.8864829086095221,1.0,0.0,-1.3877787807814457e-17,0.113517091390478,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,0.9,0.7437855868473339,0.9654007400402839,0.6666666666666666,0.48779725813830266,0.807697044731538,0.01297845478472995,-0.023606321066880653,0.037400522957579896,0.008969782071234176,0.009874534644503385,0.6666666666666666,0.025253857809191916,-0.025496791850182166,0.058489662707641776,0.018321583331761104,0.01702295979560553,0.6666666666666666,0.03015094597394915,-0.04435831092898962,0.06413465392600903,0.015535706785057606,0.008138709996841076,0.5666666666666667,0.05178259561771321,-0.06439264826434776,0.1367692218789106,0.02197490086531089,0.01815740637995794,0.5666666666666667,"quintile(full-sample, descriptive)",LL3_k0.30
perp_vol_z,Q4,30,1.0,0.8864829086095221,1.0,0.0,-1.3877787807814457e-17,0.113517091390478,1.0,0.8864829086095221,1.0,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.8,0.6269395261897256,0.9049502189759876,0.6666666666666666,0.48779725813830266,0.807697044731538,0.01667763259008155,-0.023573356598566964,0.04981848965540098,0.015084954354703054,0.0002347229080361668,0.5333333333333333,0.016343575625708904,-0.04161612662831632,0.0550043333967935,0.01371701965792001,-0.004818835870152749,0.4666666666666667,0.03133596123871648,-0.044105488185446684,0.07930758303290059,0.02600076860858002,0.015398714588645002,0.5666666666666667,0.030581132887445506,-0.06123758485870523,0.11979380176124516,0.02133135327942832,0.032993620019096226,0.6666666666666666,"quintile(full-sample, descriptive)",LL3_k0.30
