asset,model,left_out,kind,dSharpe
ETH,M5_brk0.5_up,2023-2024Q1,cycle,0.055023060534026724
ETH,M5_brk0.5_up,2024Q2+,cycle,0.016289912361086678
ETH,FAST_down,2019,year,-0.11245892226464782
ETH,FAST_down,2020,year,-0.1436625535499132
ETH,FAST_down,2021,year,-0.1377837442815678
ETH,FAST_down,2022,year,-0.14868854511556862
ETH,FAST_down,2023,year,-0.15917479737985318
ETH,FAST_down,2024,year,-0.1557072585757837
ETH,FAST_down,2025,year,-0.15145870459169142
ETH,FAST_down,2026,year,-0.1564043007455448
ETH,FAST_down,2019-2020,cycle,-0.1010054915927806
ETH,FAST_down,2021 bull,cycle,-0.1377837442815678
ETH,FAST_down,2022 bear,cycle,-0.14868854511556862
ETH,FAST_down,2023-2024Q1,cycle,-0.16962643426183166
ETH,FAST_down,2024Q2+,cycle,-0.16798943378101527
ETH,M5_brk0.5_down,2019,year,-0.006959841217832774
ETH,M5_brk0.5_down,2020,year,-0.021102362519297646
ETH,M5_brk0.5_down,2021,year,-0.05413248843370866
ETH,M5_brk0.5_down,2022,year,-0.029492979883199988
ETH,M5_brk0.5_down,2023,year,-0.040980028442525684
ETH,M5_brk0.5_down,2024,year,-0.034923965270096
ETH,M5_brk0.5_down,2025,year,-0.042350601664279286
ETH,M5_brk0.5_down,2026,year,-0.0399834799004265
ETH,M5_brk0.5_down,2019-2020,cycle,0.014564326332947242
ETH,M5_brk0.5_down,2021 bull,cycle,-0.05413248843370866
ETH,M5_brk0.5_down,2022 bear,cycle,-0.029492979883199988
ETH,M5_brk0.5_down,2023-2024Q1,cycle,-0.045034053133842566
ETH,M5_brk0.5_down,2024Q2+,cycle,-0.050361536087516034
SOL,M1_1close,2021,year,-0.013167376085504556
SOL,M1_1close,2022,year,-0.037567416755175054
SOL,M1_1close,2023,year,-0.025145697995244937
SOL,M1_1close,2024,year,-0.12382956048356641
SOL,M1_1close,2025,year,-0.0823165595274491
SOL,M1_1close,2026,year,-0.08847548525653459
SOL,M1_1close,2019-2020,cycle,-0.0604242334965962
SOL,M1_1close,2021 bull,cycle,-0.013167376085504556
SOL,M1_1close,2022 bear,cycle,-0.037567416755175054
SOL,M1_1close,2023-2024Q1,cycle,-0.03327174404412214
SOL,M1_1close,2024Q2+,cycle,-0.21332551729367077
SOL,FAST_both,2021,year,-0.013167376085504556
SOL,FAST_both,2022,year,-0.037567416755175054
SOL,FAST_both,2023,year,-0.025145697995244937
SOL,FAST_both,2024,year,-0.12382956048356641
SOL,FAST_both,2025,year,-0.0823165595274491
SOL,FAST_both,2026,year,-0.08847548525653459
SOL,FAST_both,2019-2020,cycle,-0.0604242334965962
SOL,FAST_both,2021 bull,cycle,-0.013167376085504556
SOL,FAST_both,2022 bear,cycle,-0.037567416755175054
SOL,FAST_both,2023-2024Q1,cycle,-0.03327174404412214
SOL,FAST_both,2024Q2+,cycle,-0.21332551729367077
SOL,M5_brk0.5_both,2021,year,-0.11542071521436748
SOL,M5_brk0.5_both,2022,year,-0.1273062413617626
SOL,M5_brk0.5_both,2023,year,-0.11529942693646716
SOL,M5_brk0.5_both,2024,year,-0.14063195736621548
SOL,M5_brk0.5_both,2025,year,-0.1609236096341854
SOL,M5_brk0.5_both,2026,year,-0.18501321036983964
SOL,M5_brk0.5_both,2019-2020,cycle,-0.1404374434968534
SOL,M5_brk0.5_both,2021 bull,cycle,-0.11542071521436748
SOL,M5_brk0.5_both,2022 bear,cycle,-0.1273062413617626
SOL,M5_brk0.5_both,2023-2024Q1,cycle,-0.1373662012494969
SOL,M5_brk0.5_both,2024Q2+,cycle,-0.22515591040480598
SOL,FAST_up,2021,year,0.022113910069608833
SOL,FAST_up,2022,year,0.059210473854609424
SOL,FAST_up,2023,year,0.07310513253961008
SOL,FAST_up,2024,year,0.013115886243980301
SOL,FAST_up,2025,year,-0.05291225144192102
SOL,FAST_up,2026,year,0.00620684425326401
SOL,FAST_up,2019-2020,cycle,0.019447988126360616
SOL,FAST_up,2021 bull,cycle,0.022113910069608833
SOL,FAST_up,2022 bear,cycle,0.059210473854609424
SOL,FAST_up,2023-2024Q1,cycle,0.0925535234859639
SOL,FAST_up,2024Q2+,cycle,-0.12074267667425165
SOL,M5_brk0.5_up,2021,year,-0.04038259532525468
SOL,M5_brk0.5_up,2022,year,-0.002588843155170384
SOL,M5_brk0.5_up,2023,year,-0.008253429038210788
SOL,M5_brk0.5_up,2024,year,-0.01436038977205889
SOL,M5_brk0.5_up,2025,year,-0.08376493958826026
SOL,M5_brk0.5_up,2026,year,-0.06378504652964334
SOL,M5_brk0.5_up,2019-2020,cycle,-0.03610731005974899
SOL,M5_brk0.5_up,2021 bull,cycle,-0.04038259532525468
SOL,M5_brk0.5_up,2022 bear,cycle,-0.002588843155170384
SOL,M5_brk0.5_up,2023-2024Q1,cycle,-0.0035703112004668025
SOL,M5_brk0.5_up,2024Q2+,cycle,-0.12074267667425165
SOL,FAST_down,2021,year,-0.03630376245112288
SOL,FAST_down,2022,year,-0.09934675590119524
SOL,FAST_down,2023,year,-0.1025755599985832
SOL,FAST_down,2024,year,-0.1401046092726842
SOL,FAST_down,2025,year,-0.028884464161285095
SOL,FAST_down,2026,year,-0.09642586570880929
SOL,FAST_down,2019-2020,cycle,-0.0817346713320738
SOL,FAST_down,2021 bull,cycle,-0.03630376245112288
SOL,FAST_down,2022 bear,cycle,-0.09934675590119524
SOL,FAST_down,2023-2024Q1,cycle,-0.13304649094704984
SOL,FAST_down,2024Q2+,cycle,-0.09232684303008343
SOL,M5_brk0.5_down,2021,year,-0.0756943895772913
SOL,M5_brk0.5_down,2022,year,-0.12602411836156802
SOL,M5_brk0.5_down,2023,year,-0.10819410763316582
SOL,M5_brk0.5_down,2024,year,-0.12842639126319688
SOL,M5_brk0.5_down,2025,year,-0.07729754224412388
SOL,M5_brk0.5_down,2026,year,-0.12180279319240517
SOL,M5_brk0.5_down,2019-2020,cycle,-0.10526181181587152
SOL,M5_brk0.5_down,2021 bull,cycle,-0.0756943895772913
SOL,M5_brk0.5_down,2022 bear,cycle,-0.12602411836156802
SOL,M5_brk0.5_down,2023-2024Q1,cycle,-0.13595020101841748
SOL,M5_brk0.5_down,2024Q2+,cycle,-0.1047648439837261
