symbol,coingecko_id,venue
YFI,yearn-finance,BINANCE
LB,lovebit,BINANCE
AXL,axelar,BINANCE
RVN,ravencoin,BINANCE
NAORIS,naoris,BINANCE
BERA,berachain-bera,BINANCE
QTUM,qtum,BINANCE
AIOZ,aioz-network,BINANCE
APYUSD,apyusd,BINANCE
KMNO,kamino,BINANCE
ZRX,0x,BINANCE
USDU,usdu,BINANCE
DRV,derive,BINANCE
TRIA,tria,BINANCE
MAG7.SSI,mag7-ssi,BINANCE
QRL,quantum-resistant-ledger,BINANCE
PGOLD,pleasing-gold,BINANCE
GRX,grx-chain,BINANCE
ICNT,impossible-cloud-network-token,BINANCE
LINEA,linea,BINANCE
KSM,kusama,BINANCE
BARD,lombard-protocol,BINANCE
MET,meteora,BINANCE
PROS,pharos-network,BINANCE
JUSD,jusd,BINANCE
XDAI,xdai,BINANCE
ZETA,zetachain,BINANCE
VCNT,vicicoin,BINANCE
QUBIC,qubic-network,BINANCE
EXOD,exod,BINANCE
IUSD,infinifi-usd,BINANCE
STRCX,strategy-pp-variable-xstock,BINANCE
TURBO,turbo,BINANCE
BASEDHYPE,basedhype,BINANCE
TFUEL,theta-fuel,BINANCE
CYS,cysic,BINANCE
KTA,keeta,BINANCE
XPR,proton,BINANCE
W,wormhole,BINANCE
RAIL,railgun,BINANCE
ZIL,zilliqa,BINANCE
MBG,mbg-by-multibank-group,BINANCE
NXPC,nexpace,BINANCE
SAHARA,sahara-ai,BINANCE
CTC,creditcoin-2,BINANCE
WOULD,would,BINANCE
UAI,unifai-network,BINANCE
DOG,dog-go-to-the-moon-rune,BINANCE
BRETT,based-brett,BINANCE
BCE,bitcastle-token,BINANCE
STAU,stau,BINANCE
MINA,mina-protocol,BINANCE
SUPER,superfarm,BINANCE
GTUSDA,gauntlet-usd-alpha,BINANCE
METAL,metal-blockchain,BINANCE
BEAT,audiera,BINANCE
IRYS,irys,BINANCE
ROSE,oasis-network,BINANCE
GMX,gmx,BINANCE
PC0000101,na-post-settlement-legal-financing-receivables,BINANCE
BC,bc-token,BINANCE
AMP,amp-token,BINANCE
DEEP,deep,BINANCE
LISUSD,helio-protocol-hay,BINANCE
BABYDOGE,baby-doge-coin,BINANCE
BLUR,blur,BINANCE
FOGO,fogo,BINANCE
SN4,targon,BINANCE
TOSHI,toshi,BINANCE
HOT,holotoken,BINANCE
CGUSD,cygnus-finance-global-usd,BINANCE
BAN,comedian,BINANCE
FEUSD,felix-feusd,BINANCE
BABY,babylon,BINANCE
RON,ronin,BINANCE
MWC,mimblewimblecoin,BINANCE
ARKM,arkham,BINANCE
ASTR,astar,BINANCE
CKB,nervos-network,BINANCE
APES,apes-2-2,BINANCE
ONT,ontology,BINANCE
DBR,debridge,BINANCE
VBILL,vaneck-treasury-fund,BINANCE
XAUM,matrixdock-gold,BINANCE
MF-ONE,midas-mf-one,BINANCE
CET,coinex-token,BINANCE
TEMPLE,temple,BINANCE
KAVA,kava,BINANCE
DGB,digibyte,BINANCE
PMUSD,precious-metals-usd,BINANCE
EV,everything,BINANCE
ALCH,alchemist-ai,BINANCE
FLOW,flow,BINANCE
DUSK,dusk-network,BINANCE
HUNT,greyhunt,BINANCE
TAC,tac,BINANCE
COAI,chainopera-ai,BINANCE
ARC,ai-rig-complex,BINANCE
SN51,celium,BINANCE
NILA,mindwavedao,BINANCE
MSUSD,main-street-usd,BINANCE
T,threshold-network-token,BINANCE
PUFF,puff-the-dragon,BINANCE
DOLA,dola-usd,BINANCE
MOVE,movement,BINANCE
PLUME,plume,BINANCE
TBK,tronbank,BINANCE
ELF,aelf,BINANCE
XUSD,straitsx-xusd,BINANCE
ZAMA,zama,BINANCE
PC0000019,tradable-north-america-pos-lender-sstn,BINANCE
JUPUSD,jupusd,BINANCE
REKT,rekt-4,BINANCE
NMR,numeraire,BINANCE
META,meta-2-2,BINANCE
NPC,non-playable-coin,BINANCE
POLYX,polymesh,BINANCE
MOODENG,moo-deng,BINANCE
MOG,mog-coin,BINANCE
SWOP,swop-2,BINANCE
KUB,bitkub-coin,BINANCE
XVG,verge,BINANCE
QFI,quantixai,BINANCE
XNO,nano,BINANCE
VRSC,verus-coin,BINANCE
EURI,eurite,BINANCE
USDAT,saturn-dollar,BINANCE
AGENTFUN,agentfun-ai,BINANCE
PNUT,peanut-the-squirrel,BINANCE
USDX,usdx,BINANCE
VELO,velo,BINANCE
SUSHI,sushi,BINANCE
POPCAT,popcat,BINANCE
AZTEC,aztec,BINANCE
ESPORTS,yooldo-games,BINANCE
UPUMP,unit-pump,BINANCE
MSY,main-street-yield,BINANCE
SN120,affine,BINANCE
NAT,dmt-nat,BINANCE
VTHO,vethor-token,BINANCE
SOON,soon-2,BINANCE
ZORA,zora,BINANCE
CRCLX,circle-xstock,BINANCE
HSK,hashkey-ecopoints,BINANCE
BDCA,bitdca,BINANCE
WMTX,world-mobile-token,BINANCE
LION,loaded-lions,BINANCE
TSLAX,tesla-xstock,BINANCE
JELLYJELLY,jelly-my-jelly,BINANCE
CCD,concordium,BINANCE
ROSA,rosa-inu,BINANCE
PYTHIA,pythia,BINANCE
VVS,vvs-finance,BINANCE
TRB,tellor,BINANCE
MOCA,mocaverse,BINANCE
DUAL,dual,BINANCE
BRLV,crown-brlv,BINANCE
OPG,opengradient,BINANCE
MEW,cat-in-a-dogs-world,BINANCE
USDON,ondo-u-s-dollar-token,BINANCE
TDCCP,tdccp,BINANCE
BRZ,brz,BINANCE
PC0000081,tradable-na-legal-receivables-ssl,BINANCE
ME,magic-eden,BINANCE
MTBILL,midas-mtbill,BINANCE
CELO,celo,BINANCE
ELG,escoin-token,BINANCE
GEOD,geodnet,BINANCE
BR,bedrock-token,BINANCE
LUNA,terra-luna-2,BINANCE
API3,api3,BINANCE
RED,redstone-oracles,BINANCE
REQ,request-network,BINANCE
PCI,pay-coin,BINANCE
HOME,home,BINANCE
SN44,score,BINANCE
SIERRA,sierra-2,BINANCE
FIDD,fidelity-digital-dollar,BINANCE
MANTRA,mantra,BINANCE
USDKG,usdkg,BINANCE
AUSDT,alloy-tether,BINANCE
ZBT,zerobase,BINANCE
LBT,law-blocks,BINANCE
RIF,rif-token,BINANCE
PC0000049,tradable-eu-latam-pos-financing-sstl,BINANCE
MASK,mask-network,BINANCE
XYO,xyo-network,BINANCE
MERL,merlin-chain,BINANCE
