symbol,weight,side,marketcap,adv_30d
INTER,0.0026595744680851063,long,8447682.918539474,915457.5087038261
INV,0.0026595744680851063,long,21289858.538556825,17046872.066368062
IO,0.0026595744680851063,long,419050473.3014207,682156392.1540283
IOTA,0.0026595744680851063,long,968019957.3759997,13907782.932884851
JASMY,0.0026595744680851063,long,1413018697.2529218,6272686.891504385
JTO,0.0026595744680851063,long,488893480.3698062,643654284.913141
JUP,0.0026595744680851063,long,1569284367.3772595,405830106.68843305
JUV,-0.0026595744680851063,short,13422450.802419027,6501147.922739916
KAG,-0.0026595744680851063,short,115715076.0112623,9121204.81329335
KAS,-0.0026595744680851063,short,4074423055.214954,27269109.541886624
KAU,-0.0026595744680851063,short,123887575.84281427,51227375.272614785
KAVA,-0.0026595744680851063,short,664931125.8748919,20098783.848533582
KCS,-0.0026595744680851063,short,1451180846.4896748,6442270.420376116
KDA,-0.0026595744680851063,short,352499779.78686756,44405519.546779916
KSM,-0.0026595744680851063,short,654866289.7821103,6175747488.690174
KUB,-0.0026595744680851063,short,226987945.43737137,5128860.134062852
KWENTA,-0.0026595744680851063,short,17783001.077050794,10967224.648037922
LAZIO,-0.0026595744680851063,short,14630513.954548618,9227822.391156614
LDO,-0.0026595744680851063,short,1642754670.4158502,454771264.50780505
LEO,-0.0026595744680851063,short,8152259900.394031,20365720.270632178
LINK,-0.0026595744680851063,short,11953957076.392618,19824269896.317436
LISTA,-0.0026595744680851063,short,101599866.14606075,20715837.40229377
LISUSD,-0.0026595744680851063,short,37455174.09046636,2296856.774780908
LIT,-0.0026595744680851063,short,67429170.37439185,7765906.501132457
LMWR,-0.0026595744680851063,short,76490338.02354224,1459052.5691199328
LPT,-0.0026595744680851063,short,570409716.6767135,1103075432.5398364
LQTY,-0.0026595744680851063,short,153640823.27035415,74144689.11452438
LRC,-0.0026595744680851063,short,306726382.6011378,13821141.227485076
LSK,-0.0026595744680851063,short,215017171.05871424,47652619.70384804
LTC,-0.0026595744680851063,short,7738468480.133245,117365286049.1991
LUSD,-0.0026595744680851063,short,64670470.63612474,2172568.9814369534
LYX,-0.0026595744680851063,short,95567272.04408078,1401649.1144969747
MAGIC,-0.0026595744680851063,short,162339134.29369012,23821829.545355275
MANA,-0.0026595744680851063,short,1218065090.9102092,173681281.64927933
MANTA,-0.0026595744680851063,short,461885099.9267424,75524254.898664
MASK,-0.0026595744680851063,short,374183119.1858963,776083035.7525263
MAV,-0.0026595744680851063,short,126334339.18760595,2498458.152333776
MAVIA,-0.0026595744680851063,short,72144427.11236803,30561345.67747224
MBOX,-0.0026595744680851063,short,109081256.01887122,4957045.92756609
MEME,-0.0026595744680851063,short,516993820.8550099,3919205.2419039793
METIS,-0.0026595744680851063,short,384044438.5174648,2662013745.274749
MINA,-0.0026595744680851063,short,1017504837.78411,84547258.4743001
MLK,-0.0026595744680851063,short,124188166.66220029,3688133.304697012
MLN,-0.0026595744680851063,short,26910102.009722076,113792532.79741743
MOCA,-0.0026595744680851063,short,122774711.43167186,1950490.169288921
MOVR,-0.0026595744680851063,short,158811563.74231517,447070268.15476435
MSOL,-0.0026595744680851063,short,1264961150.2673042,6836072426.198228
MTL,-0.0026595744680851063,short,126919100.66138327,40056873.76723222
MX,-0.0026595744680851063,short,327504094.1185144,178542199.15265545
NAKA,-0.0026595744680851063,short,88214324.41383186,30191800.74334282
NEAR,-0.0026595744680851063,short,8545569984.792896,6655166910.289972
NEO,-0.0026595744680851063,short,1128990818.8210623,1170094889.1167586
NEON,-0.0026595744680851063,short,80766438.72242385,1072460.262976842
NEXO,-0.0026595744680851063,short,950329233.8679272,19427129.30882239
NMR,-0.0026595744680851063,short,164553401.58631983,322326517.5607123
OCEAN,-0.0026595744680851063,short,181739222.67340043,1610897.1506877562
OETH,-0.0026595744680851063,short,156000400.4982765,239179295.5428905
OG,-0.0026595744680851063,short,23533704.60803231,169529058.6782584
OGN,-0.0026595744680851063,short,94062467.98171487,2067761.420753897
OHM,-0.0026595744680851063,short,285705900.3748086,20481161.57165238
OKB,-0.0026595744680851063,short,3243449224.1961775,900121729.7680972
OLAS,-0.0026595744680851063,short,172030112.1400278,3595813.018058161
OM,-0.0026595744680851063,short,3219068693.39453,1023361215.5856138
OMG,-0.0026595744680851063,short,68781898.63780299,3800510.10149703
OMNI,-0.0026595744680851063,short,131802773.43811525,794886376.8852682
ONG,-0.0026595744680851063,short,176616745.42011714,8526177.856730606
ONT,-0.0026595744680851063,short,261720675.9513146,6363623.312612219
OP,-0.0026595744680851063,short,3087214025.3913646,1657228875.6300838
ORAI,-0.0026595744680851063,short,175006011.75444207,34170575.40653452
ORCA,-0.0026595744680851063,short,193007457.7052074,19912293.938174702
